"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","22.540","22.280","22.540","21.700","2.87M","1.99%"
"04/23/2026","22.100","22.500","22.600","21.900","2.33M","-1.78%"
"04/22/2026","22.500","23.220","23.360","22.460","2.33M","-2.60%"
"04/21/2026","23.100","23.520","23.720","22.960","2.47M","-1.70%"
"04/20/2026","23.500","23.660","23.680","23.460","3.45M","-0.84%"
"04/17/2026","23.700","23.600","23.860","23.300","4.13M","0.68%"
"04/16/2026","23.540","23.200","23.720","23.180","5.44M","1.99%"
"04/15/2026","23.080","23.020","23.160","22.860","7.09M","1.23%"
"04/14/2026","22.800","22.700","23.100","22.700","5.10M","0.88%"
"04/13/2026","22.600","22.640","22.680","22.020","4.50M","-0.53%"
"04/10/2026","22.720","23.040","23.200","22.700","2.89M","-1.22%"
"04/09/2026","23.000","22.800","23.300","22.300","5.21M","0.09%"
"04/08/2026","22.980","22.020","23.300","22.000","9.64M","10.48%"
"04/07/2026","20.800","21.140","21.360","20.800","1.99M","-1.79%"
"04/06/2026","21.180","20.480","21.500","20.480","2.44M","2.32%"
"04/03/2026","20.700","20.520","20.800","20.460","1.41M","0.98%"
"04/02/2026","20.500","20.680","20.680","20.200","3.06M","-1.44%"
"04/01/2026","20.800","20.880","21.700","20.420","6.44M","0.97%"
"03/31/2026","20.600","20.200","20.600","20.020","3.27M","1.98%"
"03/30/2026","20.200","20.600","20.960","20.020","2.71M","-1.46%"
"03/27/2026","20.500","21.100","21.200","20.400","3.11M","-2.57%"
"03/26/2026","21.040","21.900","21.900","20.860","5.62M","-3.93%"
"03/25/2026","21.900","20.400","21.900","20.300","5.09M","8.52%"
"03/24/2026","20.180","20.000","20.700","19.000","6.42M","2.44%"
"03/23/2026","19.700","20.320","20.500","19.700","9.10M","-4.92%"
"03/18/2026","20.720","19.900","21.700","19.880","9.33M","4.65%"
"03/17/2026","19.800","18.300","19.900","18.280","11.28M","3.02%"
"03/16/2026","19.220","19.600","19.960","19.220","9.07M","-4.95%"
"03/13/2026","20.220","20.220","20.220","20.220","1.18M","-4.98%"
"03/12/2026","21.280","21.280","21.980","21.280","10.28M","-5.00%"
"03/11/2026","22.400","23.000","23.800","22.020","7.29M","-3.28%"
"03/10/2026","23.160","20.820","24.000","20.820","21.62M","5.75%"
"03/09/2026","21.900","21.900","21.900","21.900","517.37K","-4.95%"
"03/06/2026","23.040","23.040","23.040","23.040","2.21M","-4.95%"
"03/05/2026","24.240","24.240","24.240","24.240","938.99K","-4.94%"
"03/04/2026","25.500","25.500","25.500","25.500","","0.00%"
"02/27/2026","25.500","26.500","26.500","25.500","4.89M","-3.77%"
"02/26/2026","26.500","26.480","26.500","26.160","1.84M","0.00%"
"02/25/2026","26.500","26.320","26.500","26.300","1.78M","1.15%"
"02/24/2026","26.200","26.580","26.680","26.000","4.37M","-1.43%"
"02/23/2026","26.580","26.400","26.860","26.380","2.75M","0.76%"
"02/20/2026","26.380","26.600","26.680","26.340","4.43M","-0.83%"
"02/19/2026","26.600","27.380","27.400","26.040","10.18M","-2.92%"
"02/18/2026","27.400","26.300","27.440","26.260","3.59M","4.18%"
"02/17/2026","26.300","26.120","26.300","25.740","2.37M","0.77%"
"02/16/2026","26.100","26.100","26.220","25.820","2.38M","0.23%"
"02/13/2026","26.040","26.520","27.960","26.040","14.12M","-2.40%"
"02/12/2026","26.680","26.060","26.680","25.840","3.56M","2.46%"
"02/11/2026","26.040","26.180","26.540","26.040","3.54M","-0.69%"
"02/10/2026","26.220","26.060","26.220","25.860","3.46M","0.46%"
"02/09/2026","26.100","26.080","26.180","25.380","3.99M","0.15%"
"02/06/2026","26.060","26.000","26.140","25.820","3.08M","-0.31%"
"02/05/2026","26.140","26.160","26.240","25.660","8.77M","-0.15%"
"02/04/2026","26.180","25.220","26.480","25.220","9.09M","3.48%"
"02/03/2026","25.300","24.800","25.380","24.700","6.80M","2.02%"
"02/02/2026","24.800","24.340","24.800","24.160","2.57M","1.89%"
"01/30/2026","24.340","24.500","24.520","24.220","6.10M","-0.98%"
"01/29/2026","24.580","24.240","24.580","23.980","5.40M","1.49%"
"01/28/2026","24.220","23.920","24.380","23.820","5.40M","0.92%"
"01/27/2026","24.000","23.100","24.000","22.960","7.20M","3.90%"
"01/26/2026","23.100","22.800","23.100","22.380","10.88M","1.32%"
"01/23/2026","22.800","23.200","23.200","22.700","8.77M","-1.72%"
"01/22/2026","23.200","23.020","23.480","22.820","12.67M","1.22%"
"01/21/2026","22.920","22.840","23.000","22.500","2.35M","0.26%"
"01/20/2026","22.860","22.600","22.900","22.440","4.12M","1.15%"
"01/19/2026","22.600","22.160","22.740","22.160","5.47M","2.26%"
"01/16/2026","22.100","21.580","22.100","21.440","2.85M","2.41%"
"01/15/2026","21.580","21.200","21.580","21.140","2.11M","1.79%"
"01/14/2026","21.200","21.560","21.760","21.200","3.04M","-1.85%"
"01/13/2026","21.600","20.960","21.600","20.820","3.59M","3.05%"
"01/12/2026","20.960","20.820","20.960","20.600","3.58M","0.67%"
"01/09/2026","20.820","21.000","21.020","20.820","1.31M","-0.86%"
"01/08/2026","21.000","20.800","21.040","20.760","2.67M","0.00%"
"01/07/2026","21.000","20.600","21.000","20.500","2.82M","1.84%"
"01/06/2026","20.620","20.500","20.640","20.300","3.92M","0.68%"
"01/05/2026","20.480","20.760","20.860","20.340","2.47M","-1.35%"
"01/02/2026","20.760","20.760","20.920","20.740","1.21M","0.00%"
"12/31/2025","20.760","20.700","20.880","20.700","1.35M","0.39%"
"12/30/2025","20.680","21.060","21.060","20.660","1.43M","-1.80%"
"12/29/2025","21.060","20.740","21.060","20.720","1.45M","1.64%"
"12/26/2025","20.720","20.680","20.820","20.680","323.26K","0.19%"
"12/25/2025","20.680","20.860","20.900","20.660","661.06K","-1.15%"
"12/24/2025","20.920","20.900","20.980","20.720","2.28M","0.10%"
"12/23/2025","20.900","21.220","21.220","20.840","2.00M","-1.42%"
"12/22/2025","21.200","21.160","21.200","21.040","1.70M","0.19%"
"12/19/2025","21.160","21.000","21.340","21.000","4.33M","0.76%"
"12/18/2025","21.000","20.840","21.000","20.840","2.05M","0.86%"
"12/17/2025","20.820","20.980","21.140","20.800","2.20M","-0.86%"
"12/16/2025","21.000","20.720","21.040","20.720","3.49M","1.35%"
"12/15/2025","20.720","20.900","20.900","20.600","2.32M","-0.86%"
"12/12/2025","20.900","20.740","20.900","20.740","2.59M","0.58%"
"12/11/2025","20.780","20.540","20.860","20.500","3.68M","1.27%"
"12/10/2025","20.520","20.300","20.620","20.180","2.77M","0.88%"
"12/09/2025","20.340","20.100","20.340","20.020","4.40M","1.29%"
"12/08/2025","20.080","20.400","20.420","20.080","2.68M","-1.57%"
"12/05/2025","20.400","20.220","20.400","20.200","1.97M","0.89%"
