"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","4.16","4.12","4.21","4.11","746.11K","0.73%"
"04/23/2026","4.13","4.26","4.27","4.13","1.85M","-3.05%"
"04/22/2026","4.26","4.35","4.40","4.26","2.47M","-2.07%"
"04/21/2026","4.35","4.38","4.39","4.32","2.17M","-0.68%"
"04/20/2026","4.38","4.49","4.49","4.37","1.14M","-2.67%"
"04/17/2026","4.50","4.45","4.54","4.42","2.54M","1.12%"
"04/16/2026","4.45","4.45","4.61","4.42","9.24M","0.23%"
"04/15/2026","4.44","4.40","4.44","4.37","2.01M","1.37%"
"04/14/2026","4.38","4.28","4.39","4.28","3.22M","2.34%"
"04/13/2026","4.28","4.30","4.35","4.23","2.44M","-1.83%"
"04/10/2026","4.36","4.40","4.41","4.28","2.23M","-0.91%"
"04/09/2026","4.40","4.30","4.51","4.26","6.54M","2.33%"
"04/08/2026","4.30","4.10","4.41","4.05","7.64M","11.11%"
"04/07/2026","3.87","3.91","3.95","3.87","1.43M","-1.02%"
"04/06/2026","3.91","3.93","3.95","3.83","1.49M","-0.76%"
"04/03/2026","3.94","3.94","3.97","3.93","1.08M","0.25%"
"04/02/2026","3.93","3.91","3.95","3.86","1.99M","0.26%"
"04/01/2026","3.92","3.95","4.00","3.92","3.76M","1.03%"
"03/31/2026","3.88","3.88","3.92","3.73","7.18M","-0.26%"
"03/30/2026","3.89","4.08","4.08","3.89","5.75M","-4.66%"
"03/27/2026","4.08","4.08","4.13","4.06","666.01K","0.00%"
"03/26/2026","4.08","4.23","4.23","4.03","2.58M","-3.32%"
"03/25/2026","4.22","4.05","4.28","4.05","4.84M","5.50%"
"03/24/2026","4.00","4.13","4.20","3.99","4.59M","-0.74%"
"03/23/2026","4.03","4.15","4.20","4.03","1.60M","-4.95%"
"03/18/2026","4.24","4.19","4.31","4.11","1.84M","1.19%"
"03/17/2026","4.19","3.89","4.22","3.82","1.98M","7.71%"
"03/16/2026","3.89","3.95","4.10","3.82","4.20M","-1.77%"
"03/13/2026","3.96","4.14","4.15","3.96","2.39M","-4.58%"
"03/12/2026","4.15","4.21","4.21","4.12","2.45M","-1.19%"
"03/11/2026","4.20","4.25","4.33","4.10","6.54M","0.00%"
"03/10/2026","4.20","4.11","4.28","4.11","5.75M","3.19%"
"03/09/2026","4.07","4.18","4.23","4.02","9.20M","-3.78%"
"03/06/2026","4.23","4.09","4.60","4.09","14.27M","-1.63%"
"03/05/2026","4.30","4.30","4.30","4.30","175.47K","-4.87%"
"03/04/2026","4.52","4.52","4.52","4.52","179.90K","-4.84%"
"02/27/2026","4.75","4.81","4.83","4.74","1.21M","-1.25%"
"02/26/2026","4.81","4.90","4.91","4.79","2.27M","-1.84%"
"02/25/2026","4.90","4.97","4.97","4.88","853.79K","-1.41%"
"02/24/2026","4.97","5.01","5.03","4.94","2.27M","-0.60%"
"02/23/2026","5.00","5.03","5.10","4.93","2.36M","-0.40%"
"02/20/2026","5.02","5.05","5.10","5.01","621.16K","-0.79%"
"02/19/2026","5.06","5.15","5.16","4.97","3.64M","-1.75%"
"02/18/2026","5.15","5.17","5.26","5.13","3.00M","-0.96%"
"02/17/2026","5.20","5.43","5.43","5.13","4.21M","-4.24%"
"02/16/2026","5.43","5.29","5.52","5.28","4.29M","2.65%"
"02/13/2026","5.29","5.12","5.29","5.08","5.04M","3.52%"
"02/12/2026","5.11","5.30","5.30","5.06","2.50M","-2.85%"
"02/11/2026","5.26","5.34","5.34","5.24","1.28M","-0.75%"
"02/10/2026","5.30","5.30","5.37","5.29","2.44M","0.00%"
"02/09/2026","5.30","5.26","5.34","5.24","2.37M","0.95%"
"02/06/2026","5.25","5.25","5.26","5.22","736.93K","-0.19%"
"02/05/2026","5.26","5.30","5.33","5.20","3.27M","-0.75%"
"02/04/2026","5.30","5.20","5.37","5.20","5.72M","1.92%"
"02/03/2026","5.20","5.20","5.30","5.18","1.77M","0.00%"
"02/02/2026","5.20","5.09","5.20","5.07","2.40M","0.78%"
"01/30/2026","5.16","5.16","5.18","5.11","496.96K","0.19%"
"01/29/2026","5.15","5.15","5.19","5.13","1.66M","0.00%"
"01/28/2026","5.15","5.20","5.23","5.13","4.12M","-1.15%"
"01/27/2026","5.21","5.14","5.28","5.10","3.09M","1.76%"
"01/26/2026","5.12","5.30","5.30","5.10","2.87M","-3.21%"
"01/23/2026","5.29","5.24","5.31","5.20","5.96M","1.15%"
"01/22/2026","5.23","5.12","5.23","5.12","10.77M","2.55%"
"01/21/2026","5.10","5.00","5.15","5.00","6.31M","1.80%"
"01/20/2026","5.01","5.03","5.04","4.96","2.36M","-0.40%"
"01/19/2026","5.03","5.00","5.10","5.00","3.08M","0.80%"
"01/16/2026","4.99","4.81","5.04","4.80","6.10M","4.39%"
"01/15/2026","4.78","4.78","4.79","4.71","1.49M","0.00%"
"01/14/2026","4.78","4.79","4.84","4.77","2.67M","-0.21%"
"01/13/2026","4.79","4.70","4.81","4.64","2.30M","1.91%"
"01/12/2026","4.70","4.75","4.75","4.65","863.55K","-1.05%"
"01/09/2026","4.75","4.80","4.82","4.72","1.38M","-1.25%"
"01/08/2026","4.81","4.81","4.84","4.80","1.07M","0.00%"
"01/07/2026","4.81","4.80","4.83","4.78","928.14K","-0.41%"
"01/06/2026","4.83","4.77","4.84","4.77","1.20M","1.26%"
"01/05/2026","4.77","4.79","4.79","4.74","536.87K","-0.42%"
"01/02/2026","4.79","4.77","4.83","4.77","468.05K","0.42%"
"12/31/2025","4.77","4.84","4.89","4.77","2.57M","-1.45%"
"12/30/2025","4.84","4.76","4.85","4.68","2.76M","1.68%"
"12/29/2025","4.76","4.75","4.81","4.71","4.08M","0.21%"
"12/26/2025","4.75","4.70","4.75","4.70","811.18K","1.28%"
"12/25/2025","4.69","4.71","4.73","4.68","1.49M","-0.21%"
"12/24/2025","4.70","4.75","4.77","4.70","1.68M","-1.05%"
"12/23/2025","4.75","4.75","4.76","4.73","5.56M","0.00%"
"12/22/2025","4.75","4.66","4.76","4.65","1.85M","2.15%"
"12/19/2025","4.65","4.73","4.73","4.65","2.52M","-1.69%"
"12/18/2025","4.73","4.68","4.74","4.67","1.95M","1.07%"
"12/17/2025","4.68","4.65","4.68","4.58","1.74M","0.65%"
"12/16/2025","4.65","4.70","4.70","4.63","817.80K","-1.06%"
"12/15/2025","4.70","4.65","4.71","4.55","5.65M","1.08%"
"12/12/2025","4.65","4.61","4.75","4.61","2.64M","0.87%"
"12/11/2025","4.61","4.60","4.62","4.58","1.85M","0.22%"
"12/10/2025","4.60","4.62","4.63","4.50","12.67M","0.00%"
"12/09/2025","4.60","4.50","4.61","4.48","9.03M","2.45%"
"12/08/2025","4.49","4.47","4.52","4.37","3.34M","0.22%"
"12/05/2025","4.48","4.49","4.53","4.44","1.85M","-0.22%"
"12/04/2025","4.49","4.50","4.55","4.47","2.70M","-0.22%"
"12/03/2025","4.50","4.38","4.50","4.38","3.11M","2.97%"
"11/28/2025","4.37","4.30","4.40","4.26","1.06M","1.63%"
"11/27/2025","4.30","4.37","4.38","4.27","1.79M","-1.15%"
"11/26/2025","4.35","4.32","4.41","4.31","3.40M","0.69%"
"11/25/2025","4.32","4.38","4.43","4.32","763.08K","-1.14%"
"11/24/2025","4.37","4.40","4.45","4.33","1.25M","-0.46%"
"11/21/2025","4.39","4.52","4.52","4.35","6.71M","-2.66%"
