"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","1.450","1.440","1.450","1.430","732.08K","0.00%"
"04/23/2026","1.450","1.420","1.450","1.420","1.57M","0.69%"
"04/22/2026","1.440","1.440","1.450","1.420","1.51M","0.00%"
"04/21/2026","1.440","1.400","1.440","1.400","1.86M","2.13%"
"04/20/2026","1.410","1.420","1.420","1.390","1.32M","-2.76%"
"04/17/2026","1.450","1.390","1.450","1.390","2.09M","3.57%"
"04/16/2026","1.400","1.400","1.430","1.390","4.89M","0.00%"
"04/15/2026","1.400","1.360","1.400","1.350","3.46M","2.94%"
"04/14/2026","1.360","1.330","1.370","1.330","2.19M","0.74%"
"04/13/2026","1.350","1.340","1.350","1.320","1.47M","0.00%"
"04/10/2026","1.350","1.340","1.350","1.340","685.09K","0.00%"
"04/09/2026","1.350","1.360","1.360","1.340","462.04K","-0.74%"
"04/08/2026","1.360","1.350","1.370","1.350","3.25M","2.26%"
"04/07/2026","1.330","1.310","1.330","1.300","725.44K","0.76%"
"04/06/2026","1.320","1.330","1.330","1.310","745.38K","-0.75%"
"04/03/2026","1.330","1.300","1.330","1.290","1.02M","2.31%"
"04/02/2026","1.300","1.340","1.340","1.300","1.84M","-2.99%"
"04/01/2026","1.340","1.360","1.360","1.340","1.40M","-0.74%"
"03/31/2026","1.350","1.360","1.360","1.340","3.31M","-1.46%"
"03/30/2026","1.370","1.360","1.370","1.340","947.54K","0.00%"
"03/27/2026","1.370","1.360","1.370","1.340","1.04M","0.74%"
"03/26/2026","1.360","1.370","1.370","1.340","748.85K","-0.73%"
"03/25/2026","1.370","1.360","1.370","1.340","3.75M","1.48%"
"03/24/2026","1.350","1.360","1.380","1.340","2.97M","0.00%"
"03/23/2026","1.350","1.380","1.380","1.320","2.47M","-2.17%"
"03/18/2026","1.380","1.310","1.390","1.310","1.81M","5.34%"
"03/17/2026","1.310","1.300","1.320","1.280","2.01M","0.77%"
"03/16/2026","1.300","1.350","1.380","1.300","1.17M","-3.70%"
"03/13/2026","1.350","1.350","1.390","1.350","5.32M","-4.93%"
"03/12/2026","1.420","1.420","1.420","1.420","1.35M","-4.70%"
"03/11/2026","1.490","1.480","1.510","1.430","10.46M","2.76%"
"03/10/2026","1.450","1.430","1.470","1.420","7.61M","2.84%"
"03/09/2026","1.410","1.460","1.470","1.410","3.74M","-4.73%"
"03/06/2026","1.480","1.450","1.480","1.450","3.27M","2.07%"
"03/05/2026","1.450","1.460","1.490","1.450","9.74M","-4.61%"
"03/04/2026","1.520","1.520","1.520","1.520","1.03M","-4.40%"
"02/27/2026","1.590","1.600","1.600","1.570","2.66M","-0.62%"
"02/26/2026","1.600","1.600","1.600","1.570","1.82M","0.00%"
"02/25/2026","1.600","1.590","1.610","1.590","404.42K","0.63%"
"02/24/2026","1.590","1.620","1.620","1.580","2.84M","-1.85%"
"02/23/2026","1.620","1.590","1.620","1.590","2.37M","1.25%"
"02/20/2026","1.600","1.580","1.610","1.580","1.37M","0.63%"
"02/19/2026","1.590","1.610","1.610","1.570","3.81M","-1.85%"
"02/18/2026","1.620","1.600","1.620","1.590","3.53M","0.62%"
"02/17/2026","1.610","1.630","1.630","1.600","2.13M","-1.23%"
"02/16/2026","1.630","1.620","1.640","1.610","10.96M","0.62%"
"02/13/2026","1.620","1.650","1.650","1.610","3.03M","-1.82%"
"02/12/2026","1.650","1.640","1.660","1.630","3.42M","0.61%"
"02/11/2026","1.640","1.630","1.660","1.620","2.81M","0.00%"
"02/10/2026","1.640","1.590","1.650","1.590","6.09M","2.50%"
"02/09/2026","1.600","1.590","1.610","1.590","3.25M","1.27%"
"02/06/2026","1.580","1.600","1.600","1.580","1.84M","-0.63%"
"02/05/2026","1.590","1.590","1.610","1.560","5.26M","0.63%"
"02/04/2026","1.580","1.550","1.600","1.540","5.58M","1.94%"
"02/03/2026","1.550","1.510","1.550","1.510","12.68M","2.65%"
"02/02/2026","1.510","1.480","1.520","1.480","5.40M","2.03%"
"01/30/2026","1.480","1.480","1.490","1.470","4.46M","-0.67%"
"01/29/2026","1.490","1.480","1.550","1.470","19.93M","3.47%"
"01/27/2026","1.440","1.420","1.460","1.420","2.26M","0.70%"
"01/26/2026","1.430","1.440","1.450","1.400","2.27M","-0.69%"
"01/23/2026","1.440","1.420","1.440","1.410","807.62K","0.70%"
"01/22/2026","1.430","1.420","1.450","1.410","2.21M","0.70%"
"01/21/2026","1.420","1.400","1.420","1.380","2.31M","1.43%"
"01/20/2026","1.400","1.360","1.400","1.350","3.06M","2.94%"
"01/19/2026","1.360","1.350","1.370","1.340","2.73M","0.00%"
"01/16/2026","1.360","1.350","1.360","1.340","708.77K","0.74%"
"01/15/2026","1.350","1.360","1.360","1.340","2.50M","-0.74%"
"01/14/2026","1.360","1.350","1.370","1.350","1.42M","0.00%"
"01/13/2026","1.360","1.350","1.370","1.350","4.97M","0.00%"
"01/12/2026","1.360","1.340","1.360","1.340","675.31K","0.74%"
"01/09/2026","1.350","1.350","1.370","1.350","4.11M","0.00%"
"01/08/2026","1.350","1.350","1.370","1.340","7.65M","0.75%"
"01/07/2026","1.340","1.330","1.360","1.330","8.85M","0.00%"
"01/06/2026","1.340","1.340","1.350","1.320","5.34M","0.00%"
"01/05/2026","1.340","1.340","1.350","1.330","849.54K","-0.74%"
"01/02/2026","1.350","1.330","1.350","1.330","835.36K","1.50%"
"12/31/2025","1.330","1.330","1.350","1.330","8.56M","0.00%"
"12/30/2025","1.330","1.350","1.360","1.330","4.98M","-2.21%"
"12/29/2025","1.360","1.360","1.360","1.350","5.04M","0.74%"
"12/26/2025","1.350","1.350","1.360","1.350","3.74M","0.00%"
"12/25/2025","1.350","1.360","1.360","1.350","1.46M","0.00%"
"12/24/2025","1.350","1.350","1.370","1.350","1.71M","-0.74%"
"12/23/2025","1.360","1.370","1.370","1.340","2.48M","0.00%"
"12/22/2025","1.360","1.340","1.380","1.330","5.30M","2.26%"
"12/19/2025","1.330","1.350","1.360","1.330","5.33M","-1.48%"
"12/18/2025","1.350","1.360","1.360","1.330","4.91M","-0.74%"
"12/17/2025","1.360","1.380","1.380","1.350","3.93M","-0.73%"
"12/16/2025","1.370","1.350","1.380","1.340","5.27M","1.48%"
"12/15/2025","1.350","1.310","1.370","1.290","19.34M","3.05%"
"12/12/2025","1.310","1.400","1.400","1.310","50.69M","-9.66%"
"12/10/2025","1.450","1.360","1.450","1.360","4.41M","5.84%"
"12/09/2025","1.370","1.370","1.370","1.340","4.24M","0.00%"
"12/08/2025","1.370","1.370","1.370","1.340","3.08M","0.00%"
"12/05/2025","1.370","1.370","1.370","1.320","12.54M","0.00%"
"12/04/2025","1.370","1.390","1.390","1.340","18.26M","-0.72%"
"12/03/2025","1.380","1.370","1.390","1.340","13.95M","0.73%"
"11/28/2025","1.370","1.390","1.400","1.370","14.25M","-0.72%"
"11/27/2025","1.380","1.390","1.390","1.370","1.68M","0.00%"
"11/26/2025","1.380","1.390","1.400","1.380","8.05M","0.00%"
"11/25/2025","1.380","1.390","1.410","1.380","7.41M","-0.72%"
"11/24/2025","1.390","1.390","1.410","1.380","10.12M","-0.71%"
"11/21/2025","1.400","1.400","1.400","1.400","38.66K","0.00%"
"11/20/2025","1.400","1.410","1.410","1.390","1.91M","0.72%"
"11/19/2025","1.390","1.400","1.420","1.390","6.80M","-0.71%"
"11/18/2025","1.400","1.410","1.420","1.400","1.71M","0.00%"
"11/17/2025","1.400","1.410","1.420","1.390","1.99M","0.00%"
"11/14/2025","1.400","1.400","1.420","1.390","17.35M","0.00%"
"11/13/2025","1.400","1.410","1.430","1.400","3.03M","0.00%"
"11/12/2025","1.400","1.420","1.430","1.390","21.45M","-2.78%"
"11/11/2025","1.440","1.440","1.450","1.410","2.14M","-0.69%"
"11/10/2025","1.450","1.450","1.460","1.440","1.20M","0.00%"
"11/07/2025","1.450","1.480","1.480","1.440","24.48M","-2.03%"
"11/06/2025","1.480","1.480","1.480","1.450","35.90M","0.00%"
"11/05/2025","1.480","1.490","1.490","1.450","2.02M","-0.67%"
"11/04/2025","1.490","1.480","1.490","1.470","1.83M","0.68%"
"11/03/2025","1.480","1.460","1.480","1.450","1.99M","1.37%"
"10/31/2025","1.460","1.470","1.480","1.460","799.04K","-1.35%"
"10/30/2025","1.480","1.470","1.500","1.450","22.80M","-0.67%"
"10/29/2025","1.490","1.480","1.490","1.460","2.65M","0.68%"
"10/28/2025","1.480","1.460","1.490","1.450","43.47M","1.37%"
"10/27/2025","1.460","1.440","1.460","1.440","1.33M","1.39%"
"10/24/2025","1.440","1.420","1.440","1.410","12.19M","2.86%"
"10/22/2025","1.400","1.400","1.420","1.400","147.90K","0.00%"
"10/21/2025","1.400","1.400","1.420","1.390","490.09K","0.00%"
"10/20/2025","1.400","1.390","1.400","1.390","377.84K","0.72%"
"10/17/2025","1.390","1.390","1.400","1.390","302.33K","-0.71%"
"10/16/2025","1.400","1.400","1.410","1.390","1.06M","0.00%"
"10/15/2025","1.400","1.410","1.420","1.400","1.03M","-1.41%"
"10/14/2025","1.420","1.410","1.430","1.410","390.05K","0.71%"
"10/13/2025","1.410","1.410","1.420","1.410","1.14M","0.00%"
"10/10/2025","1.410","1.410","1.420","1.410","94.89K","0.71%"
"10/09/2025","1.400","1.430","1.430","1.400","761.63K","-2.78%"
"10/08/2025","1.440","1.430","1.460","1.410","30.39M","1.41%"
"10/07/2025","1.420","1.420","1.440","1.410","34.84M","0.00%"
"10/06/2025","1.420","1.430","1.440","1.420","980.28K","-1.39%"
"10/03/2025","1.440","1.420","1.440","1.420","237.26K","1.41%"
"10/02/2025","1.420","1.420","1.440","1.420","68.40K","0.00%"
"10/01/2025","1.420","1.430","1.450","1.420","616.90K","-0.70%"
"09/30/2025","1.430","1.430","1.440","1.430","214.61K","-0.69%"
"09/29/2025","1.440","1.440","1.450","1.420","9.56M","0.00%"
"09/26/2025","1.440","1.430","1.440","1.420","185.96K","0.70%"
"09/25/2025","1.430","1.420","1.440","1.420","675.86K","0.00%"
"09/24/2025","1.430","1.430","1.440","1.420","13.93M","-0.69%"
"09/23/2025","1.440","1.440","1.460","1.430","11.98M","0.00%"
"09/22/2025","1.440","1.450","1.450","1.430","2.27M","0.00%"
"09/19/2025","1.440","1.450","1.450","1.440","3.65M","0.70%"
"09/18/2025","1.430","1.450","1.450","1.430","3.46M","-0.69%"
"09/17/2025","1.440","1.440","1.450","1.430","2.07M","0.00%"
"09/16/2025","1.440","1.440","1.450","1.440","1.52M","0.00%"
"09/15/2025","1.440","1.440","1.450","1.430","794.66K","0.00%"
"09/12/2025","1.440","1.440","1.450","1.440","736.55K","0.00%"
"09/11/2025","1.440","1.430","1.450","1.430","1.18M","0.00%"
"09/10/2025","1.440","1.430","1.450","1.430","1.40M","0.00%"
"09/09/2025","1.440","1.430","1.460","1.420","32.25M","0.00%"
"09/08/2025","1.440","1.460","1.470","1.440","37.09M","-1.37%"
"09/04/2025","1.460","1.470","1.470","1.440","1.29M","0.69%"
"09/03/2025","1.450","1.450","1.460","1.450","2.58M","0.00%"
"09/02/2025","1.450","1.440","1.460","1.440","27.22M","0.69%"
"09/01/2025","1.440","1.440","1.460","1.430","1.40M","0.00%"
