"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","1.670","1.680","1.700","1.660","115.28K","0.60%"
"03/31/2026","1.660","1.670","1.700","1.650","52.28K","-0.60%"
"03/30/2026","1.670","1.690","1.710","1.660","98.79K","-1.18%"
"03/27/2026","1.690","1.710","1.710","1.650","103.36K","0.00%"
"03/26/2026","1.690","1.730","1.730","1.650","704.16K","-2.31%"
"03/25/2026","1.730","1.720","1.790","1.690","564.00K","0.58%"
"03/24/2026","1.720","1.700","1.730","1.670","868.56K","2.38%"
"03/23/2026","1.680","1.700","1.710","1.650","128.86K","0.00%"
"03/18/2026","1.680","1.750","1.810","1.680","2.19M","-4.00%"
"03/17/2026","1.750","1.800","1.850","1.720","71.47K","0.57%"
"03/16/2026","1.740","1.730","1.760","1.680","191.55K","-1.14%"
"03/13/2026","1.760","1.730","1.770","1.730","50.64K","0.00%"
"03/12/2026","1.760","1.800","1.800","1.710","99.95K","-2.22%"
"03/11/2026","1.800","1.850","1.850","1.790","152.00K","-2.70%"
"03/10/2026","1.850","1.800","1.900","1.800","256.54K","1.65%"
"03/09/2026","1.820","1.890","1.890","1.800","91.06K","-3.70%"
"03/06/2026","1.890","1.940","1.940","1.850","216.80K","-2.58%"
"03/05/2026","1.940","1.910","1.990","1.910","270.56K","-3.48%"
"03/04/2026","2.010","2.010","2.010","2.010","32.20K","-4.74%"
"02/27/2026","2.110","2.140","2.140","2.110","72.77K","-1.40%"
"02/26/2026","2.140","2.130","2.150","2.130","4.91K","0.47%"
"02/25/2026","2.130","2.130","2.150","2.130","12.49K","0.00%"
"02/24/2026","2.130","2.130","2.160","2.130","135.00K","-0.47%"
"02/23/2026","2.140","2.120","2.160","2.110","62.65K","0.00%"
"02/20/2026","2.140","2.150","2.150","2.130","43.30K","0.00%"
"02/19/2026","2.140","2.150","2.170","2.140","48.29K","-1.83%"
"02/18/2026","2.180","2.180","2.180","2.130","52.48K","0.46%"
"02/17/2026","2.170","2.180","2.200","2.170","51.54K","-0.46%"
"02/16/2026","2.180","2.170","2.200","2.160","141.15K","0.46%"
"02/13/2026","2.170","2.180","2.180","2.160","67.25K","0.46%"
"02/12/2026","2.160","2.150","2.180","2.150","74.95K","0.47%"
"02/11/2026","2.150","2.180","2.180","2.130","66.53K","-0.92%"
"02/10/2026","2.170","2.170","2.180","2.160","100.50K","0.46%"
"02/09/2026","2.160","2.130","2.160","2.120","84.34K","0.93%"
"02/06/2026","2.140","2.140","2.160","2.110","93.65K","0.47%"
"02/05/2026","2.130","2.150","2.150","2.120","53.82K","-0.93%"
"02/04/2026","2.150","2.130","2.150","2.120","68.87K","0.94%"
"02/03/2026","2.130","2.150","2.180","2.130","83.32K","0.47%"
"02/02/2026","2.120","2.160","2.160","2.120","17.92K","-1.85%"
"01/30/2026","2.160","2.140","2.160","2.110","47.40K","2.37%"
"01/29/2026","2.110","2.160","2.180","2.110","187.72K","-2.31%"
"01/28/2026","2.160","2.160","2.180","2.150","66.34K","0.47%"
"01/27/2026","2.150","2.190","2.200","2.120","204.19K","-1.38%"
"01/26/2026","2.180","2.160","2.220","2.150","75.36K","0.93%"
"01/23/2026","2.160","2.190","2.210","2.150","197.81K","-2.26%"
"01/22/2026","2.210","2.220","2.220","2.180","16.10K","0.91%"
"01/21/2026","2.190","2.230","2.230","2.190","20.79K","0.00%"
"01/20/2026","2.190","2.230","2.230","2.180","114.12K","-1.79%"
"01/19/2026","2.230","2.220","2.250","2.190","30.15K","1.83%"
"01/16/2026","2.190","2.220","2.250","2.180","112.40K","-1.35%"
"01/15/2026","2.220","2.190","2.220","2.180","101.38K","1.37%"
"01/14/2026","2.190","2.220","2.220","2.190","62.71K","-1.35%"
"01/13/2026","2.220","2.210","2.260","2.200","139.74K","1.83%"
"01/12/2026","2.180","2.230","2.230","2.180","99.28K","-0.91%"
"01/09/2026","2.200","2.200","2.240","2.200","62.24K","-1.35%"
"01/08/2026","2.230","2.200","2.230","2.180","130.71K","2.76%"
"01/07/2026","2.170","2.210","2.240","2.170","164.98K","-0.46%"
"01/06/2026","2.180","2.190","2.220","2.140","299.14K","-1.36%"
"01/05/2026","2.210","2.220","2.270","2.180","271.30K","-0.45%"
"01/02/2026","2.220","2.250","2.260","2.200","32.57K","-2.20%"
"12/31/2025","2.270","2.290","2.290","2.230","775.52K","2.25%"
"12/30/2025","2.220","2.280","2.300","2.220","274.17K","-0.89%"
"12/29/2025","2.240","2.230","2.280","2.230","16.65K","-0.88%"
"12/26/2025","2.260","2.270","2.290","2.190","485.80K","0.89%"
"12/25/2025","2.240","2.230","2.280","2.230","52.49K","0.00%"
"12/24/2025","2.240","2.250","2.260","2.220","138.53K","-0.88%"
