"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","1.490","1.480","1.500","1.460","1.29M","0.68%"
"04/23/2026","1.480","1.500","1.500","1.470","1.93M","-0.67%"
"04/22/2026","1.490","1.510","1.520","1.470","5.69M","-1.32%"
"04/21/2026","1.510","1.480","1.510","1.470","4.96M","2.03%"
"04/20/2026","1.480","1.500","1.510","1.450","3.20M","-1.33%"
"04/17/2026","1.500","1.520","1.520","1.490","1.91M","0.67%"
"04/16/2026","1.490","1.510","1.520","1.490","6.47M","1.36%"
"04/15/2026","1.470","1.460","1.500","1.450","5.83M","0.68%"
"04/14/2026","1.460","1.440","1.480","1.440","4.69M","1.39%"
"04/13/2026","1.440","1.420","1.440","1.400","4.67M","0.70%"
"04/10/2026","1.430","1.430","1.440","1.420","1.63M","2.14%"
"04/09/2026","1.400","1.440","1.470","1.400","11.30M","-4.76%"
"04/08/2026","1.470","1.460","1.490","1.430","11.33M","11.36%"
"04/07/2026","1.320","1.360","1.360","1.320","3.17M","-2.94%"
"04/06/2026","1.360","1.370","1.390","1.350","990.03K","0.00%"
"04/03/2026","1.360","1.350","1.380","1.330","2.38M","-2.86%"
"04/02/2026","1.400","1.430","1.430","1.390","5.78M","-2.78%"
"04/01/2026","1.440","1.430","1.460","1.420","1.41M","2.86%"
"03/31/2026","1.400","1.410","1.430","1.390","1.65M","0.00%"
"03/30/2026","1.400","1.400","1.430","1.390","2.59M","0.00%"
"03/27/2026","1.400","1.410","1.440","1.390","3.44M","-0.71%"
"03/26/2026","1.410","1.490","1.490","1.410","3.78M","-4.73%"
"03/25/2026","1.480","1.450","1.490","1.450","4.51M","3.50%"
"03/24/2026","1.430","1.450","1.460","1.410","2.15M","2.14%"
"03/23/2026","1.400","1.450","1.450","1.380","1.63M","-3.45%"
"03/18/2026","1.450","1.420","1.460","1.410","6.16M","2.11%"
"03/17/2026","1.420","1.400","1.460","1.390","5.89M","2.16%"
"03/16/2026","1.390","1.370","1.390","1.360","2.07M","1.46%"
"03/13/2026","1.370","1.370","1.450","1.310","3.50M","0.00%"
"03/12/2026","1.370","1.400","1.420","1.360","2.75M","-2.14%"
"03/11/2026","1.400","1.480","1.490","1.390","4.32M","-3.45%"
"03/10/2026","1.450","1.360","1.520","1.350","5.77M","8.21%"
"03/09/2026","1.340","1.390","1.390","1.340","4.39M","-4.96%"
"03/06/2026","1.410","1.470","1.480","1.390","6.78M","-3.42%"
"03/05/2026","1.460","1.460","1.500","1.460","9.39M","-4.58%"
"03/04/2026","1.530","1.530","1.530","1.530","963.36K","-4.97%"
"02/27/2026","1.610","1.600","1.610","1.580","3.80M","0.62%"
"02/26/2026","1.600","1.630","1.650","1.590","4.65M","-1.84%"
"02/25/2026","1.630","1.640","1.660","1.630","1.02M","-0.61%"
"02/24/2026","1.640","1.660","1.660","1.630","882.17K","-0.61%"
"02/23/2026","1.650","1.650","1.670","1.640","1.09M","0.00%"
"02/20/2026","1.650","1.650","1.670","1.650","1.48M","-0.60%"
"02/19/2026","1.660","1.670","1.670","1.650","2.78M","-1.19%"
"02/18/2026","1.680","1.680","1.690","1.660","2.33M","0.00%"
"02/17/2026","1.680","1.680","1.680","1.660","2.57M","0.60%"
"02/16/2026","1.670","1.680","1.690","1.660","1.98M","-0.60%"
"02/13/2026","1.680","1.690","1.690","1.660","1.58M","0.00%"
"02/12/2026","1.680","1.690","1.690","1.660","4.42M","0.00%"
"02/11/2026","1.680","1.690","1.700","1.670","2.16M","-0.59%"
"02/10/2026","1.690","1.690","1.700","1.680","2.22M","0.60%"
