"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","2.06","2.05","2.08","2.03","544.45K","0.49%"
"04/23/2026","2.05","2.04","2.07","2.00","3.28M","0.99%"
"04/22/2026","2.03","2.13","2.13","2.02","4.71M","-3.33%"
"04/21/2026","2.10","2.15","2.15","2.06","4.17M","-0.47%"
"04/20/2026","2.11","2.19","2.19","2.11","2.52M","-3.65%"
"04/17/2026","2.19","2.21","2.25","2.18","1.17M","0.92%"
"04/16/2026","2.17","2.16","2.19","2.16","4.83M","-1.81%"
"04/15/2026","2.21","2.19","2.24","2.19","7.44M","1.38%"
"04/14/2026","2.18","2.18","2.22","2.18","4.07M","-0.46%"
"04/13/2026","2.19","2.19","2.19","2.13","1.55M","0.46%"
"04/10/2026","2.18","2.17","2.18","2.14","1.39M","0.46%"
"04/09/2026","2.17","2.19","2.20","2.13","1.52M","-0.91%"
"04/08/2026","2.19","2.17","2.22","2.16","5.50M","5.29%"
"04/07/2026","2.08","2.11","2.11","2.06","1.35M","-1.89%"
"04/06/2026","2.12","2.13","2.18","2.11","1.57M","-1.40%"
"04/03/2026","2.15","2.13","2.17","2.11","178.15K","1.42%"
"04/02/2026","2.12","2.15","2.15","2.04","2.90M","-0.93%"
"04/01/2026","2.14","2.13","2.20","2.13","1.13M","0.00%"
"03/31/2026","2.14","2.14","2.15","2.12","951.37K","0.00%"
"03/30/2026","2.14","2.18","2.20","2.13","1.87M","-1.83%"
"03/27/2026","2.18","2.22","2.22","2.18","1.14M","-1.80%"
"03/26/2026","2.22","2.27","2.30","2.20","1.56M","-2.20%"
"03/25/2026","2.27","2.30","2.33","2.27","2.37M","-1.30%"
"03/24/2026","2.30","2.24","2.32","2.19","2.00M","3.14%"
"03/23/2026","2.23","2.29","2.29","2.22","860.79K","-3.88%"
"03/18/2026","2.32","2.30","2.35","2.25","3.04M","0.87%"
"03/17/2026","2.30","2.22","2.31","2.20","2.57M","3.14%"
"03/16/2026","2.23","2.27","2.31","2.22","3.01M","-4.29%"
"03/13/2026","2.33","2.13","2.55","2.13","2.42M","4.48%"
"03/12/2026","2.23","2.32","2.33","2.23","2.07M","-4.70%"
"03/11/2026","2.34","2.44","2.44","2.27","2.88M","0.86%"
"03/10/2026","2.32","2.33","2.44","2.22","6.00M","-0.43%"
"03/09/2026","2.33","2.45","2.45","2.33","1.95M","-4.90%"
"03/06/2026","2.45","2.45","2.64","2.38","3.21M","0.00%"
"03/05/2026","2.45","2.45","2.71","2.45","8.33M","-4.67%"
"03/04/2026","2.57","2.57","2.57","2.57","220.19K","-4.81%"
"02/27/2026","2.70","2.69","2.71","2.67","243.33K","1.12%"
"02/26/2026","2.67","2.71","2.71","2.66","495.72K","-1.11%"
"02/25/2026","2.70","2.75","2.78","2.68","1.39M","-1.46%"
"02/24/2026","2.74","2.75","2.79","2.74","284.82K","-0.36%"
"02/23/2026","2.75","2.74","2.78","2.72","491.21K","1.10%"
"02/20/2026","2.72","2.75","2.80","2.70","365.35K","-1.81%"
"02/19/2026","2.77","2.83","2.84","2.75","625.99K","-2.46%"
"02/18/2026","2.84","2.82","2.85","2.81","1.47M","1.07%"
"02/17/2026","2.81","2.78","2.85","2.78","1.46M","-1.06%"
"02/16/2026","2.84","2.80","2.84","2.79","421.99K","0.35%"
"02/13/2026","2.83","2.84","2.84","2.79","317.82K","-0.35%"
"02/12/2026","2.84","2.81","2.87","2.81","646.31K","0.71%"
"02/11/2026","2.82","2.83","2.87","2.81","442.91K","-0.70%"
"02/10/2026","2.84","2.84","2.88","2.84","513.13K","0.00%"
"02/09/2026","2.84","2.84","2.89","2.84","801.74K","0.00%"
"02/06/2026","2.84","2.84","2.84","2.80","330.51K","-0.35%"
"02/05/2026","2.85","2.87","2.87","2.85","1.04M","-0.70%"
"02/04/2026","2.87","2.87","2.89","2.85","1.72M","0.00%"
"02/03/2026","2.87","2.86","2.89","2.86","443.83K","0.35%"
"02/02/2026","2.86","2.84","2.87","2.80","1.13M","0.70%"
"01/30/2026","2.84","2.76","2.85","2.75","794.82K","0.71%"
"01/29/2026","2.82","2.83","2.84","2.77","1.03M","-0.35%"
"01/28/2026","2.83","2.78","2.83","2.78","1.28M","0.71%"
"01/27/2026","2.81","2.80","2.81","2.77","801.90K","0.36%"
"01/26/2026","2.80","2.75","2.80","2.70","1.69M","0.36%"
"01/23/2026","2.79","2.78","2.80","2.77","235.71K","-0.36%"
"01/22/2026","2.80","2.81","2.84","2.77","2.07M","-0.36%"
"01/21/2026","2.81","2.80","2.81","2.76","1.58M","0.36%"
"01/20/2026","2.80","2.71","2.81","2.71","4.11M","2.19%"
"01/19/2026","2.74","2.72","2.75","2.69","781.83K","1.48%"
"01/16/2026","2.70","2.60","2.73","2.60","575.57K","2.27%"
"01/15/2026","2.64","2.63","2.68","2.60","1.66M","0.00%"
"01/14/2026","2.64","2.63","2.70","2.63","1.73M","0.00%"
"01/13/2026","2.64","2.59","2.66","2.59","2.93M","1.93%"
"01/12/2026","2.59","2.56","2.59","2.56","3.68M","1.17%"
"01/09/2026","2.56","2.58","2.58","2.56","708.26K","-0.78%"
"01/08/2026","2.58","2.57","2.59","2.57","1.83M","0.39%"
"01/07/2026","2.57","2.55","2.61","2.53","6.20M","0.78%"
"01/06/2026","2.55","2.55","2.56","2.53","3.24M","0.00%"
"01/05/2026","2.55","2.56","2.57","2.52","9.13M","-1.16%"
"01/02/2026","2.58","2.57","2.58","2.54","127.65K","0.39%"
"12/31/2025","2.57","2.56","2.58","2.55","564.56K","0.39%"
"12/30/2025","2.56","2.58","2.58","2.55","2.04M","-0.78%"
"12/29/2025","2.58","2.54","2.58","2.54","365.26K","1.98%"
"12/26/2025","2.53","2.53","2.55","2.53","43.20K","-0.78%"
"12/25/2025","2.55","2.53","2.55","2.53","55.10K","0.39%"
"12/24/2025","2.54","2.55","2.55","2.53","5.94M","-0.39%"
"12/23/2025","2.55","2.55","2.55","2.53","1.21M","0.00%"
"12/22/2025","2.55","2.55","2.56","2.52","903.91K","0.00%"
"12/19/2025","2.55","2.53","2.56","2.53","406.24K","0.79%"
"12/18/2025","2.53","2.55","2.55","2.53","471.37K","0.00%"
"12/17/2025","2.53","2.54","2.55","2.51","1.03M","0.00%"
"12/16/2025","2.53","2.53","2.54","2.52","519.86K","-0.39%"
"12/15/2025","2.54","2.56","2.56","2.53","218.11K","-0.78%"
"12/12/2025","2.56","2.55","2.56","2.52","1.38M","0.00%"
"12/11/2025","2.56","2.56","2.56","2.54","673.57K","0.00%"
"12/10/2025","2.56","2.54","2.56","2.53","589.76K","0.79%"
"12/09/2025","2.54","2.53","2.54","2.49","493.85K","0.40%"
"12/08/2025","2.53","2.54","2.54","2.49","1.08M","-0.39%"
"12/05/2025","2.54","2.52","2.55","2.51","1.02M","0.40%"
"12/04/2025","2.53","2.52","2.54","2.50","794.14K","0.40%"
"12/03/2025","2.52","2.55","2.60","2.50","811.77K","-3.08%"
"11/28/2025","2.60","2.55","2.60","2.54","405.15K","1.96%"
"11/27/2025","2.55","2.67","2.67","2.51","663.88K","2.00%"
"11/26/2025","2.50","2.50","2.51","2.48","368.67K","-0.40%"
"11/25/2025","2.51","2.46","2.52","2.46","662.55K","2.03%"
"11/24/2025","2.46","2.49","2.54","2.46","805.82K","-1.20%"
"11/21/2025","2.49","2.51","2.59","2.48","1.11M","-1.97%"
"11/20/2025","2.54","2.50","2.57","2.49","479.95K","1.60%"
"11/19/2025","2.50","2.52","2.53","2.48","18.67M","-1.57%"
"11/18/2025","2.54","2.57","2.57","2.52","3.30M","-1.17%"
"11/17/2025","2.57","2.59","2.62","2.56","768.29K","-1.91%"
"11/14/2025","2.62","2.63","2.63","2.60","260.31K","-0.38%"
"11/13/2025","2.63","2.62","2.63","2.60","1.16M","0.00%"
"11/12/2025","2.63","2.67","2.67","2.62","842.35K","-1.87%"
"11/11/2025","2.68","2.70","2.70","2.64","636.97K","-0.37%"
"11/10/2025","2.69","2.70","2.70","2.66","294.40K","-0.37%"
"11/07/2025","2.70","2.70","2.70","2.66","458.43K","-0.37%"
"11/06/2025","2.71","2.70","2.71","2.68","386.20K","0.37%"
"11/05/2025","2.70","2.69","2.70","2.66","434.45K","0.37%"
"11/04/2025","2.69","2.66","2.70","2.66","1.24M","-0.37%"
"11/03/2025","2.70","2.68","2.70","2.66","399.78K","0.75%"
"10/31/2025","2.68","2.68","2.71","2.68","822.70K","0.00%"
"10/30/2025","2.68","2.68","2.71","2.66","489.18K","0.00%"
"10/29/2025","2.68","2.70","2.72","2.66","922.73K","-0.74%"
"10/28/2025","2.70","2.70","2.71","2.68","465.50K","0.37%"
"10/27/2025","2.69","2.70","2.73","2.68","430.84K","-1.82%"
"10/24/2025","2.74","2.71","2.74","2.71","210.98K","0.37%"
"10/23/2025","2.73","2.69","2.75","2.69","1.54M","0.74%"
"10/22/2025","2.71","2.75","2.75","2.69","1.20M","-1.45%"
"10/21/2025","2.75","2.66","2.78","2.65","3.73M","2.61%"
"10/20/2025","2.68","2.72","2.72","2.66","1.91M","-1.47%"
"10/17/2025","2.72","2.80","2.80","2.68","1.91M","-2.51%"
"10/16/2025","2.79","2.80","2.80","2.74","1.20M","-0.36%"
"10/15/2025","2.80","2.78","2.81","2.76","2.53M","0.72%"
"10/14/2025","2.78","2.74","2.79","2.70","7.52M","1.46%"
"10/13/2025","2.74","2.66","2.74","2.66","315.38K","0.00%"
"10/10/2025","2.74","2.66","2.74","2.66","362.32K","0.74%"
"10/09/2025","2.72","2.70","2.72","2.67","1.32M","0.74%"
"10/08/2025","2.70","2.66","2.70","2.65","1.18M","1.50%"
"10/07/2025","2.66","2.65","2.66","2.62","746.28K","1.92%"
"10/06/2025","2.61","2.65","2.66","2.61","1.39M","-1.51%"
"10/03/2025","2.65","2.63","2.65","2.60","636.72K","0.76%"
"10/02/2025","2.63","2.58","2.63","2.58","1.63M","1.94%"
"10/01/2025","2.58","2.59","2.60","2.54","727.09K","-0.39%"
