"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","0.4090","0.4100","0.4130","0.4050","6.32M","-0.49%"
"04/23/2026","0.4110","0.4130","0.4160","0.4080","2.98M","0.00%"
"04/22/2026","0.4110","0.4260","0.4260","0.4110","5.44M","-3.52%"
"04/21/2026","0.4260","0.4090","0.4260","0.4040","7.18M","4.67%"
"04/20/2026","0.4070","0.4220","0.4220","0.4060","5.42M","-4.24%"
"04/17/2026","0.4250","0.4200","0.4300","0.4150","14.66M","1.43%"
"04/16/2026","0.4190","0.4140","0.4200","0.4120","17.74M","2.70%"
"04/15/2026","0.4080","0.4000","0.4130","0.3980","17.67M","2.00%"
"04/14/2026","0.4000","0.3990","0.4030","0.3930","10.46M","0.76%"
"04/13/2026","0.3970","0.4020","0.4060","0.3960","9.45M","-0.75%"
"04/10/2026","0.4000","0.4020","0.4050","0.3960","5.36M","0.00%"
"04/09/2026","0.4000","0.4120","0.4120","0.3980","7.88M","-2.68%"
"04/08/2026","0.4110","0.4030","0.4300","0.4030","11.49M","6.20%"
"04/07/2026","0.3870","0.3900","0.3910","0.3840","1.64M","-0.51%"
"04/06/2026","0.3890","0.3930","0.3960","0.3850","3.10M","-0.51%"
"04/03/2026","0.3910","0.3900","0.3930","0.3880","1.61M","1.56%"
"04/02/2026","0.3850","0.3940","0.3940","0.3840","3.04M","-2.28%"
"04/01/2026","0.3940","0.3940","0.4040","0.3890","2.72M","3.14%"
"03/31/2026","0.3820","0.3990","0.4020","0.3820","5.14M","-4.02%"
"03/30/2026","0.3980","0.4000","0.4020","0.3930","2.27M","-1.97%"
"03/27/2026","0.4060","0.4000","0.4090","0.3970","3.59M","2.27%"
"03/26/2026","0.3970","0.4080","0.4080","0.3900","4.49M","-1.98%"
"03/25/2026","0.4050","0.4020","0.4130","0.4020","5.54M","2.02%"
"03/24/2026","0.3970","0.4070","0.4260","0.3930","5.78M","-1.49%"
"03/23/2026","0.4030","0.3970","0.4030","0.3960","2.65M","-3.13%"
"03/18/2026","0.4160","0.4000","0.4180","0.4000","6.73M","5.58%"
"03/17/2026","0.3940","0.3770","0.4000","0.3700","4.29M","1.29%"
"03/16/2026","0.3890","0.4030","0.4030","0.3890","3.51M","-4.89%"
"03/13/2026","0.4090","0.4090","0.4100","0.3960","3.40M","0.49%"
"03/12/2026","0.4070","0.4260","0.4270","0.4050","7.86M","-4.46%"
"03/11/2026","0.4260","0.4490","0.4530","0.4260","12.65M","-4.91%"
"03/10/2026","0.4480","0.4400","0.4580","0.4350","7.40M","2.99%"
"03/09/2026","0.4350","0.4400","0.4410","0.4300","8.92M","-3.76%"
"03/06/2026","0.4520","0.4600","0.4650","0.4410","13.98M","-1.74%"
"03/05/2026","0.4600","0.4520","0.4700","0.4320","27.19M","1.77%"
"03/04/2026","0.4520","0.4520","0.4580","0.4520","25.56M","-4.84%"
"02/27/2026","0.4750","0.4820","0.4900","0.4750","4.72M","-1.25%"
"02/26/2026","0.4810","0.4840","0.4850","0.4780","3.19M","-0.21%"
"02/25/2026","0.4820","0.4800","0.4890","0.4800","4.83M","-0.21%"
"02/24/2026","0.4830","0.4840","0.4930","0.4800","10.50M","-0.21%"
"02/23/2026","0.4840","0.4810","0.4910","0.4770","11.54M","0.83%"
"02/20/2026","0.4800","0.4680","0.4900","0.4680","10.09M","3.45%"
"02/19/2026","0.4640","0.5020","0.5040","0.4640","17.95M","-7.94%"
"02/18/2026","0.5040","0.5010","0.5060","0.5000","4.17M","1.20%"
"02/17/2026","0.4980","0.5110","0.5110","0.4960","11.81M","-2.16%"
"02/16/2026","0.5090","0.4840","0.5150","0.4830","35.25M","5.17%"
"02/13/2026","0.4840","0.4990","0.5000","0.4840","9.64M","-3.01%"
"02/12/2026","0.4990","0.5110","0.5150","0.4920","18.59M","0.60%"
"02/11/2026","0.4960","0.4790","0.5120","0.4790","53.06M","3.33%"
"02/10/2026","0.4800","0.4790","0.4870","0.4780","6.83M","0.00%"
"02/09/2026","0.4800","0.4790","0.4920","0.4760","13.53M","0.63%"
"02/06/2026","0.4770","0.4920","0.4960","0.4750","12.75M","-3.05%"
"02/05/2026","0.4920","0.4640","0.5020","0.4600","63.25M","6.49%"
"02/04/2026","0.4620","0.4620","0.4730","0.4620","11.10M","0.00%"
"02/03/2026","0.4620","0.4510","0.4670","0.4510","7.89M","2.44%"
"02/02/2026","0.4510","0.4490","0.4540","0.4480","4.93M","0.22%"
"01/30/2026","0.4500","0.4540","0.4570","0.4490","4.95M","-1.10%"
"01/29/2026","0.4550","0.4620","0.4630","0.4550","7.32M","-1.30%"
"01/28/2026","0.4610","0.4630","0.4660","0.4600","4.63M","-0.22%"
"01/27/2026","0.4620","0.4620","0.4670","0.4620","5.89M","0.43%"
"01/26/2026","0.4600","0.4710","0.4710","0.4590","10.42M","-2.13%"
"01/23/2026","0.4700","0.4730","0.4780","0.4690","12.76M","-0.21%"
"01/22/2026","0.4710","0.4730","0.4790","0.4700","19.05M","-0.42%"
"01/21/2026","0.4730","0.4620","0.4780","0.4620","26.97M","2.16%"
"01/20/2026","0.4630","0.4620","0.4640","0.4600","5.04M","0.65%"
"01/19/2026","0.4600","0.4640","0.4660","0.4600","8.85M","-0.65%"
"01/16/2026","0.4630","0.4620","0.4670","0.4570","5.84M","0.43%"
"01/15/2026","0.4610","0.4650","0.4680","0.4600","9.57M","-1.07%"
"01/14/2026","0.4660","0.4710","0.4810","0.4660","15.44M","-1.27%"
"01/13/2026","0.4720","0.4690","0.4730","0.4640","4.55M","1.07%"
"01/12/2026","0.4670","0.4660","0.4680","0.4620","3.35M","0.43%"
"01/09/2026","0.4650","0.4750","0.4750","0.4650","2.09M","-1.90%"
"01/08/2026","0.4740","0.4760","0.4770","0.4720","3.83M","-0.21%"
"01/07/2026","0.4750","0.4670","0.4790","0.4650","14.49M","1.71%"
"01/06/2026","0.4670","0.4660","0.4720","0.4640","8.48M","0.21%"
"01/05/2026","0.4660","0.4750","0.4750","0.4610","6.30M","-1.89%"
"01/02/2026","0.4750","0.4800","0.4830","0.4750","4.15M","-0.84%"
"12/31/2025","0.4790","0.4700","0.4800","0.4700","3.62M","2.13%"
"12/30/2025","0.4690","0.4840","0.4840","0.4660","8.55M","-3.30%"
"12/29/2025","0.4850","0.4880","0.4880","0.4800","6.93M","-0.61%"
"12/26/2025","0.4880","0.4800","0.4910","0.4760","7.14M","1.88%"
"12/25/2025","0.4790","0.4820","0.4870","0.4790","1.46M","-0.21%"
"12/24/2025","0.4800","0.4770","0.4890","0.4750","4.45M","0.42%"
"12/23/2025","0.4780","0.4810","0.4900","0.4710","12.21M","-0.42%"
"12/22/2025","0.4800","0.4870","0.4870","0.4750","4.02M","-1.23%"
"12/19/2025","0.4860","0.4930","0.4940","0.4780","13.85M","-1.42%"
"12/18/2025","0.4930","0.4890","0.4950","0.4890","3.42M","0.41%"
"12/17/2025","0.4910","0.4880","0.4910","0.4870","1.28M","0.82%"
"12/16/2025","0.4870","0.4940","0.4950","0.4870","4.49M","-1.42%"
"12/15/2025","0.4940","0.5000","0.5020","0.4930","6.82M","-1.20%"
"12/12/2025","0.5000","0.4880","0.5050","0.4850","46.05M","4.17%"
"12/11/2025","0.4800","0.4900","0.4900","0.4800","5.72M","-1.84%"
"12/10/2025","0.4890","0.4960","0.5010","0.4860","17.51M","-1.41%"
"12/09/2025","0.4960","0.5050","0.5060","0.4950","21.30M","-1.78%"
"12/08/2025","0.5050","0.5010","0.5160","0.5000","21.08M","0.80%"
"12/05/2025","0.5010","0.5090","0.5100","0.5000","11.30M","-1.57%"
"12/04/2025","0.5090","0.5130","0.5160","0.5080","11.63M","-0.78%"
"12/03/2025","0.5130","0.5150","0.5190","0.5100","9.07M","0.20%"
"11/28/2025","0.5120","0.5130","0.5190","0.5040","13.79M","0.39%"
"11/27/2025","0.5100","0.5190","0.5270","0.5100","24.17M","-0.97%"
"11/26/2025","0.5150","0.5000","0.5230","0.5000","51.77M","3.00%"
"11/25/2025","0.5000","0.5000","0.5110","0.4960","19.41M","0.00%"
"11/24/2025","0.5000","0.5040","0.5300","0.4980","38.33M","-1.38%"
"11/21/2025","0.5070","0.5400","0.5590","0.5010","95.86M","-5.06%"
"11/20/2025","0.5340","0.4650","0.5340","0.4650","122.30M","14.84%"
"11/19/2025","0.4650","0.4800","0.4800","0.4630","9.31M","-3.12%"
"11/18/2025","0.4800","0.4630","0.4830","0.4590","15.79M","3.23%"
"11/17/2025","0.4650","0.4750","0.4760","0.4620","3.35M","-2.11%"
"11/14/2025","0.4750","0.4560","0.4790","0.4510","14.95M","3.94%"
"11/13/2025","0.4570","0.4560","0.4600","0.4440","9.19M","-0.22%"
"11/12/2025","0.4580","0.4710","0.4750","0.4500","15.75M","-2.76%"
"11/11/2025","0.4710","0.4720","0.4730","0.4580","21.05M","0.21%"
"11/10/2025","0.4700","0.4760","0.4910","0.4700","8.89M","-1.67%"
"11/07/2025","0.4780","0.4710","0.4920","0.4710","36.54M","1.70%"
"11/06/2025","0.4700","0.4360","0.4700","0.4360","46.38M","7.80%"
"11/05/2025","0.4360","0.4330","0.4460","0.4190","50.31M","1.16%"
"11/04/2025","0.4310","0.4300","0.4340","0.4180","24.89M","-0.23%"
"11/03/2025","0.4320","0.4340","0.4390","0.4280","12.67M","0.00%"
"10/31/2025","0.4320","0.4400","0.4440","0.4270","8.54M","-1.82%"
"10/30/2025","0.4400","0.4500","0.4520","0.4400","11.12M","-2.65%"
"10/29/2025","0.4520","0.4620","0.4690","0.4500","21.12M","-1.95%"
"10/28/2025","0.4610","0.4660","0.4660","0.4580","7.92M","-0.86%"
"10/27/2025","0.4650","0.4730","0.4800","0.4640","10.46M","-1.69%"
"10/24/2025","0.4730","0.4730","0.4750","0.4620","22.39M","0.21%"
"10/23/2025","0.4720","0.4750","0.4780","0.4700","7.65M","-0.84%"
"10/22/2025","0.4760","0.4830","0.4830","0.4760","4.19M","-1.65%"
"10/21/2025","0.4840","0.4830","0.4900","0.4780","4.76M","0.41%"
"10/20/2025","0.4820","0.4860","0.4890","0.4820","1.56M","-0.62%"
"10/17/2025","0.4850","0.4890","0.4910","0.4830","6.21M","-1.02%"
