"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","1.95","1.90","1.95","1.90","231.80K","1.04%"
"04/23/2026","1.93","1.87","1.93","1.87","294.27K","1.05%"
"04/22/2026","1.91","1.92","1.93","1.86","2.67M","-2.05%"
"04/21/2026","1.95","1.94","1.95","1.90","485.38K","0.52%"
"04/20/2026","1.94","1.98","2.02","1.94","1.76M","-4.90%"
"04/17/2026","2.04","2.02","2.04","2.00","356.78K","0.00%"
"04/16/2026","2.04","2.08","2.08","2.00","742.37K","3.55%"
"04/15/2026","1.97","1.90","2.00","1.89","1.60M","3.68%"
"04/14/2026","1.90","1.86","1.90","1.84","1.11M","4.40%"
"04/13/2026","1.82","1.84","1.89","1.77","718.22K","-0.55%"
"04/10/2026","1.83","1.83","1.84","1.80","362.26K","1.10%"
"04/09/2026","1.81","1.83","1.83","1.76","535.19K","-1.09%"
"04/08/2026","1.83","1.80","1.88","1.80","1.36M","7.02%"
"04/07/2026","1.71","1.80","1.80","1.71","464.11K","-1.72%"
"04/06/2026","1.74","1.75","1.76","1.71","204.91K","-2.79%"
"04/03/2026","1.79","1.73","1.79","1.71","105.78K","4.07%"
"04/02/2026","1.72","1.74","1.74","1.72","163.68K","-0.58%"
"04/01/2026","1.73","1.74","1.74","1.71","306.34K","1.76%"
"03/31/2026","1.70","1.72","1.73","1.70","3.46M","-4.49%"
"03/30/2026","1.78","1.89","1.89","1.77","11.19M","-0.56%"
"03/27/2026","1.79","1.84","1.84","1.75","1.93M","-0.56%"
"03/26/2026","1.80","1.79","1.80","1.75","2.63M","0.56%"
"03/25/2026","1.79","1.73","1.80","1.71","2.84M","5.29%"
"03/24/2026","1.70","1.75","1.81","1.69","2.41M","-2.30%"
"03/23/2026","1.74","1.84","1.84","1.74","982.51K","-4.92%"
"03/18/2026","1.83","1.82","1.84","1.77","12.25M","1.67%"
"03/17/2026","1.80","1.76","1.83","1.70","6.48M","2.27%"
"03/16/2026","1.76","1.72","1.77","1.71","3.14M","-2.22%"
"03/13/2026","1.80","1.85","1.85","1.79","5.62M","-4.26%"
"03/12/2026","1.88","1.85","1.89","1.84","258.27K","0.00%"
"03/11/2026","1.88","1.97","1.97","1.86","1.33M","-2.08%"
"03/10/2026","1.92","1.67","1.97","1.67","2.77M","9.71%"
"03/09/2026","1.75","1.84","1.84","1.75","2.34M","-4.89%"
"03/06/2026","1.84","1.84","1.90","1.84","1.36M","-3.16%"
"03/05/2026","1.90","1.90","1.99","1.90","6.64M","-4.52%"
"03/04/2026","1.99","1.99","1.99","1.99","666.97K","-4.78%"
"02/27/2026","2.09","2.09","2.10","2.09","149.03K","-0.48%"
"02/26/2026","2.10","2.08","2.12","2.08","1.83M","1.45%"
"02/25/2026","2.07","2.10","2.10","2.06","1.14M","-1.43%"
"02/24/2026","2.10","2.13","2.13","2.10","1.01M","-1.41%"
"02/23/2026","2.13","2.10","2.13","2.09","797.22K","1.43%"
"02/20/2026","2.10","2.10","2.11","2.07","595.23K","0.00%"
"02/19/2026","2.10","2.13","2.13","2.08","2.92M","-1.41%"
"02/18/2026","2.13","2.12","2.14","2.10","2.46M","-0.47%"
"02/17/2026","2.14","2.13","2.14","2.12","2.03M","0.00%"
"02/16/2026","2.14","2.12","2.14","2.12","280.81K","0.00%"
"02/13/2026","2.14","2.15","2.15","2.12","2.35M","-0.47%"
"02/12/2026","2.15","2.14","2.15","2.13","810.94K","0.94%"
"02/11/2026","2.13","2.16","2.16","2.13","1.71M","-1.39%"
"02/10/2026","2.16","2.14","2.16","2.14","1.34M","0.47%"
"02/09/2026","2.15","2.13","2.15","2.13","1.87M","2.38%"
"02/06/2026","2.10","2.11","2.12","2.10","1.44M","-0.47%"
"02/05/2026","2.11","2.11","2.13","2.10","462.47K","-0.94%"
"02/04/2026","2.13","2.13","2.14","2.12","861.79K","-0.47%"
"02/03/2026","2.14","2.12","2.16","2.10","2.04M","1.90%"
"02/02/2026","2.10","2.10","2.12","2.07","1.29M","0.00%"
"01/30/2026","2.10","2.09","2.12","2.08","180.77K","-0.47%"
"01/29/2026","2.11","2.11","2.11","2.07","732.62K","0.00%"
"01/28/2026","2.11","2.15","2.15","2.11","1.95M","-1.40%"
"01/27/2026","2.14","2.14","2.15","2.13","330.49K","0.00%"
"01/26/2026","2.14","2.20","2.20","2.12","689.24K","-2.28%"
"01/23/2026","2.19","2.18","2.20","2.18","38.26K","0.00%"
"01/22/2026","2.19","2.19","2.20","2.19","336.73K","0.00%"
"01/21/2026","2.19","2.17","2.20","2.17","2.40M","0.00%"
"01/20/2026","2.19","2.11","2.19","2.11","2.01M","3.79%"
"01/19/2026","2.11","2.13","2.13","2.10","437.55K","-0.94%"
"01/16/2026","2.13","2.14","2.15","2.10","851.35K","-0.47%"
"01/15/2026","2.14","2.13","2.14","2.09","861.22K","0.94%"
"01/14/2026","2.12","2.10","2.14","2.08","3.67M","0.00%"
"01/13/2026","2.12","2.10","2.13","2.09","3.24M","0.00%"
"01/12/2026","2.12","2.20","2.20","2.10","2.58M","-5.36%"
"01/09/2026","2.24","2.22","2.24","2.22","566.37K","0.45%"
"01/08/2026","2.23","2.23","2.24","2.23","319.26K","-0.45%"
"01/07/2026","2.24","2.26","2.26","2.22","1.26M","0.00%"
"01/06/2026","2.24","2.29","2.29","2.24","1.47M","-2.61%"
"01/05/2026","2.30","2.33","2.33","2.29","395.20K","-1.71%"
"01/02/2026","2.34","2.29","2.34","2.29","1.73M","2.63%"
"12/31/2025","2.28","2.24","2.28","2.24","1.08M","0.88%"
"12/30/2025","2.26","2.30","2.30","2.22","1.64M","-1.31%"
"12/29/2025","2.29","2.29","2.29","2.26","614.67K","0.00%"
"12/26/2025","2.29","2.27","2.29","2.27","679.97K","0.88%"
"12/25/2025","2.27","2.27","2.27","2.25","648.05K","0.44%"
"12/24/2025","2.26","2.27","2.27","2.24","560.84K","-0.44%"
"12/23/2025","2.27","2.28","2.28","2.24","639.77K","-0.44%"
"12/22/2025","2.28","2.29","2.29","2.24","2.03M","-0.44%"
"12/19/2025","2.29","2.24","2.29","2.24","2.63M","1.78%"
"12/18/2025","2.25","2.28","2.28","2.25","730.36K","-0.44%"
"12/17/2025","2.26","2.24","2.28","2.22","5.91M","1.35%"
"12/16/2025","2.23","2.19","2.24","2.19","2.35M","1.83%"
"12/15/2025","2.19","2.20","2.25","2.19","1.41M","-0.45%"
"12/12/2025","2.20","2.20","2.20","2.16","2.45M","0.92%"
"12/11/2025","2.18","2.19","2.19","2.17","134.78K","0.93%"
"12/10/2025","2.16","2.16","2.17","2.15","521.99K","0.00%"
"12/09/2025","2.16","2.19","2.19","2.16","2.27M","-0.46%"
"12/08/2025","2.17","2.14","2.19","2.14","5.16M","-0.46%"
"12/05/2025","2.18","2.11","2.18","2.11","1.69M","2.35%"
"12/04/2025","2.13","2.13","2.15","2.12","2.48M","-0.93%"
"12/03/2025","2.15","2.14","2.15","2.14","277.48K","0.00%"
"11/28/2025","2.15","2.14","2.15","2.14","150.01K","0.00%"
"11/27/2025","2.15","2.15","2.18","2.14","3.01M","0.00%"
"11/26/2025","2.15","2.14","2.15","2.14","419.83K","1.90%"
"11/25/2025","2.11","2.11","2.14","2.10","402.24K","-1.40%"
"11/24/2025","2.14","2.14","2.15","2.12","148.91K","-0.93%"
"11/21/2025","2.16","2.13","2.16","2.12","1.78M","1.41%"
"11/20/2025","2.13","2.15","2.16","2.13","1.94M","-0.47%"
"11/19/2025","2.14","2.13","2.14","2.10","3.27M","1.42%"
"11/18/2025","2.11","2.10","2.14","2.10","1.41M","0.48%"
"11/17/2025","2.10","2.14","2.14","2.05","1.79M","-1.87%"
"11/14/2025","2.14","2.14","2.15","2.12","1.99M","-1.38%"
"11/13/2025","2.17","2.19","2.20","2.16","3.19M","-1.36%"
"11/12/2025","2.20","2.18","2.20","2.13","5.81M","0.92%"
"11/11/2025","2.18","2.18","2.18","2.15","6.38M","0.46%"
"11/10/2025","2.17","2.19","2.21","2.17","7.37M","0.00%"
"11/07/2025","2.17","2.16","2.18","2.16","2.53M","0.46%"
"11/06/2025","2.16","2.15","2.22","2.15","5.00M","0.00%"
"11/05/2025","2.16","2.17","2.18","2.10","3.56M","-0.92%"
"11/04/2025","2.18","2.10","2.18","2.03","4.97M","4.31%"
"11/03/2025","2.09","2.20","2.26","2.09","7.38M","-5.86%"
"10/31/2025","2.22","2.22","2.24","2.20","1.90M","0.00%"
"10/30/2025","2.22","2.13","2.23","2.13","7.00M","3.26%"
"10/29/2025","2.15","2.12","2.15","2.07","8.34M","1.42%"
"10/28/2025","2.12","2.09","2.17","2.09","10.43M","0.95%"
"10/27/2025","2.10","2.06","2.11","2.04","9.74M","2.44%"
"10/24/2025","2.05","2.00","2.05","1.97","5.97M","2.50%"
"10/23/2025","2.00","2.04","2.04","2.00","2.91M","-1.96%"
"10/22/2025","2.04","1.99","2.04","1.99","7.89M","3.03%"
"10/21/2025","1.98","1.95","1.99","1.93","2.38M","1.54%"
"10/20/2025","1.95","1.98","2.01","1.95","5.42M","-0.51%"
"10/17/2025","1.96","1.98","1.98","1.95","3.05M","-0.51%"
"10/16/2025","1.97","2.02","2.03","1.96","6.81M","-1.99%"
"10/15/2025","2.01","1.96","2.02","1.91","13.62M","3.08%"
"10/14/2025","1.95","1.92","1.96","1.90","3.85M","2.63%"
"10/13/2025","1.90","1.87","1.93","1.83","13.92M","1.06%"
"10/10/2025","1.88","1.89","1.91","1.88","1.84M","-1.57%"
"10/09/2025","1.91","1.96","1.96","1.86","8.52M","-1.55%"
"10/08/2025","1.94","1.94","1.97","1.92","4.51M","1.57%"
"10/07/2025","1.91","1.94","1.97","1.91","6.25M","-1.55%"
"10/06/2025","1.94","1.90","1.95","1.85","20.02M","7.78%"
"10/03/2025","1.80","1.84","1.84","1.78","5.39M","-0.55%"
"10/02/2025","1.81","1.87","1.87","1.81","3.67M","-1.09%"
"10/01/2025","1.83","1.70","1.88","1.70","25.47M","7.02%"
"09/30/2025","1.71","1.72","1.73","1.70","5.69M","-1.16%"
"09/29/2025","1.73","1.74","1.76","1.72","5.89M","-0.57%"
"09/26/2025","1.74","1.71","1.74","1.71","4.70M","1.75%"
"09/25/2025","1.71","1.77","1.78","1.70","11.45M","-3.39%"
"09/24/2025","1.77","1.71","1.78","1.71","12.71M","3.51%"
"09/23/2025","1.71","1.70","1.72","1.70","3.10M","0.59%"
"09/22/2025","1.70","1.68","1.73","1.68","5.90M","1.80%"
"09/19/2025","1.67","1.60","1.67","1.60","5.67M","4.37%"
"09/18/2025","1.60","1.59","1.61","1.58","1.39M","0.63%"
"09/17/2025","1.59","1.59","1.60","1.57","5.65M","0.63%"
"09/16/2025","1.58","1.58","1.59","1.56","4.95M","-0.63%"
"09/15/2025","1.59","1.59","1.60","1.58","6.56M","0.63%"
"09/12/2025","1.58","1.60","1.60","1.57","8.02M","-1.25%"
"09/11/2025","1.60","1.58","1.61","1.54","8.12M","1.27%"
"09/10/2025","1.58","1.61","1.65","1.57","22.15M","-1.86%"
"09/09/2025","1.61","1.54","1.62","1.54","24.85M","4.55%"
"09/08/2025","1.54","1.50","1.55","1.48","34.41M","6.21%"
"09/04/2025","1.45","1.44","1.46","1.44","5.25M","0.69%"
"09/03/2025","1.44","1.46","1.46","1.44","4.61M","-1.37%"
"09/02/2025","1.46","1.45","1.46","1.42","5.17M","0.69%"
"09/01/2025","1.45","1.41","1.45","1.41","8.26M","2.11%"
"08/29/2025","1.42","1.40","1.42","1.40","2.33M","1.43%"
"08/28/2025","1.40","1.40","1.43","1.39","7.51M","0.72%"
"08/27/2025","1.39","1.34","1.39","1.34","10.53M","2.96%"
"08/26/2025","1.35","1.36","1.36","1.34","5.84M","-1.46%"
"08/25/2025","1.37","1.37","1.38","1.36","7.66M","0.74%"
"08/22/2025","1.36","1.34","1.36","1.34","5.54M","1.49%"
"08/21/2025","1.34","1.34","1.35","1.34","8.21M","0.00%"
"08/20/2025","1.34","1.33","1.35","1.33","3.20M","0.00%"
"08/19/2025","1.34","1.34","1.34","1.33","8.27M","0.75%"
"08/18/2025","1.33","1.32","1.35","1.32","7.11M","0.00%"
"08/15/2025","1.33","1.33","1.33","1.32","1.84M","-0.75%"
"08/14/2025","1.34","1.35","1.36","1.32","4.13M","-0.74%"
"08/13/2025","1.35","1.34","1.37","1.34","10.25M","0.00%"
"08/12/2025","1.35","1.35","1.35","1.34","2.34M","0.75%"
"08/11/2025","1.34","1.33","1.35","1.33","6.83M","1.52%"
"08/08/2025","1.32","1.31","1.32","1.31","1.34M","0.00%"
"08/07/2025","1.32","1.33","1.33","1.32","2.43M","-1.49%"
"08/06/2025","1.34","1.32","1.34","1.30","4.78M","2.29%"
"08/05/2025","1.31","1.31","1.31","1.29","481.93K","1.55%"
"08/04/2025","1.29","1.32","1.32","1.29","201.80K","-1.53%"
"08/01/2025","1.31","1.32","1.32","1.29","1.69M","0.77%"
"07/31/2025","1.30","1.29","1.31","1.29","6.54M","-0.76%"
"07/30/2025","1.31","1.34","1.34","1.30","1.76M","0.00%"
"07/29/2025","1.31","1.36","1.36","1.31","5.09M","-2.96%"
"07/28/2025","1.35","1.34","1.35","1.33","4.51M","2.27%"
"07/25/2025","1.32","1.31","1.34","1.29","2.76M","-0.75%"
"07/24/2025","1.33","1.32","1.33","1.32","1.65M","1.53%"
"07/23/2025","1.31","1.33","1.33","1.30","396.00K","0.00%"
"07/22/2025","1.31","1.27","1.33","1.27","4.70M","2.34%"
"07/21/2025","1.28","1.27","1.30","1.27","1.30M","-0.78%"
"07/18/2025","1.29","1.30","1.30","1.27","2.24M","-0.77%"
"07/17/2025","1.30","1.30","1.31","1.29","2.47M","0.78%"
"07/16/2025","1.29","1.30","1.33","1.29","1.01M","-0.77%"
"07/15/2025","1.30","1.32","1.33","1.29","3.12M","0.00%"
"07/14/2025","1.30","1.32","1.32","1.29","2.16M","-1.52%"
"07/11/2025","1.32","1.34","1.35","1.30","1.08M","0.76%"
"07/10/2025","1.31","1.35","1.35","1.30","4.16M","-2.24%"
"07/09/2025","1.34","1.38","1.38","1.32","8.08M","-2.90%"
"07/08/2025","1.38","1.26","1.40","1.25","27.62M","10.40%"
"07/07/2025","1.25","1.24","1.26","1.24","1.11M","0.00%"
"07/04/2025","1.25","1.25","1.25","1.24","790.15K","0.00%"
"07/03/2025","1.25","1.23","1.25","1.22","3.61M","2.46%"
"07/02/2025","1.22","1.22","1.23","1.22","2.21M","0.00%"
"07/01/2025","1.22","1.23","1.23","1.22","3.26M","-1.61%"
"06/30/2025","1.24","1.23","1.24","1.22","4.56M","0.81%"
"06/26/2025","1.23","1.22","1.23","1.21","6.78M","0.82%"
"06/25/2025","1.22","1.21","1.22","1.21","5.37M","0.00%"
"06/24/2025","1.22","1.20","1.23","1.20","11.45M","2.52%"
"06/23/2025","1.19","1.19","1.21","1.18","10.39M","0.85%"
"06/20/2025","1.18","1.17","1.18","1.17","3.92M","0.85%"
"06/19/2025","1.17","1.16","1.18","1.16","8.80M","0.00%"
"06/18/2025","1.17","1.18","1.19","1.15","15.23M","-0.85%"
"06/17/2025","1.18","1.11","1.18","1.11","16.44M","6.31%"
"06/16/2025","1.11","1.11","1.12","1.08","1.32M","1.83%"
"06/13/2025","1.09","1.03","1.10","1.03","9.54M","-2.68%"
"06/12/2025","1.12","1.17","1.17","1.12","7.05M","-5.08%"
"06/11/2025","1.18","1.15","1.20","1.15","15.04M","2.61%"
"06/10/2025","1.15","1.14","1.15","1.13","2.20M","0.88%"
"06/09/2025","1.14","1.11","1.14","1.11","976.52K","1.79%"
"06/04/2025","1.12","1.12","1.13","1.12","2.27M","0.00%"
"06/03/2025","1.12","1.11","1.12","1.11","1.38M","0.00%"
"06/02/2025","1.12","1.13","1.13","1.10","3.42M","-0.88%"
"05/30/2025","1.13","1.12","1.13","1.12","762.03K","0.89%"
"05/29/2025","1.12","1.12","1.14","1.12","231.11K","-1.75%"
"05/28/2025","1.14","1.12","1.14","1.12","734.24K","1.79%"
"05/27/2025","1.12","1.12","1.13","1.11","399.03K","0.00%"
"05/26/2025","1.12","1.12","1.12","1.12","52.64K","0.00%"
"05/23/2025","1.12","1.13","1.13","1.12","380.42K","-0.88%"
"05/22/2025","1.13","1.11","1.13","1.11","1.56M","0.89%"
"05/21/2025","1.12","1.13","1.14","1.12","495.34K","-1.75%"
"05/20/2025","1.14","1.13","1.15","1.13","2.52M","0.88%"
"05/19/2025","1.13","1.15","1.15","1.13","3.05M","0.00%"
"05/16/2025","1.13","1.12","1.13","1.11","2.84M","0.89%"
"05/15/2025","1.12","1.12","1.12","1.10","4.42M","0.90%"
"05/14/2025","1.11","1.10","1.12","1.10","6.71M","0.91%"
"05/13/2025","1.10","1.08","1.10","1.08","1.32M","1.85%"
"05/12/2025","1.08","1.08","1.08","1.07","266.76K","0.00%"
"05/09/2025","1.08","1.07","1.08","1.07","1.22M","0.93%"
"05/08/2025","1.07","1.07","1.08","1.07","155.52K","0.00%"
"05/07/2025","1.07","1.06","1.07","1.06","1.83M","0.00%"
"05/06/2025","1.07","1.07","1.07","1.06","1.50M","0.00%"
"05/05/2025","1.07","1.07","1.07","1.05","1.71M","-0.93%"
"05/02/2025","1.08","1.07","1.08","1.06","1.58M","0.93%"
"05/01/2025","1.07","1.06","1.07","1.05","568.46K","0.94%"
"04/30/2025","1.06","1.07","1.07","1.06","1.07M","-0.93%"
"04/29/2025","1.07","1.06","1.07","1.06","962.26K","0.94%"
"04/28/2025","1.06","1.07","1.07","1.05","1.43M","0.00%"
"04/25/2025","1.06","1.06","1.07","1.05","801.90K","0.00%"
"04/24/2025","1.06","1.07","1.07","1.06","952.09K","-0.93%"
"04/23/2025","1.07","1.05","1.07","1.05","5.65M","1.90%"
"04/22/2025","1.05","1.05","1.05","1.04","371.12K","-0.94%"
"04/21/2025","1.06","1.06","1.06","1.05","629.95K","0.00%"
"04/18/2025","1.06","1.06","1.07","1.05","3.10M","0.95%"
"04/17/2025","1.05","1.08","1.08","1.05","5.96M","-2.78%"
"04/16/2025","1.08","1.10","1.10","1.07","1.29M","-0.92%"
"04/15/2025","1.09","1.06","1.09","1.06","4.21M","2.83%"
"04/14/2025","1.06","1.06","1.07","1.05","1.61M","0.95%"
"04/11/2025","1.05","1.05","1.05","1.04","1.24M","0.00%"
"04/10/2025","1.05","1.06","1.07","1.05","2.02M","0.00%"
"04/09/2025","1.05","1.05","1.05","1.01","5.57M","0.00%"
"04/08/2025","1.05","1.02","1.05","1.02","4.12M","2.94%"
"04/07/2025","1.02","1.02","1.02","0.99","9.47M","-5.56%"
"04/04/2025","1.08","1.08","1.09","1.08","897.26K","-1.82%"
"04/03/2025","1.10","1.10","1.10","1.09","339.26K","-0.90%"
"04/02/2025","1.11","1.09","1.11","1.09","3.36M","0.91%"
"03/28/2025","1.10","1.10","1.10","1.09","2.10M","-0.90%"
"03/27/2025","1.11","1.11","1.11","1.09","2.52M","0.00%"
"03/26/2025","1.11","1.10","1.11","1.09","1.15M","0.00%"
"03/25/2025","1.11","1.13","1.15","1.08","14.29M","-3.48%"
"03/24/2025","1.15","1.15","1.16","1.15","1.52M","-1.71%"
"03/21/2025","1.17","1.14","1.17","1.14","2.77M","1.74%"
"03/20/2025","1.15","1.16","1.16","1.14","3.81M","-0.86%"
"03/19/2025","1.16","1.16","1.16","1.14","1.95M","0.00%"
"03/18/2025","1.16","1.16","1.16","1.14","4.39M","0.00%"
"03/17/2025","1.16","1.14","1.16","1.14","1.40M","0.87%"
"03/14/2025","1.15","1.14","1.15","1.14","5.11M","1.77%"
"03/13/2025","1.13","1.14","1.14","1.12","4.63M","-0.88%"
