"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","1.93","1.96","1.99","1.93","40.36K","-1.53%"
"04/23/2026","1.96","1.97","1.99","1.94","35.70K","-1.01%"
"04/22/2026","1.98","1.96","1.99","1.93","9.31K","1.54%"
"04/21/2026","1.95","1.94","2.01","1.91","61.02K","2.63%"
"04/20/2026","1.90","1.94","1.97","1.85","66.43K","-0.52%"
"04/17/2026","1.91","1.82","1.93","1.82","47.50K","5.52%"
"04/16/2026","1.81","1.75","1.82","1.75","40.08K","4.02%"
"04/15/2026","1.74","1.69","1.79","1.69","99.43K","4.82%"
"04/14/2026","1.66","1.62","1.73","1.62","45.63K","1.22%"
"04/13/2026","1.64","1.68","1.73","1.62","146.67K","-0.61%"
"04/10/2026","1.65","1.68","1.68","1.63","4.88K","0.00%"
"04/09/2026","1.65","1.70","1.70","1.65","6.16K","-2.37%"
"04/08/2026","1.69","1.68","1.69","1.65","26.74K","2.42%"
"04/07/2026","1.65","1.60","1.70","1.60","68.80K","3.12%"
"04/06/2026","1.60","1.56","1.60","1.56","5.41K","0.00%"
"04/03/2026","1.60","1.59","1.61","1.54","54.88K","0.63%"
"04/02/2026","1.59","1.57","1.60","1.54","40.64K","-1.24%"
"04/01/2026","1.61","1.61","1.61","1.61","0.32K","1.26%"
"03/31/2026","1.59","1.62","1.67","1.55","85.05K","-0.62%"
"03/30/2026","1.60","1.62","1.67","1.59","140.76K","-3.03%"
"03/27/2026","1.65","1.65","1.65","1.64","16.81K","-1.20%"
"03/26/2026","1.67","1.68","1.68","1.62","34.07K","-1.76%"
"03/25/2026","1.70","1.75","1.75","1.68","1.63K","1.19%"
"03/24/2026","1.68","1.83","1.83","1.68","86.12K","-4.55%"
"03/23/2026","1.76","1.87","1.87","1.76","22.03K","-4.86%"
"03/18/2026","1.85","1.84","1.88","1.84","25.95K","1.65%"
"03/17/2026","1.82","1.82","1.91","1.77","55.16K","-0.55%"
"03/16/2026","1.83","1.84","1.85","1.78","15.85K","0.55%"
"03/13/2026","1.82","1.88","1.94","1.79","69.08K","-3.19%"
"03/12/2026","1.88","1.79","1.88","1.74","101.92K","5.03%"
"03/11/2026","1.79","1.79","1.81","1.73","24.73K","-1.10%"
"03/10/2026","1.81","1.71","1.82","1.71","45.75K","6.47%"
"03/09/2026","1.70","1.74","1.91","1.65","157.65K","-1.73%"
"03/06/2026","1.73","1.78","2.04","1.70","246.08K","-2.81%"
"03/05/2026","1.78","1.78","1.78","1.78","40.92K","-4.81%"
"03/04/2026","1.87","1.87","1.87","1.87","4.40K","-4.59%"
"02/27/2026","1.96","1.96","1.96","1.96","2.30K","1.03%"
"02/26/2026","1.94","1.98","1.98","1.93","105.53K","-2.02%"
"02/25/2026","1.98","1.98","2.00","1.93","22.38K","0.00%"
"02/24/2026","1.98","1.98","1.99","1.92","49.74K","1.02%"
"02/23/2026","1.96","1.94","2.00","1.93","38.95K","0.51%"
"02/20/2026","1.95","1.92","1.96","1.90","16.58K","1.56%"
"02/19/2026","1.92","1.90","1.94","1.84","20.79K","1.05%"
"02/18/2026","1.90","1.93","1.93","1.90","2.13K","-1.55%"
"02/17/2026","1.93","1.90","1.93","1.88","11.07K","0.00%"
"02/16/2026","1.93","1.92","1.95","1.88","49.92K","-0.52%"
"02/13/2026","1.94","1.93","1.97","1.92","37.34K","0.00%"
"02/12/2026","1.94","1.91","1.95","1.90","11.40K","-0.51%"
"02/11/2026","1.95","1.96","1.97","1.92","48.91K","0.00%"
"02/10/2026","1.95","2.12","2.12","1.90","508.24K","-6.25%"
"02/09/2026","2.08","2.11","2.12","2.08","33.33K","-1.89%"
"02/06/2026","2.12","2.12","2.12","2.09","1.81K","1.44%"
"02/05/2026","2.09","2.08","2.13","2.08","15.51K","-2.34%"
"02/04/2026","2.14","2.12","2.17","2.03","58.83K","3.38%"
"02/03/2026","2.07","2.05","2.12","2.05","9.98K","-3.27%"
"02/02/2026","2.14","2.14","2.14","2.14","","0.00%"
"01/30/2026","2.14","2.15","2.16","2.14","2.30K","0.47%"
"01/29/2026","2.13","2.07","2.13","2.07","3.74K","-0.93%"
"01/28/2026","2.15","2.17","2.17","2.10","24.21K","0.94%"
"01/27/2026","2.13","2.14","2.18","2.13","49.54K","-1.84%"
"01/26/2026","2.17","2.12","2.23","2.11","137.92K","2.36%"
"01/23/2026","2.12","2.05","2.12","2.01","48.62K","5.47%"
"01/22/2026","2.01","2.07","2.07","2.01","29.19K","-2.43%"
"01/21/2026","2.06","2.02","2.06","2.01","56.84K","0.98%"
"01/20/2026","2.04","2.01","2.07","2.01","60.38K","0.99%"
"01/19/2026","2.02","2.03","2.10","2.01","24.69K","-0.98%"
"01/16/2026","2.04","2.03","2.14","2.02","61.35K","-2.39%"
"01/15/2026","2.09","2.09","2.09","2.09","","0.00%"
"01/14/2026","2.09","2.04","2.11","2.04","18.87K","2.96%"
"01/13/2026","2.03","2.04","2.10","1.99","34.95K","-3.79%"
"01/12/2026","2.11","2.11","2.11","2.11","0.05K","0.00%"
"01/09/2026","2.11","2.13","2.14","2.08","13.04K","0.00%"
"01/08/2026","2.11","2.15","2.15","2.10","1.87K","1.44%"
"01/07/2026","2.08","2.12","2.16","2.05","45.49K","-1.89%"
"01/06/2026","2.12","2.19","2.19","2.12","14.52K","-3.20%"
"01/05/2026","2.19","2.16","2.19","2.15","5.99K","-0.45%"
"01/02/2026","2.20","2.17","2.20","2.16","11.58K","-1.35%"
"12/31/2025","2.23","2.13","2.24","2.13","17.22K","1.36%"
"12/30/2025","2.20","2.22","2.25","2.15","91.78K","-2.22%"
"12/29/2025","2.25","2.18","2.25","2.12","151.37K","3.69%"
"12/26/2025","2.17","2.17","2.22","2.10","57.60K","-2.25%"
"12/25/2025","2.22","2.15","2.23","2.15","8.03K","1.37%"
"12/24/2025","2.19","2.16","2.27","2.16","10.64K","-0.90%"
"12/23/2025","2.21","2.28","2.28","2.14","39.31K","-1.34%"
"12/22/2025","2.24","2.19","2.24","2.13","35.97K","1.82%"
"12/19/2025","2.20","2.15","2.22","2.08","29.45K","0.92%"
"12/18/2025","2.18","2.27","2.33","2.12","48.49K","-5.22%"
"12/17/2025","2.30","2.40","2.42","2.26","85.97K","-5.74%"
"12/16/2025","2.44","2.45","2.58","2.30","280.74K","2.52%"
"12/15/2025","2.38","2.18","2.46","2.18","365.27K","10.19%"
"12/12/2025","2.16","2.18","2.24","2.14","49.64K","1.41%"
"12/11/2025","2.13","2.13","2.24","2.05","62.85K","-0.47%"
"12/10/2025","2.14","2.14","2.20","2.06","32.98K","0.00%"
"12/09/2025","2.14","1.98","2.15","1.98","129.55K","5.94%"
"12/08/2025","2.02","1.96","2.06","1.96","209.27K","-0.98%"
"12/05/2025","2.04","1.98","2.06","1.95","126.30K","4.62%"
"12/04/2025","1.95","1.96","2.00","1.93","49.56K","-2.50%"
"12/03/2025","2.00","2.00","2.08","1.96","49.39K","0.00%"
"11/28/2025","2.00","1.99","2.00","1.95","27.16K","0.50%"
"11/27/2025","1.99","1.99","2.00","1.94","9.54K","0.51%"
"11/26/2025","1.98","1.93","1.98","1.93","2.50K","-0.50%"
"11/25/2025","1.99","2.00","2.00","1.92","9.30K","-0.50%"
"11/24/2025","2.00","1.96","2.00","1.96","0.43K","0.00%"
"11/21/2025","2.00","1.98","2.00","1.86","41.04K","1.01%"
"11/20/2025","1.98","1.95","1.98","1.93","6.67K","-0.50%"
"11/19/2025","1.99","1.96","2.02","1.95","18.68K","0.51%"
"11/18/2025","1.98","2.01","2.01","1.94","13.88K","-1.00%"
"11/17/2025","2.00","1.86","2.03","1.86","59.26K","3.63%"
"11/14/2025","1.93","1.96","2.00","1.90","100.51K","-4.46%"
"11/13/2025","2.02","1.97","2.02","1.97","30.52K","1.00%"
"11/12/2025","2.00","2.03","2.08","1.97","133.61K","0.00%"
"11/11/2025","2.00","1.94","2.10","1.87","263.45K","1.01%"
"11/10/2025","1.98","1.97","1.98","1.93","64.15K","2.59%"
"11/07/2025","1.93","1.97","1.99","1.93","28.25K","-3.50%"
"11/06/2025","2.00","1.97","2.00","1.92","69.09K","-1.48%"
"11/05/2025","2.03","1.99","2.04","1.94","168.83K","2.53%"
"11/04/2025","1.98","2.01","2.04","1.95","84.35K","-1.98%"
"11/03/2025","2.02","2.00","2.05","1.94","92.07K","0.00%"
"10/31/2025","2.02","2.00","2.09","1.95","87.43K","1.00%"
"10/30/2025","2.00","1.94","2.00","1.90","240.95K","3.09%"
"10/29/2025","1.94","1.85","1.98","1.85","176.91K","4.86%"
"10/28/2025","1.85","1.85","1.88","1.80","148.89K","-0.54%"
"10/27/2025","1.86","1.94","2.00","1.85","333.40K","-4.12%"
"10/24/2025","1.94","1.92","1.97","1.90","51.41K","-0.51%"
"10/23/2025","1.95","1.95","1.99","1.90","91.00K","-1.02%"
"10/22/2025","1.97","1.94","1.99","1.90","103.54K","-0.51%"
"10/21/2025","1.98","1.97","2.00","1.92","74.16K","0.51%"
"10/20/2025","1.97","2.04","2.04","1.90","106.11K","-3.43%"
"10/17/2025","2.04","1.90","2.04","1.87","205.68K","7.37%"
"10/16/2025","1.90","1.87","1.90","1.87","42.00K","0.53%"
"10/15/2025","1.89","1.86","1.89","1.86","32.80K","-0.53%"
"10/14/2025","1.90","1.85","1.90","1.85","13.85K","1.06%"
"10/13/2025","1.88","1.90","1.91","1.85","50.61K","-1.05%"
"10/10/2025","1.90","1.86","1.90","1.83","66.00K","2.15%"
"10/09/2025","1.86","1.86","1.87","1.84","16.81K","0.00%"
"10/08/2025","1.86","1.87","1.91","1.84","71.67K","0.54%"
"10/07/2025","1.85","1.88","1.88","1.77","95.11K","-1.07%"
"10/06/2025","1.87","1.86","1.89","1.84","119.54K","-0.53%"
"10/03/2025","1.88","1.87","1.89","1.84","92.91K","-0.53%"
"10/02/2025","1.89","1.85","1.89","1.80","128.16K","0.00%"
"10/01/2025","1.89","1.89","1.93","1.84","66.42K","0.00%"
"09/30/2025","1.89","1.84","1.91","1.83","51.80K","1.61%"
"09/29/2025","1.86","1.90","1.94","1.85","70.09K","0.00%"
"09/26/2025","1.86","1.86","1.86","1.84","24.87K","-3.12%"
"09/25/2025","1.92","1.87","1.92","1.84","33.00K","2.67%"
"09/24/2025","1.87","1.87","1.93","1.84","79.36K","0.00%"
"09/23/2025","1.87","1.90","1.94","1.85","31.10K","-1.58%"
"09/22/2025","1.90","1.83","1.97","1.81","244.48K","3.83%"
"09/19/2025","1.83","1.83","1.83","1.80","5.75K","-0.54%"
"09/18/2025","1.84","1.76","1.84","1.75","47.61K","2.22%"
"09/17/2025","1.80","1.78","1.84","1.73","153.46K","2.27%"
"09/16/2025","1.76","1.82","1.85","1.75","124.73K","-1.12%"
"09/15/2025","1.78","1.79","1.86","1.76","92.33K","-0.56%"
"09/12/2025","1.79","1.80","1.82","1.76","48.12K","-0.56%"
"09/11/2025","1.80","1.74","1.80","1.73","61.76K","3.45%"
"09/10/2025","1.74","1.73","1.76","1.72","23.90K","-1.14%"
"09/09/2025","1.76","1.73","1.78","1.72","87.09K","-1.68%"
"09/08/2025","1.79","1.78","1.79","1.77","12.07K","1.70%"
"09/04/2025","1.76","1.76","1.76","1.73","20.50K","1.73%"
"09/03/2025","1.73","1.76","1.81","1.71","119.64K","-0.57%"
"09/02/2025","1.74","1.75","1.75","1.70","23.06K","0.00%"
"09/01/2025","1.74","1.75","1.77","1.72","61.53K","-2.25%"
"08/29/2025","1.78","1.75","1.78","1.74","19.89K","0.56%"
"08/28/2025","1.77","1.74","1.78","1.74","38.59K","0.00%"
"08/27/2025","1.77","1.77","1.77","1.77","0.25K","1.14%"
"08/26/2025","1.75","1.77","1.77","1.75","17.57K","-1.13%"
"08/25/2025","1.77","1.77","1.77","1.77","0.50K","1.14%"
"08/22/2025","1.75","1.75","1.75","1.75","10.42K","-1.69%"
"08/21/2025","1.78","1.74","1.78","1.74","8.00K","1.14%"
"08/20/2025","1.76","1.75","1.76","1.74","4.40K","-1.12%"
