"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","216.90","216.00","217.00","215.90","0.94K","2.36%"
"04/23/2026","211.90","215.00","215.00","210.90","246.62K","-1.44%"
"04/22/2026","215.00","217.00","217.00","215.00","0.85K","-0.46%"
"04/21/2026","216.00","215.20","220.00","215.20","1.01K","0.00%"
"04/20/2026","216.00","218.00","218.00","215.20","1.83K","-0.92%"
"04/17/2026","218.00","220.00","224.00","218.00","1.01K","0.00%"
"04/16/2026","218.00","218.00","220.00","216.10","2.35K","0.93%"
"04/15/2026","216.00","216.00","218.00","216.00","4.85K","0.00%"
"04/14/2026","216.00","216.00","218.00","216.00","3.08K","-0.92%"
"04/10/2026","218.00","225.00","225.00","218.00","1.25K","0.93%"
"04/09/2026","216.00","213.20","216.00","212.00","18.02K","1.31%"
"04/08/2026","213.20","214.90","229.00","211.00","24.91K","1.04%"
"04/07/2026","211.00","210.00","211.00","209.50","0.68K","0.96%"
"04/06/2026","209.00","213.00","213.00","205.00","1.82K","-0.95%"
"04/03/2026","211.00","210.00","211.00","203.95","3.24K","0.48%"
"04/02/2026","210.00","210.00","214.00","204.00","1.71K","0.00%"
"04/01/2026","210.00","209.00","214.00","204.00","14.00K","0.48%"
"03/31/2026","209.00","210.00","214.80","208.00","8.33K","-0.48%"
"03/30/2026","210.00","210.00","214.80","208.00","2.95K","-0.05%"
"03/27/2026","210.10","214.80","214.80","210.00","3.39K","-2.23%"
"03/26/2026","214.90","215.95","215.95","210.00","4.35K","-0.51%"
"03/25/2026","216.00","216.00","216.00","209.00","3.14K","1.89%"
"03/24/2026","212.00","215.00","215.95","208.10","1.14K","1.87%"
"03/23/2026","208.10","218.00","218.00","208.00","2.93K","-4.93%"
"03/18/2026","218.90","208.80","221.00","205.00","8.00K","4.84%"
"03/17/2026","208.80","208.85","208.85","198.45","5.55K","-0.02%"
"03/16/2026","208.85","218.90","219.00","208.85","1.24K","-4.98%"
"03/13/2026","219.80","221.80","221.80","215.65","1.29K","-3.17%"
"03/12/2026","227.00","227.95","228.00","214.70","2.07K","0.44%"
"03/11/2026","226.00","228.00","228.00","218.00","1.70K","-1.31%"
"03/09/2026","229.00","221.00","229.95","218.00","7.08K","3.62%"
"03/06/2026","221.00","230.80","230.80","220.10","2.21K","-4.25%"
"03/05/2026","230.80","230.85","230.85","219.35","7.79K","-0.02%"
"03/04/2026","230.85","230.85","230.85","230.85","3.05K","-5.00%"
"02/27/2026","243.00","249.00","249.00","242.00","1.35K","0.41%"
"02/26/2026","242.00","247.00","248.95","242.00","6.27K","-2.02%"
"02/25/2026","247.00","245.00","247.00","243.00","13.95K","0.82%"
"02/24/2026","245.00","248.00","248.00","245.00","0.29K","-1.21%"
"02/23/2026","248.00","245.00","248.00","245.00","0.61K","0.81%"
"02/20/2026","246.00","246.00","248.00","246.00","1.12K","0.00%"
"02/19/2026","246.00","248.00","248.75","244.00","0.72K","-1.15%"
"02/18/2026","248.85","244.00","249.00","244.00","1.43K","1.06%"
"02/17/2026","246.25","246.00","246.30","244.00","6.75K","0.92%"
"02/16/2026","244.00","249.95","250.00","244.00","0.91K","0.37%"
"02/13/2026","243.10","247.00","250.00","243.10","1.85K","-1.58%"
"02/12/2026","247.00","245.00","251.60","245.00","0.74K","-1.87%"
"02/11/2026","251.70","250.00","252.00","244.00","2.08K","1.90%"
"02/10/2026","247.00","250.00","250.50","244.00","2.85K","-1.20%"
"02/09/2026","250.00","250.00","253.00","250.00","0.69K","2.46%"
"02/06/2026","244.00","250.00","250.00","244.00","2.12K","-3.56%"
"02/05/2026","253.00","254.00","255.00","243.00","3.20K","0.00%"
"02/04/2026","253.00","249.00","255.00","247.00","4.06K","3.27%"
"02/03/2026","245.00","264.00","264.00","239.00","15.07K","-7.55%"
"01/30/2026","265.00","298.00","298.00","260.00","1.70K","1.92%"
"01/29/2026","260.00","260.00","260.00","258.30","0.78K","0.00%"
"01/28/2026","260.00","260.00","260.00","256.10","1.43K","0.10%"
"01/27/2026","259.75","260.00","265.00","259.60","3.16K","-0.10%"
"01/26/2026","260.00","260.00","260.00","259.30","1.11K","0.29%"
"01/23/2026","259.25","259.60","260.00","259.25","0.93K","-0.29%"
"01/22/2026","260.00","260.00","260.00","259.00","1.00K","0.00%"
"01/21/2026","260.00","260.00","260.00","259.50","0.30K","0.00%"
"01/20/2026","260.00","259.50","260.00","259.50","2.10K","0.00%"
"01/19/2026","260.00","259.50","260.00","259.50","1.24K","0.19%"
"01/16/2026","259.50","259.50","259.50","259.00","0.50K","0.00%"
"01/15/2026","259.50","259.95","260.00","257.00","0.63K","-0.17%"
"01/14/2026","259.95","260.00","260.00","256.00","1.12K","-0.02%"
"01/13/2026","260.00","256.50","261.05","256.50","0.61K","1.36%"
"01/12/2026","256.50","260.00","268.00","256.50","0.22K","-1.35%"
"01/09/2026","260.00","256.00","268.90","256.00","0.87K","0.00%"
"01/08/2026","260.00","259.60","260.00","256.00","1.76K","0.15%"
"01/07/2026","259.60","260.00","260.00","259.60","0.58K","-0.15%"
"01/06/2026","260.00","262.00","262.00","255.00","0.85K","0.04%"
"01/05/2026","259.90","256.00","259.90","256.00","0.11K","1.52%"
"01/02/2026","256.00","253.00","270.00","253.00","0.18K","1.19%"
"12/31/2025","253.00","256.00","256.00","253.00","0.44K","-1.17%"
"12/30/2025","256.00","260.00","260.00","256.00","1.11K","-1.52%"
"12/29/2025","259.95","255.05","259.95","255.05","0.22K","0.00%"
"12/26/2025","259.95","260.00","260.00","256.60","0.17K","-0.02%"
"12/25/2025","260.00","263.00","265.00","252.50","0.48K","0.00%"
"12/24/2025","260.00","255.00","260.00","254.00","0.71K","1.96%"
"12/23/2025","255.00","259.00","259.00","253.00","0.18K","-1.16%"
"12/22/2025","258.00","252.00","259.45","252.00","0.54K","2.38%"
"12/19/2025","252.00","247.50","252.00","247.50","1.77K","1.61%"
"12/18/2025","248.00","248.85","248.85","244.00","0.47K","1.25%"
"12/17/2025","244.95","244.00","249.00","244.00","0.08K","0.39%"
"12/16/2025","244.00","248.00","250.00","237.00","0.95K","-1.21%"
"12/15/2025","247.00","248.00","248.00","245.00","0.59K","-0.40%"
"12/12/2025","248.00","245.00","248.00","244.00","1.04K","2.06%"
"12/10/2025","243.00","243.00","243.00","243.00","0.01K","0.00%"
"12/09/2025","243.00","243.00","246.00","243.00","0.20K","0.00%"
"12/08/2025","243.00","237.00","243.00","237.00","0.05K","2.53%"
"12/05/2025","237.00","244.00","244.00","237.00","0.48K","-1.66%"
"12/04/2025","241.00","244.00","244.00","240.00","0.37K","0.42%"
"12/03/2025","240.00","240.00","244.00","240.00","0.13K","0.00%"
"11/28/2025","240.00","240.00","240.00","238.50","0.05K","0.00%"
"11/27/2025","240.00","240.00","244.00","240.00","1.43K","0.00%"
"11/26/2025","240.00","238.00","240.00","227.00","0.89K","0.84%"
"11/25/2025","238.00","239.20","242.00","237.05","0.56K","-0.50%"
"11/24/2025","239.20","239.20","239.20","239.20","0.27K","0.00%"
"11/21/2025","239.20","239.50","242.00","239.20","0.53K","0.00%"
"11/20/2025","239.20","239.30","239.40","236.95","0.19K","-0.13%"
"11/19/2025","239.50","237.00","239.50","237.00","0.18K","0.63%"
"11/18/2025","238.00","239.00","239.00","238.00","0.18K","-1.20%"
"11/17/2025","240.90","242.00","242.00","239.50","0.35K","-0.45%"
"11/14/2025","242.00","239.50","243.00","239.50","0.99K","1.04%"
"11/13/2025","239.50","240.00","243.00","239.00","0.93K","-0.21%"
"11/12/2025","240.00","240.00","240.00","239.05","0.11K","-0.62%"
"11/11/2025","241.50","240.00","241.50","240.00","0.66K","1.92%"
"11/10/2025","236.95","237.10","243.00","236.95","1.18K","-0.02%"
"11/07/2025","237.00","244.00","244.00","236.40","0.20K","0.25%"
"11/06/2025","236.40","247.00","247.00","236.30","1.08K","0.60%"
"11/05/2025","235.00","239.50","247.00","233.05","0.08K","-1.67%"
"11/04/2025","239.00","251.45","251.45","236.00","3.12K","-0.21%"
