"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","19.380","19.400","19.400","19.280","15.48K","-0.21%"
"04/23/2026","19.420","19.440","19.680","19.400","25.34K","0.10%"
"04/22/2026","19.400","19.820","19.820","19.380","48.75K","-1.92%"
"04/21/2026","19.780","19.720","19.920","19.720","161.92K","0.51%"
"04/20/2026","19.680","19.900","19.900","19.520","75.68K","-1.89%"
"04/17/2026","20.060","20.120","20.300","19.940","96.64K","-0.10%"
"04/16/2026","20.080","19.640","20.180","19.600","188.01K","3.61%"
"04/15/2026","19.380","18.480","19.740","18.480","146.78K","5.44%"
"04/14/2026","18.380","18.080","18.380","18.080","66.86K","2.11%"
"04/13/2026","18.000","18.080","18.080","17.860","132.08K","-2.39%"
"04/10/2026","18.440","17.800","18.480","17.800","74.48K","3.71%"
"04/09/2026","17.780","18.220","18.220","17.620","54.31K","-2.31%"
"04/08/2026","18.200","18.260","18.460","17.900","161.13K","5.94%"
"04/07/2026","17.180","17.440","17.540","17.060","81.30K","-1.72%"
"04/06/2026","17.480","17.400","17.600","17.200","88.73K","-0.11%"
"04/03/2026","17.500","17.500","17.500","17.380","35.93K","0.00%"
"04/02/2026","17.500","17.300","17.580","17.100","47.64K","0.46%"
"04/01/2026","17.420","17.400","18.000","17.320","166.66K","0.93%"
"03/31/2026","17.260","17.420","17.500","17.160","117.27K","-0.80%"
"03/30/2026","17.400","17.560","17.760","17.240","74.40K","-0.46%"
"03/27/2026","17.480","17.220","17.900","17.220","43.64K","2.10%"
"03/26/2026","17.120","18.100","18.100","17.120","146.65K","-4.99%"
"03/25/2026","18.020","17.360","18.100","17.360","130.63K","3.80%"
"03/24/2026","17.360","17.140","18.120","17.140","129.31K","2.24%"
"03/23/2026","16.980","17.500","17.700","16.700","33.75K","-2.97%"
"03/18/2026","17.500","17.320","18.120","17.300","210.71K","1.16%"
"03/17/2026","17.300","17.100","17.560","16.640","120.49K","1.17%"
"03/16/2026","17.100","18.340","18.340","17.100","130.23K","-5.00%"
"03/13/2026","18.000","18.500","18.500","17.960","251.24K","-4.76%"
"03/12/2026","18.900","19.360","19.360","18.820","212.36K","-1.97%"
