"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","5.12","5.22","5.22","5.11","1.40M","-1.92%"
"04/23/2026","5.22","5.27","5.33","5.21","2.28M","-0.95%"
"04/22/2026","5.27","5.28","5.32","5.26","2.53M","-0.38%"
"04/21/2026","5.29","5.24","5.33","5.24","5.18M","0.95%"
"04/20/2026","5.24","5.30","5.30","5.19","3.33M","-1.32%"
"04/17/2026","5.31","5.35","5.36","5.27","3.69M","-0.38%"
"04/16/2026","5.33","5.34","5.37","5.27","7.44M","1.33%"
"04/15/2026","5.26","5.25","5.35","5.20","6.01M","2.14%"
"04/14/2026","5.15","5.10","5.39","5.04","5.09M","3.00%"
"04/13/2026","5.00","5.07","5.08","4.95","1.43M","-2.15%"
"04/10/2026","5.11","4.95","5.13","4.95","3.20M","3.86%"
"04/09/2026","4.92","5.00","5.02","4.90","2.73M","-1.60%"
"04/08/2026","5.00","4.97","5.10","4.96","6.13M","6.38%"
"04/07/2026","4.70","4.70","4.74","4.66","5.09M","0.21%"
"04/06/2026","4.69","4.66","4.71","4.62","2.79M","-0.21%"
"04/03/2026","4.70","4.65","4.70","4.55","1.46M","0.86%"
"04/02/2026","4.66","4.80","4.82","4.63","4.62M","-3.72%"
"04/01/2026","4.84","4.85","4.85","4.76","2.51M","3.86%"
"03/31/2026","4.66","4.71","4.75","4.65","2.18M","-0.85%"
"03/30/2026","4.70","4.79","4.80","4.70","2.20M","-0.84%"
"03/27/2026","4.74","4.81","4.88","4.74","3.89M","-0.63%"
"03/26/2026","4.77","4.88","4.92","4.75","4.45M","-2.25%"
"03/25/2026","4.88","4.89","4.97","4.80","6.69M","3.17%"
"03/24/2026","4.73","4.90","5.00","4.70","6.99M","-0.42%"
"03/23/2026","4.75","4.85","4.85","4.66","3.59M","-3.06%"
"03/18/2026","4.90","4.80","4.95","4.60","11.11M","5.15%"
"03/17/2026","4.66","4.44","4.79","4.43","7.22M","4.95%"
"03/16/2026","4.44","4.59","4.59","4.38","7.12M","-3.27%"
"03/13/2026","4.59","4.60","4.75","4.55","5.09M","-0.43%"
"03/12/2026","4.61","4.82","4.89","4.58","6.50M","-4.16%"
"03/11/2026","4.81","4.83","5.12","4.80","13.86M","0.21%"
"03/10/2026","4.80","4.57","5.10","4.57","36.71M","-0.21%"
"03/09/2026","4.81","4.81","4.81","4.81","5.70M","-4.94%"
"03/06/2026","5.06","5.08","5.25","5.06","22.32M","-4.89%"
