"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","3.11","3.11","3.11","3.06","1.64M","0.00%"
"04/23/2026","3.11","3.12","3.15","3.10","2.35M","-0.32%"
"04/22/2026","3.12","3.17","3.22","3.10","2.61M","-1.27%"
"04/21/2026","3.16","3.16","3.20","3.14","1.79M","0.00%"
"04/20/2026","3.16","3.27","3.27","3.15","2.57M","-3.95%"
"04/17/2026","3.29","3.25","3.33","3.22","2.21M","1.23%"
"04/16/2026","3.25","3.25","3.28","3.24","2.91M","0.00%"
"04/15/2026","3.25","3.16","3.28","3.16","7.39M","4.17%"
"04/14/2026","3.12","3.06","3.15","3.06","3.08M","2.63%"
"04/13/2026","3.04","3.05","3.05","3.00","1.11M","-0.33%"
"04/10/2026","3.05","3.05","3.10","3.05","2.09M","0.00%"
"04/09/2026","3.05","3.14","3.14","3.03","2.48M","-2.87%"
"04/08/2026","3.14","3.05","3.18","3.05","15.56M","6.80%"
"04/07/2026","2.94","2.99","2.99","2.93","906.23K","-2.00%"
"04/06/2026","3.00","2.93","3.02","2.90","1.40M","2.04%"
"04/03/2026","2.94","2.95","2.96","2.92","656.40K","0.00%"
"04/02/2026","2.94","2.99","3.02","2.93","1.80M","-1.67%"
"04/01/2026","2.99","2.99","3.03","2.97","2.26M","2.05%"
"03/31/2026","2.93","2.96","2.98","2.93","1.80M","-1.35%"
"03/30/2026","2.97","3.06","3.06","2.97","1.25M","-2.94%"
"03/27/2026","3.06","3.06","3.08","3.01","1.26M","0.00%"
"03/26/2026","3.06","3.10","3.11","3.03","4.93M","-0.65%"
"03/25/2026","3.08","3.08","3.14","3.08","6.21M","1.32%"
"03/24/2026","3.04","3.06","3.10","3.04","3.97M","1.33%"
"03/23/2026","3.00","3.01","3.03","2.92","1.77M","0.00%"
"03/18/2026","3.00","3.10","3.23","3.00","11.47M","-2.91%"
"03/17/2026","3.09","3.09","3.20","3.05","3.03M","0.00%"
"03/16/2026","3.09","3.00","3.09","2.98","4.18M","3.00%"
"03/13/2026","3.00","2.99","3.04","2.87","3.88M","0.67%"
"03/12/2026","2.98","3.09","3.10","2.97","3.04M","-3.56%"
"03/11/2026","3.09","3.16","3.29","3.03","12.38M","-1.90%"
"03/10/2026","3.15","3.00","3.21","3.00","9.97M","5.35%"
"03/09/2026","2.99","3.05","3.08","2.96","4.74M","-3.86%"
"03/06/2026","3.11","3.11","3.15","3.11","25.03M","-4.89%"
"03/05/2026","3.27","3.27","3.27","3.27","1.37M","-4.94%"
"03/04/2026","3.44","3.44","3.53","3.44","14.71M","-4.97%"
"02/27/2026","3.62","3.65","3.65","3.57","2.72M","-1.09%"
"02/26/2026","3.66","3.64","3.66","3.55","2.06M","0.83%"
"02/25/2026","3.63","3.63","3.66","3.61","1.08M","0.00%"
"02/24/2026","3.63","3.62","3.68","3.58","14.17M","0.28%"
"02/23/2026","3.62","3.62","3.68","3.59","2.00M","0.00%"
"02/20/2026","3.62","3.67","3.70","3.57","3.00M","-1.63%"
"02/19/2026","3.68","3.70","3.77","3.63","9.62M","-0.54%"
"02/18/2026","3.70","3.62","3.71","3.62","7.05M","2.49%"
"02/17/2026","3.61","3.53","3.62","3.46","3.20M","2.27%"
"02/16/2026","3.53","3.60","3.60","3.50","2.70M","-1.40%"
"02/13/2026","3.58","3.65","3.66","3.56","4.24M","-1.92%"
"02/12/2026","3.65","3.66","3.68","3.55","7.19M","-0.27%"
"02/11/2026","3.66","3.62","3.71","3.59","7.83M","1.67%"
"02/10/2026","3.60","3.51","3.61","3.47","4.54M","2.86%"
"02/09/2026","3.50","3.47","3.53","3.47","5.08M","1.16%"
"02/06/2026","3.46","3.42","3.47","3.40","3.78M","0.58%"
"02/05/2026","3.44","3.40","3.45","3.38","2.22M","0.88%"
"02/04/2026","3.41","3.46","3.46","3.41","1.65M","-1.73%"
"02/03/2026","3.47","3.40","3.51","3.40","4.72M","2.06%"
"02/02/2026","3.40","3.37","3.45","3.36","2.11M","0.89%"
"01/30/2026","3.37","3.46","3.46","3.37","4.00M","-2.88%"
"01/29/2026","3.47","3.61","3.62","3.44","3.45M","-3.88%"
"01/28/2026","3.61","3.57","3.62","3.53","4.57M","1.69%"
"01/27/2026","3.55","3.54","3.60","3.54","5.69M","0.57%"
"01/26/2026","3.53","3.55","3.61","3.46","4.90M","-0.56%"
"01/23/2026","3.55","3.47","3.57","3.47","4.80M","2.60%"
"01/22/2026","3.46","3.40","3.51","3.37","6.29M","2.67%"
"01/21/2026","3.37","3.35","3.37","3.31","1.60M","0.60%"
"01/20/2026","3.35","3.41","3.42","3.32","3.51M","-1.76%"
"01/19/2026","3.41","3.32","3.42","3.31","4.92M","2.71%"
"01/16/2026","3.32","3.32","3.35","3.29","2.93M","0.91%"
"01/15/2026","3.29","3.22","3.32","3.20","5.65M","2.49%"
"01/14/2026","3.21","3.26","3.36","3.19","9.09M","-1.53%"
"01/13/2026","3.26","3.20","3.28","3.17","5.85M","2.19%"
"01/12/2026","3.19","3.12","3.20","3.07","3.28M","2.24%"
"01/09/2026","3.12","3.15","3.15","3.07","3.22M","-0.95%"
"01/08/2026","3.15","3.22","3.22","3.15","1.91M","-1.87%"
"01/07/2026","3.21","3.27","3.27","3.18","3.77M","-1.83%"
"01/06/2026","3.27","3.29","3.35","3.27","3.19M","0.31%"
"01/05/2026","3.26","3.23","3.26","3.20","3.25M","1.56%"
"01/02/2026","3.21","3.29","3.29","3.21","448.33K","-2.13%"
"12/31/2025","3.28","3.27","3.30","3.27","978.15K","1.23%"
"12/30/2025","3.24","3.34","3.34","3.19","2.24M","-2.70%"
"12/29/2025","3.33","3.39","3.39","3.31","677.62K","-0.89%"
"12/26/2025","3.36","3.32","3.36","3.29","734.20K","1.20%"
"12/25/2025","3.32","3.29","3.32","3.28","579.29K","0.61%"
"12/24/2025","3.30","3.34","3.35","3.28","1.18M","-1.20%"
"12/23/2025","3.34","3.40","3.40","3.34","2.11M","-1.18%"
"12/22/2025","3.38","3.41","3.44","3.35","3.05M","0.60%"
"12/19/2025","3.36","3.51","3.54","3.36","7.20M","-4.27%"
"12/18/2025","3.51","3.48","3.53","3.45","3.06M","0.86%"
"12/17/2025","3.48","3.45","3.53","3.44","1.83M","0.87%"
"12/16/2025","3.45","3.52","3.56","3.45","8.94M","-0.86%"
"12/15/2025","3.48","3.39","3.48","3.31","6.74M","2.96%"
"12/12/2025","3.38","3.39","3.44","3.36","3.58M","0.30%"
"12/11/2025","3.37","3.30","3.42","3.30","6.10M","2.12%"
"12/10/2025","3.30","3.36","3.36","3.28","6.45M","-1.49%"
"12/09/2025","3.35","3.39","3.53","3.34","10.28M","-1.18%"
"12/08/2025","3.39","3.31","3.42","3.31","8.85M","2.73%"
"12/05/2025","3.30","3.20","3.33","3.20","10.40M","3.12%"
"12/04/2025","3.20","3.11","3.27","3.11","15.41M","3.23%"
"12/03/2025","3.10","2.97","3.10","2.96","4.40M","4.38%"
"11/28/2025","2.97","2.95","2.99","2.94","1.78M","0.68%"
"11/27/2025","2.95","2.95","2.97","2.93","1.69M","0.00%"
"11/26/2025","2.95","3.01","3.03","2.93","4.18M","-1.99%"
"11/25/2025","3.01","2.90","3.07","2.90","10.22M","4.51%"
"11/24/2025","2.88","2.93","2.97","2.88","3.94M","-0.69%"
"11/21/2025","2.90","2.96","2.99","2.88","10.04M","-4.92%"
"11/20/2025","3.05","2.86","3.12","2.83","33.79M","9.71%"
"11/19/2025","2.78","2.73","2.82","2.73","12.02M","2.21%"
"11/18/2025","2.72","2.70","2.74","2.62","11.79M","0.37%"
"11/17/2025","2.71","2.85","2.88","2.68","15.61M","-4.24%"
"11/14/2025","2.83","2.96","3.00","2.80","19.79M","-6.60%"
"11/13/2025","3.03","3.37","3.37","3.03","27.12M","-9.82%"
"11/12/2025","3.36","3.50","3.50","3.32","4.00M","-4.00%"
"11/11/2025","3.50","3.47","3.51","3.46","1.47M","0.86%"
"11/10/2025","3.47","3.54","3.54","3.47","1.47M","-1.70%"
"11/07/2025","3.53","3.45","3.55","3.45","3.18M","2.02%"
"11/06/2025","3.46","3.50","3.50","3.44","2.94M","-1.14%"
"11/05/2025","3.50","3.55","3.55","3.47","1.67M","-1.96%"
"11/04/2025","3.57","3.52","3.61","3.52","1.76M","2.59%"
"11/03/2025","3.48","3.61","3.61","3.45","2.95M","-3.60%"
"10/31/2025","3.61","3.61","3.61","3.57","1.73M","-0.28%"
"10/30/2025","3.62","3.61","3.63","3.60","2.14M","0.56%"
"10/29/2025","3.60","3.61","3.66","3.58","2.73M","-0.28%"
"10/28/2025","3.61","3.59","3.63","3.56","1.97M","1.40%"
"10/27/2025","3.56","3.61","3.63","3.56","1.74M","-1.39%"
"10/24/2025","3.61","3.60","3.61","3.58","1.11M","0.56%"
"10/23/2025","3.59","3.66","3.67","3.57","2.72M","-1.91%"
"10/22/2025","3.66","3.72","3.72","3.66","581.42K","-0.81%"
"10/21/2025","3.69","3.74","3.74","3.69","2.13M","-1.34%"
"10/20/2025","3.74","3.76","3.76","3.69","2.69M","0.00%"
"10/17/2025","3.74","3.67","3.76","3.67","3.60M","1.08%"
"10/16/2025","3.70","3.77","3.77","3.68","6.05M","-1.86%"
"10/15/2025","3.77","3.69","3.79","3.68","11.37M","2.45%"
"10/14/2025","3.68","3.67","3.74","3.65","10.09M","0.27%"
"10/13/2025","3.67","3.69","3.70","3.63","4.70M","-0.81%"
"10/10/2025","3.70","3.74","3.74","3.66","4.07M","-0.80%"
"10/09/2025","3.73","3.72","3.80","3.70","7.58M","1.08%"
"10/08/2025","3.69","3.79","3.80","3.67","6.46M","-2.64%"
"10/07/2025","3.79","3.63","3.81","3.63","23.80M","5.28%"
"10/06/2025","3.60","3.37","3.64","3.36","18.64M","6.82%"
"10/03/2025","3.37","3.34","3.41","3.34","4.35M","0.90%"
"10/02/2025","3.34","3.26","3.35","3.25","4.84M","2.77%"
"10/01/2025","3.25","3.24","3.30","3.24","3.17M","0.31%"
"09/30/2025","3.24","3.26","3.29","3.23","2.71M","-0.61%"
"09/29/2025","3.26","3.37","3.37","3.26","3.08M","-2.98%"
"09/26/2025","3.36","3.26","3.36","3.23","2.35M","3.07%"
"09/25/2025","3.26","3.32","3.34","3.26","2.38M","-1.51%"
"09/24/2025","3.31","3.40","3.41","3.31","2.60M","-2.65%"
"09/23/2025","3.40","3.43","3.44","3.38","4.11M","-0.87%"
"09/22/2025","3.43","3.51","3.52","3.42","6.72M","-2.56%"
"09/19/2025","3.52","3.44","3.53","3.44","38.03M","2.92%"
"09/18/2025","3.42","3.37","3.43","3.36","2.44M","1.79%"
"09/17/2025","3.36","3.41","3.41","3.34","2.48M","-1.47%"
"09/16/2025","3.41","3.45","3.47","3.41","3.58M","-0.87%"
"09/15/2025","3.44","3.36","3.47","3.34","6.04M","2.38%"
"09/12/2025","3.36","3.36","3.36","3.30","2.85M","0.30%"
"09/11/2025","3.35","3.34","3.39","3.34","5.35M","0.60%"
"09/10/2025","3.33","3.34","3.36","3.28","5.50M","-0.30%"
"09/09/2025","3.34","3.25","3.34","3.21","14.17M","2.14%"
"09/08/2025","3.27","3.37","3.38","3.23","12.87M","-3.25%"
"09/04/2025","3.38","3.45","3.45","3.29","23.09M","-2.59%"
"09/03/2025","3.47","3.45","3.50","3.44","1.42M","-0.86%"
"09/02/2025","3.50","3.44","3.51","3.43","1.60M","1.74%"
"09/01/2025","3.44","3.55","3.55","3.38","2.49M","-3.10%"
"08/29/2025","3.55","3.56","3.59","3.53","1.54M","0.00%"
"08/28/2025","3.55","3.57","3.58","3.51","2.91M","-0.56%"
"08/27/2025","3.57","3.63","3.64","3.57","5.52M","-1.38%"
"08/26/2025","3.62","3.67","3.68","3.61","2.73M","-1.36%"
"08/25/2025","3.67","3.67","3.73","3.66","4.89M","0.55%"
"08/22/2025","3.65","3.67","3.68","3.63","3.57M","-0.54%"
"08/21/2025","3.67","3.62","3.69","3.62","7.06M","1.38%"
"08/20/2025","3.62","3.54","3.66","3.53","11.24M","2.55%"
"08/19/2025","3.53","3.56","3.56","3.49","3.20M","-0.56%"
"08/18/2025","3.55","3.57","3.60","3.53","3.06M","-0.56%"
"08/15/2025","3.57","3.64","3.64","3.54","5.82M","-1.65%"
"08/14/2025","3.63","3.65","3.67","3.61","1.98M","-0.55%"
"08/13/2025","3.65","3.73","3.77","3.65","6.26M","-1.35%"
"08/12/2025","3.70","3.74","3.76","3.69","4.84M","-1.33%"
"08/11/2025","3.75","3.78","3.81","3.74","7.34M","-0.79%"
"08/08/2025","3.78","3.79","3.81","3.75","4.67M","-0.26%"
"08/07/2025","3.79","3.70","3.82","3.68","8.15M","2.16%"
"08/06/2025","3.71","3.70","3.74","3.65","3.74M","0.27%"
"08/05/2025","3.70","3.68","3.72","3.65","3.78M","1.37%"
"08/04/2025","3.65","3.83","3.83","3.65","6.97M","-4.70%"
"08/01/2025","3.83","3.80","3.84","3.78","2.10M","0.26%"
"07/31/2025","3.82","3.75","3.84","3.73","6.54M","2.14%"
"07/30/2025","3.74","3.76","3.78","3.71","3.06M","-0.53%"
"07/29/2025","3.76","3.81","3.84","3.74","5.12M","-1.31%"
"07/28/2025","3.81","3.71","3.83","3.69","6.24M","2.97%"
"07/25/2025","3.70","3.76","3.76","3.70","2.93M","-1.60%"
"07/24/2025","3.76","3.78","3.79","3.70","8.25M","0.00%"
"07/23/2025","3.76","3.71","3.78","3.66","7.49M","2.73%"
"07/22/2025","3.66","3.78","3.78","3.61","7.61M","-2.92%"
"07/21/2025","3.77","3.84","3.91","3.72","13.59M","-2.33%"
"07/18/2025","3.86","3.85","3.91","3.83","23.40M","0.78%"
"07/17/2025","3.83","3.85","3.85","3.78","7.51M","-0.52%"
"07/16/2025","3.85","3.88","3.93","3.77","6.71M","0.00%"
"07/15/2025","3.85","3.88","3.89","3.81","6.26M","-0.77%"
"07/14/2025","3.88","3.94","3.97","3.86","9.46M","-0.51%"
"07/11/2025","3.90","4.01","4.10","3.87","19.26M","-1.76%"
"07/10/2025","3.97","3.74","4.00","3.65","31.91M","7.30%"
"07/09/2025","3.70","3.80","3.85","3.66","9.24M","-2.37%"
"07/08/2025","3.79","3.74","3.92","3.63","21.76M","1.88%"
"07/07/2025","3.72","3.96","4.09","3.72","25.28M","-3.63%"
"07/04/2025","3.86","3.39","3.86","3.39","25.52M","14.88%"
"07/03/2025","3.36","3.20","3.40","3.20","22.00M","5.99%"
"07/02/2025","3.17","3.07","3.17","3.04","6.99M","2.92%"
"07/01/2025","3.08","3.11","3.15","3.06","3.79M","-0.96%"
"06/30/2025","3.11","3.10","3.16","3.05","7.47M","1.63%"
"06/26/2025","3.06","3.15","3.24","3.06","26.73M","-2.86%"
"06/25/2025","3.15","2.93","3.16","2.92","39.60M","7.51%"
"06/24/2025","2.93","2.88","2.94","2.86","14.02M","3.53%"
"06/23/2025","2.83","2.87","2.91","2.79","18.54M","-1.74%"
"06/20/2025","2.88","2.86","3.02","2.86","47.41M","1.41%"
"06/19/2025","2.84","2.73","2.91","2.71","40.58M","4.80%"
"06/18/2025","2.71","2.57","2.81","2.56","34.83M","4.23%"
"06/17/2025","2.60","2.56","2.79","2.56","26.34M","2.36%"
"06/16/2025","2.54","2.39","2.55","2.34","17.99M","5.83%"
"06/13/2025","2.40","2.16","2.45","2.16","12.76M","0.00%"
"06/12/2025","2.40","2.49","2.50","2.38","6.35M","-4.00%"
"06/11/2025","2.50","2.51","2.53","2.48","3.56M","-0.40%"
"06/10/2025","2.51","2.51","2.52","2.48","5.76M","0.00%"
"06/09/2025","2.51","2.52","2.54","2.48","2.78M","0.00%"
"06/04/2025","2.51","2.55","2.56","2.51","2.02M","-1.57%"
"06/03/2025","2.55","2.58","2.58","2.53","3.63M","-0.78%"
"06/02/2025","2.57","2.56","2.61","2.53","10.40M","0.00%"
"05/30/2025","2.57","2.56","2.59","2.53","5.96M","0.78%"
"05/29/2025","2.55","2.54","2.62","2.52","26.65M","0.79%"
"05/28/2025","2.53","2.42","2.55","2.39","13.03M","5.42%"
"05/27/2025","2.40","2.43","2.45","2.37","5.07M","-0.83%"
"05/26/2025","2.42","2.41","2.45","2.40","4.07M","0.83%"
"05/23/2025","2.40","2.45","2.46","2.38","10.34M","-2.04%"
"05/22/2025","2.45","2.46","2.47","2.42","7.03M","0.00%"
"05/21/2025","2.45","2.49","2.51","2.41","8.31M","-1.61%"
"05/20/2025","2.49","2.57","2.58","2.49","9.48M","-2.73%"
"05/19/2025","2.56","2.49","2.64","2.49","15.68M","2.81%"
"05/16/2025","2.49","2.50","2.55","2.47","9.54M","-0.40%"
"05/15/2025","2.50","2.53","2.62","2.46","14.96M","-1.96%"
"05/14/2025","2.55","2.43","2.57","2.42","39.23M","7.14%"
"05/13/2025","2.38","2.27","2.42","2.26","16.36M","5.31%"
"05/12/2025","2.26","2.29","2.34","2.26","7.95M","-1.31%"
"05/09/2025","2.29","2.32","2.38","2.28","7.62M","-1.29%"
"05/08/2025","2.32","2.23","2.37","2.20","24.33M","4.04%"
"05/07/2025","2.23","2.08","2.26","2.08","19.11M","8.25%"
"05/06/2025","2.06","2.07","2.09","2.06","4.88M","0.00%"
"05/05/2025","2.06","2.07","2.12","2.06","16.23M","0.98%"
"05/02/2025","2.04","2.00","2.06","1.97","10.67M","2.51%"
"05/01/2025","1.99","1.95","2.01","1.94","8.44M","2.58%"
"04/30/2025","1.94","1.96","1.98","1.94","6.01M","-0.51%"
"04/29/2025","1.95","1.98","1.98","1.95","6.49M","-1.52%"
"04/28/2025","1.98","1.97","1.99","1.95","10.27M","1.02%"
"04/25/2025","1.96","2.00","2.03","1.96","12.19M","-1.51%"
"04/24/2025","1.99","1.94","2.00","1.93","26.37M","3.11%"
"04/23/2025","1.93","1.86","1.94","1.86","22.94M","4.89%"
"04/22/2025","1.84","1.88","1.89","1.83","6.22M","-3.16%"
"04/21/2025","1.90","1.91","1.91","1.89","4.10M","-0.52%"
"04/18/2025","1.91","1.90","1.91","1.88","7.20M","1.06%"
"04/17/2025","1.89","1.89","1.92","1.88","19.15M","0.53%"
"04/16/2025","1.88","1.91","1.94","1.88","9.08M","-1.57%"
"04/15/2025","1.91","1.88","1.95","1.87","18.75M","2.69%"
"04/14/2025","1.86","1.90","1.93","1.86","9.80M","-1.06%"
"04/11/2025","1.88","1.84","1.88","1.82","5.03M","1.62%"
"04/10/2025","1.85","1.90","1.90","1.80","14.75M","4.52%"
"04/09/2025","1.77","1.76","1.80","1.69","14.74M","1.14%"
"04/08/2025","1.75","1.80","1.86","1.75","4.62M","-1.69%"
"04/07/2025","1.78","1.89","1.89","1.73","4.36M","-7.29%"
"04/04/2025","1.92","1.99","1.99","1.91","4.92M","-3.52%"
"04/03/2025","1.99","2.05","2.06","1.95","3.32M","-2.93%"
"04/02/2025","2.05","2.02","2.09","2.02","2.37M","1.49%"
"03/28/2025","2.02","2.04","2.04","2.02","2.54M","-0.98%"
"03/27/2025","2.04","2.08","2.08","2.03","6.80M","-0.97%"
"03/26/2025","2.06","1.98","2.07","1.96","10.51M","4.04%"
"03/25/2025","1.98","2.02","2.03","1.98","10.81M","-1.98%"
"03/24/2025","2.02","2.04","2.06","2.01","7.66M","-0.98%"
"03/21/2025","2.04","2.06","2.09","2.04","4.85M","-0.97%"
"03/20/2025","2.06","2.08","2.11","2.05","6.49M","-0.48%"
"03/19/2025","2.07","2.14","2.14","2.07","3.36M","-2.36%"
"03/18/2025","2.12","2.12","2.15","2.11","3.45M","0.95%"
"03/17/2025","2.10","2.09","2.15","2.07","6.25M","0.48%"
"03/14/2025","2.09","2.11","2.15","2.07","4.66M","-0.48%"
"03/13/2025","2.10","1.98","2.17","1.98","6.62M","6.60%"
"03/12/2025","1.97","1.99","2.00","1.95","3.55M","0.00%"
"03/11/2025","1.97","2.00","2.07","1.94","4.12M","-1.50%"
"03/10/2025","2.00","2.10","2.10","1.98","3.25M","-4.76%"
"03/07/2025","2.10","2.14","2.15","2.06","1.76M","-1.41%"
"03/06/2025","2.13","2.16","2.16","2.12","1.81M","-1.39%"
"03/05/2025","2.16","2.18","2.18","2.16","2.43M","-0.92%"
"03/04/2025","2.18","2.18","2.18","2.15","2.04M","-0.91%"
"03/03/2025","2.20","2.20","2.20","2.12","2.84M","0.46%"
"02/28/2025","2.19","2.18","2.21","2.16","1.63M","1.39%"
"02/27/2025","2.16","2.18","2.18","2.14","2.34M","-0.46%"
"02/26/2025","2.17","2.21","2.22","2.17","1.16M","-1.36%"
"02/25/2025","2.20","2.23","2.24","2.17","3.13M","-1.35%"
"02/24/2025","2.23","2.26","2.26","2.22","669.61K","-0.45%"
"02/21/2025","2.24","2.27","2.27","2.24","1.37M","-1.32%"
"02/20/2025","2.27","2.23","2.27","2.21","4.88M","1.79%"
"02/19/2025","2.23","2.24","2.24","2.22","2.77M","0.00%"
"02/18/2025","2.23","2.24","2.24","2.19","1.69M","0.00%"
"02/17/2025","2.23","2.23","2.25","2.09","2.56M","1.36%"
"02/14/2025","2.20","2.22","2.23","2.20","3.20M","-1.35%"
"02/13/2025","2.23","2.24","2.27","2.21","2.46M","0.00%"
"02/12/2025","2.23","2.28","2.28","2.21","2.04M","-1.76%"
"02/11/2025","2.27","2.35","2.35","2.25","3.80M","-2.58%"
"02/10/2025","2.33","2.34","2.34","2.31","1.92M","-0.43%"
"02/07/2025","2.34","2.32","2.34","2.28","2.89M","0.00%"
"02/06/2025","2.34","2.34","2.35","2.31","2.92M","-0.43%"
"02/05/2025","2.35","2.29","2.37","2.29","6.38M","2.62%"
"02/04/2025","2.29","2.31","2.33","2.29","1.64M","-0.43%"
"02/03/2025","2.30","2.33","2.33","2.27","1.33M","0.00%"
"01/31/2025","2.30","2.31","2.32","2.27","2.27M","-0.86%"
"01/30/2025","2.32","2.35","2.36","2.32","1.01M","-0.85%"
"01/29/2025","2.34","2.34","2.36","2.33","1.12M","0.00%"
"01/28/2025","2.34","2.36","2.36","2.34","1.59M","-0.85%"
"01/27/2025","2.36","2.37","2.37","2.32","2.65M","-0.84%"
"01/24/2025","2.38","2.44","2.44","2.35","3.16M","-2.46%"
"01/23/2025","2.44","2.36","2.47","2.36","11.22M","3.83%"
"01/22/2025","2.35","2.31","2.37","2.31","5.28M","2.17%"
"01/21/2025","2.30","2.31","2.33","2.29","1.80M","-0.43%"
"01/20/2025","2.31","2.26","2.35","2.26","4.99M","2.21%"
"01/17/2025","2.26","2.23","2.29","2.23","4.10M","0.89%"
"01/16/2025","2.24","2.24","2.25","2.23","3.37M","0.00%"
"01/15/2025","2.24","2.25","2.28","2.24","4.36M","-0.44%"
"01/14/2025","2.25","2.23","2.26","2.23","2.58M","0.90%"
"01/13/2025","2.23","2.26","2.26","2.21","4.20M","-0.89%"
"01/10/2025","2.25","2.25","2.26","2.24","3.13M","-0.44%"
"01/09/2025","2.26","2.23","2.27","2.22","6.54M","0.44%"
"01/08/2025","2.25","2.18","2.27","2.17","11.54M","4.65%"
"01/07/2025","2.15","2.14","2.20","2.14","10.82M","0.47%"
"01/06/2025","2.14","2.10","2.15","2.10","11.46M","1.90%"
"01/03/2025","2.10","2.08","2.13","2.06","11.55M","1.45%"
"01/02/2025","2.07","2.08","2.11","2.05","9.42M","0.00%"
"12/31/2024","2.07","2.07","2.08","2.05","3.38M","0.49%"
"12/30/2024","2.06","2.07","2.08","2.05","3.53M","0.49%"
"12/27/2024","2.05","2.07","2.10","2.04","3.41M","0.00%"
"12/26/2024","2.05","2.04","2.06","2.03","3.63M","0.00%"
"12/25/2024","2.05","2.04","2.07","2.03","5.54M","-0.49%"
"12/24/2024","2.06","2.11","2.13","2.05","4.18M","-0.48%"
"12/23/2024","2.07","2.09","2.10","2.06","2.50M","-0.96%"
"12/20/2024","2.09","2.11","2.11","2.07","3.69M","-0.48%"
"12/19/2024","2.10","2.09","2.12","2.09","6.45M","0.96%"
"12/18/2024","2.08","2.11","2.15","2.08","9.25M","-0.48%"
"12/17/2024","2.09","2.20","2.20","2.05","6.22M","-3.24%"
"12/16/2024","2.16","2.20","2.21","2.15","2.86M","-2.26%"
"12/13/2024","2.21","2.22","2.22","2.20","2.46M","-0.45%"
"12/12/2024","2.22","2.22","2.23","2.21","2.36M","0.00%"
"12/11/2024","2.22","2.19","2.26","2.18","5.78M","1.37%"
"12/10/2024","2.19","2.16","2.22","2.16","3.22M","0.92%"
