"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","8.35","8.25","8.39","8.16","295.87K","1.33%"
"04/23/2026","8.24","8.34","8.40","8.21","41.98K","-1.20%"
"04/22/2026","8.34","8.44","8.44","8.34","40.00K","-1.18%"
"04/21/2026","8.44","8.45","8.45","8.43","104.18K","0.12%"
"04/20/2026","8.43","8.43","8.43","8.43","","0.00%"
"04/17/2026","8.43","8.41","8.45","8.39","161.81K","0.48%"
"04/16/2026","8.39","8.39","8.46","8.32","315.97K","0.00%"
"04/15/2026","8.39","8.37","8.44","8.25","233.48K","1.08%"
"04/14/2026","8.30","8.36","8.40","8.25","134.92K","0.61%"
"04/13/2026","8.25","8.33","8.36","8.25","17.10K","-0.96%"
"04/10/2026","8.33","8.40","8.78","8.26","251.40K","-0.83%"
"04/09/2026","8.40","8.47","8.47","8.12","14.78K","1.20%"
"04/08/2026","8.30","8.15","8.99","8.05","60.25K","3.11%"
"04/07/2026","8.05","8.00","8.18","7.90","10.46K","0.63%"
"04/06/2026","8.00","7.91","8.15","7.91","36.43K","1.14%"
"04/03/2026","7.91","8.12","8.15","7.91","140.42K","-2.35%"
"04/02/2026","8.10","8.30","8.30","8.10","52.30K","-2.29%"
"04/01/2026","8.29","8.30","8.30","8.15","27.72K","2.35%"
"03/31/2026","8.10","8.30","8.30","8.01","4.08K","-2.41%"
"03/30/2026","8.30","8.20","8.75","8.03","171.43K","-1.19%"
"03/27/2026","8.40","8.39","9.10","8.32","196.37K","0.12%"
"03/26/2026","8.39","8.73","9.15","8.34","14.63K","-1.53%"
"03/25/2026","8.52","8.46","9.30","8.40","52.78K","0.71%"
"03/24/2026","8.46","8.20","8.59","8.08","114.25K","4.70%"
"03/23/2026","8.08","8.20","8.59","7.94","374.17K","-3.23%"
"03/18/2026","8.35","7.59","8.65","7.59","78.87K","9.87%"
"03/17/2026","7.60","7.70","7.90","7.44","153.86K","-2.94%"
"03/16/2026","7.83","8.20","8.20","7.83","128.30K","-4.98%"
"03/13/2026","8.24","8.50","8.50","8.24","171.73K","-4.96%"
"03/12/2026","8.67","9.12","9.12","8.67","175.34K","-4.93%"
"03/11/2026","9.12","9.49","9.49","9.12","34.65K","-5.00%"
"03/10/2026","9.60","9.44","9.89","9.44","1.53M","1.69%"
"03/09/2026","9.44","9.45","9.47","9.30","199.88K","-0.11%"
"03/06/2026","9.45","9.21","9.47","9.21","104.53K","2.61%"
"03/05/2026","9.21","9.49","9.50","9.11","377.24K","-3.86%"
"03/04/2026","9.58","9.70","9.70","9.58","223.59K","-4.96%"
"02/27/2026","10.08","10.00","10.10","10.00","18.02K","0.80%"
"02/26/2026","10.00","10.10","10.10","9.97","38.46K","0.30%"
"02/25/2026","9.97","9.90","10.10","9.90","98.06K","0.20%"
"02/24/2026","9.95","10.00","10.00","9.95","87.35K","-0.50%"
"02/23/2026","10.00","9.91","10.10","9.90","66.39K","0.91%"
"02/20/2026","9.91","10.00","10.00","9.91","7.02K","-0.40%"
"02/19/2026","9.95","9.95","9.99","9.95","268.15K","0.00%"
"02/18/2026","9.95","9.95","9.95","9.90","75.45K","0.00%"
"02/17/2026","9.95","9.90","9.95","9.84","229.89K","0.51%"
"02/16/2026","9.90","9.90","9.90","9.80","53.59K","0.00%"
"02/13/2026","9.90","9.90","9.90","9.86","13.68K","0.00%"
"02/12/2026","9.90","9.85","9.90","9.80","120.70K","0.51%"
"02/11/2026","9.85","9.79","9.85","9.70","106.46K","0.61%"
"02/10/2026","9.79","9.70","9.80","9.70","15.73K","-0.61%"
"02/09/2026","9.85","9.70","9.85","9.51","201.97K","1.55%"
"02/06/2026","9.70","9.80","9.80","9.55","28.44K","-1.02%"
"02/05/2026","9.80","9.60","9.80","9.60","150.50K","2.08%"
"02/04/2026","9.60","9.50","9.60","9.41","318.10K","2.02%"
"02/03/2026","9.41","9.32","9.41","9.19","505.07K","0.97%"
"02/02/2026","9.32","9.34","9.34","9.25","127.62K","-0.21%"
"01/30/2026","9.34","9.27","9.34","9.16","209.96K","0.43%"
"01/29/2026","9.30","9.27","9.30","9.16","125.45K","1.09%"
"01/28/2026","9.20","9.03","9.40","9.02","242.07K","2.22%"
"01/27/2026","9.00","9.00","9.00","9.00","12.18K","0.00%"
"01/26/2026","9.00","8.80","9.00","8.70","174.70K","2.27%"
"01/23/2026","8.80","8.75","8.80","8.70","130.63K","1.15%"
"01/22/2026","8.70","8.60","8.71","8.60","304.59K","1.16%"
"01/21/2026","8.60","8.59","8.60","8.50","9.80K","1.18%"
"01/20/2026","8.50","8.55","8.60","8.50","10.38K","-0.12%"
"01/19/2026","8.51","8.42","8.60","8.42","247.00K","0.12%"
"01/16/2026","8.50","8.50","8.50","8.46","38.52K","0.00%"
"01/15/2026","8.50","8.50","8.50","8.48","20.67K","0.00%"
"01/14/2026","8.50","8.40","8.50","8.40","54.91K","0.83%"
"01/13/2026","8.43","8.40","8.43","8.40","2.87M","0.48%"
"01/12/2026","8.39","8.40","8.42","8.35","433.32K","-0.12%"
"01/09/2026","8.40","8.42","8.42","8.39","74.21K","0.00%"
"01/08/2026","8.40","8.42","8.42","8.38","18.21K","-0.24%"
"01/07/2026","8.42","8.43","8.43","8.39","141.07K","0.36%"
"01/06/2026","8.39","8.15","8.43","8.15","608.48K","3.58%"
"01/05/2026","8.10","8.42","8.43","8.10","802.44K","-3.80%"
"01/02/2026","8.42","8.40","8.42","8.40","7.01K","0.24%"
"12/31/2025","8.40","8.40","8.43","8.40","18.45K","-0.12%"
"12/30/2025","8.41","8.07","8.42","8.07","216.58K","4.21%"
"12/29/2025","8.07","8.17","8.17","8.02","219.83K","-1.22%"
"12/26/2025","8.17","7.95","8.17","7.95","332.23K","2.77%"
"12/25/2025","7.95","7.75","7.95","7.75","77.28K","2.58%"
"12/24/2025","7.75","7.80","7.80","7.75","11.23K","0.52%"
"12/23/2025","7.71","7.88","7.88","7.71","61.48K","-1.15%"
"12/22/2025","7.80","7.85","7.88","7.78","60.57K","0.00%"
"12/19/2025","7.80","7.82","7.82","7.79","12.74K","0.00%"
"12/18/2025","7.80","7.80","7.80","7.75","2.48K","0.00%"
"12/17/2025","7.80","7.85","7.85","7.78","7.00K","0.00%"
"12/16/2025","7.80","7.85","7.85","7.78","8.84K","-0.51%"
"12/15/2025","7.84","7.85","7.85","7.83","0.39K","-0.13%"
"12/12/2025","7.85","7.80","7.85","7.80","4.10K","0.64%"
"12/11/2025","7.80","7.80","7.80","7.71","32.24K","0.00%"
"12/10/2025","7.80","7.80","7.80","7.80","0.04K","1.17%"
"12/09/2025","7.71","7.80","7.85","7.71","3.59K","-1.15%"
"12/08/2025","7.80","7.88","7.88","7.76","5.41K","1.30%"
"12/05/2025","7.70","7.80","7.81","7.68","7.76K","0.39%"
"12/04/2025","7.67","7.80","7.89","7.66","58.64K","0.13%"
"12/03/2025","7.66","7.66","7.66","7.63","107.56K","0.13%"
