"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","0.989","0.949","0.989","0.949","14.39M","5.10%"
"03/24/2026","0.941","0.934","0.950","0.922","12.46M","3.52%"
"03/23/2026","0.909","0.920","0.941","0.909","8.01M","-4.92%"
"03/18/2026","0.956","0.867","0.969","0.866","71.74M","11.55%"
"03/17/2026","0.857","0.857","0.890","0.857","68.82M","-4.99%"
"03/16/2026","0.902","0.902","0.902","0.902","4.01M","-4.95%"
"03/13/2026","0.949","0.951","0.995","0.949","30.94M","-4.91%"
"03/12/2026","0.998","1.000","1.020","0.998","3.67M","-4.95%"
"03/11/2026","1.050","1.100","1.110","1.050","24.28M","-4.55%"
"03/10/2026","1.100","1.100","1.140","1.100","143.71M","-4.35%"
"03/09/2026","1.150","1.150","1.150","1.150","91.22K","-4.96%"
"03/06/2026","1.210","1.210","1.210","1.210","1.06M","-4.72%"
"03/05/2026","1.270","1.270","1.270","1.270","247.45K","-4.51%"
"03/04/2026","1.330","1.330","1.330","1.330","414.51K","-5.00%"
"02/27/2026","1.400","1.420","1.420","1.360","10.40M","-2.10%"
"02/26/2026","1.430","1.430","1.440","1.410","2.82M","0.00%"
"02/25/2026","1.430","1.440","1.450","1.410","4.04M","-0.69%"
"02/24/2026","1.440","1.440","1.450","1.430","9.79M","0.00%"
"02/23/2026","1.440","1.420","1.460","1.410","16.10M","1.41%"
"02/20/2026","1.420","1.440","1.440","1.390","6.97M","-2.07%"
"02/19/2026","1.450","1.480","1.480","1.430","14.48M","-2.03%"
"02/18/2026","1.480","1.440","1.480","1.430","5.96M","3.50%"
"02/17/2026","1.430","1.440","1.440","1.410","6.31M","-1.38%"
"02/16/2026","1.450","1.460","1.470","1.440","4.13M","-0.68%"
"02/13/2026","1.460","1.460","1.480","1.420","12.84M","0.00%"
"02/12/2026","1.460","1.450","1.470","1.400","8.28M","0.69%"
"02/11/2026","1.450","1.430","1.490","1.430","17.87M","1.40%"
"02/10/2026","1.430","1.400","1.440","1.370","16.26M","2.14%"
"02/09/2026","1.400","1.310","1.410","1.310","31.07M","7.69%"
"02/06/2026","1.300","1.290","1.320","1.280","23.73M","-0.76%"
"02/05/2026","1.310","1.330","1.330","1.310","5.13M","-0.76%"
"02/04/2026","1.320","1.360","1.370","1.320","12.82M","-2.94%"
"02/03/2026","1.360","1.330","1.390","1.330","11.16M","3.03%"
"02/02/2026","1.320","1.340","1.340","1.310","4.10M","1.54%"
"01/30/2026","1.300","1.320","1.330","1.300","3.47M","-1.52%"
"01/29/2026","1.320","1.350","1.350","1.310","4.66M","-1.49%"
"01/28/2026","1.340","1.340","1.360","1.330","11.42M","0.75%"
"01/27/2026","1.330","1.310","1.340","1.300","7.45M","2.31%"
"01/26/2026","1.300","1.320","1.330","1.280","7.81M","-1.52%"
"01/23/2026","1.320","1.340","1.340","1.320","6.89M","-0.75%"
"01/22/2026","1.330","1.340","1.350","1.330","5.06M","-0.75%"
"01/21/2026","1.340","1.330","1.340","1.320","3.50M","0.75%"
"01/20/2026","1.330","1.320","1.350","1.310","25.24M","1.53%"
"01/19/2026","1.310","1.310","1.320","1.300","8.54M","0.77%"
"01/16/2026","1.300","1.290","1.320","1.290","2.75M","1.56%"
"01/15/2026","1.280","1.300","1.310","1.280","5.85M","-1.54%"
"01/14/2026","1.300","1.320","1.350","1.300","18.09M","-1.52%"
"01/13/2026","1.320","1.320","1.340","1.320","3.05M","0.00%"
"01/12/2026","1.320","1.320","1.330","1.310","2.29M","0.76%"
"01/09/2026","1.310","1.340","1.350","1.310","6.14M","-2.24%"
"01/08/2026","1.340","1.350","1.360","1.330","12.79M","-0.74%"
"01/07/2026","1.350","1.340","1.360","1.330","6.49M","1.50%"
"01/06/2026","1.330","1.330","1.350","1.320","6.84M","0.00%"
"01/05/2026","1.330","1.330","1.340","1.310","2.37M","0.00%"
"01/02/2026","1.330","1.350","1.360","1.310","3.99M","-1.48%"
"12/31/2025","1.350","1.320","1.350","1.320","2.00M","2.27%"
"12/30/2025","1.320","1.350","1.350","1.310","2.12M","-2.94%"
"12/29/2025","1.360","1.370","1.370","1.350","1.13M","-0.73%"
"12/26/2025","1.370","1.370","1.370","1.350","149.66K","0.74%"
"12/25/2025","1.360","1.360","1.370","1.350","2.57M","0.00%"
"12/24/2025","1.360","1.340","1.370","1.330","4.45M","2.26%"
"12/23/2025","1.330","1.340","1.350","1.330","1.39M","-0.75%"
"12/22/2025","1.340","1.340","1.340","1.330","1.08M","0.00%"
"12/19/2025","1.340","1.350","1.350","1.330","1.70M","-0.74%"
"12/18/2025","1.350","1.340","1.350","1.330","1.03M","0.75%"
"12/17/2025","1.340","1.340","1.350","1.330","3.49M","0.00%"
"12/16/2025","1.340","1.350","1.380","1.340","4.09M","-0.74%"
"12/15/2025","1.350","1.340","1.360","1.340","1.83M","0.75%"
"12/12/2025","1.340","1.340","1.350","1.330","2.23M","0.00%"
"12/11/2025","1.340","1.360","1.370","1.340","4.51M","-0.74%"
"12/10/2025","1.350","1.360","1.390","1.350","7.22M","0.00%"
"12/09/2025","1.350","1.340","1.360","1.340","3.04M","1.50%"
"12/08/2025","1.330","1.350","1.350","1.330","2.24M","-1.48%"
"12/05/2025","1.350","1.340","1.350","1.330","3.26M","0.75%"
"12/04/2025","1.340","1.310","1.360","1.310","5.61M","1.52%"
"12/03/2025","1.320","1.290","1.320","1.280","4.73M","3.13%"
"11/28/2025","1.280","1.300","1.300","1.280","3.19M","-1.54%"
"11/27/2025","1.300","1.320","1.330","1.300","2.20M","-0.76%"
"11/26/2025","1.310","1.340","1.340","1.310","1.85M","-2.24%"
