"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","0.205","0.209","0.211","0.204","4.36M","-1.91%"
"04/23/2026","0.209","0.213","0.213","0.207","4.30M","-1.88%"
"04/22/2026","0.213","0.217","0.219","0.213","3.11M","-1.39%"
"04/21/2026","0.216","0.210","0.219","0.210","9.49M","2.37%"
"04/20/2026","0.211","0.217","0.217","0.210","8.41M","-4.09%"
"04/17/2026","0.220","0.217","0.225","0.210","18.49M","2.80%"
"04/16/2026","0.214","0.214","0.217","0.211","11.02M","0.94%"
"04/15/2026","0.212","0.211","0.218","0.206","25.47M","6.53%"
"04/14/2026","0.199","0.194","0.202","0.193","11.01M","4.19%"
"04/13/2026","0.191","0.194","0.194","0.190","2.06M","-2.55%"
"04/10/2026","0.196","0.196","0.198","0.194","9.47M","0.00%"
"04/09/2026","0.196","0.198","0.200","0.195","4.89M","-3.45%"
"04/08/2026","0.203","0.187","0.203","0.187","33.78M","13.41%"
"04/07/2026","0.179","0.177","0.181","0.176","4.32M","0.56%"
"04/06/2026","0.178","0.177","0.181","0.173","3.94M","0.56%"
"04/03/2026","0.177","0.175","0.178","0.170","4.60M","1.14%"
"04/02/2026","0.175","0.181","0.181","0.175","6.05M","-4.37%"
"04/01/2026","0.183","0.187","0.187","0.182","5.52M","-1.08%"
"03/31/2026","0.185","0.185","0.188","0.183","4.56M","-0.54%"
"03/30/2026","0.186","0.182","0.187","0.181","3.11M","0.54%"
"03/27/2026","0.185","0.185","0.187","0.180","4.54M","-0.54%"
"03/26/2026","0.186","0.193","0.193","0.184","12.04M","-3.63%"
"03/25/2026","0.193","0.192","0.198","0.191","9.52M","-1.53%"
"03/24/2026","0.196","0.196","0.201","0.192","8.17M","1.03%"
"03/23/2026","0.194","0.200","0.200","0.190","9.27M","-3.00%"
"03/18/2026","0.200","0.194","0.204","0.194","8.10M","2.56%"
"03/17/2026","0.195","0.191","0.196","0.185","5.17M","0.52%"
"03/16/2026","0.194","0.196","0.200","0.191","11.22M","-3.48%"
"03/13/2026","0.201","0.195","0.201","0.186","7.15M","3.61%"
"03/12/2026","0.194","0.201","0.202","0.192","7.20M","-3.48%"
"03/11/2026","0.201","0.209","0.215","0.200","12.97M","-2.90%"
"03/10/2026","0.207","0.192","0.209","0.190","17.68M","6.70%"
"03/09/2026","0.194","0.199","0.199","0.194","4.94M","-4.90%"
"03/06/2026","0.204","0.205","0.212","0.202","6.57M","-3.77%"
"03/05/2026","0.212","0.206","0.220","0.206","21.22M","-1.85%"
"03/04/2026","0.216","0.216","0.216","0.216","3.32M","-4.85%"
"02/27/2026","0.227","0.230","0.231","0.226","3.78M","-1.30%"
"02/26/2026","0.230","0.229","0.230","0.226","1.20M","0.88%"
"02/25/2026","0.228","0.232","0.232","0.227","1.82M","-2.15%"
"02/24/2026","0.233","0.232","0.233","0.228","1.92M","1.30%"
"02/23/2026","0.230","0.232","0.236","0.228","1.31M","0.00%"
"02/20/2026","0.230","0.234","0.234","0.225","3.41M","1.32%"
"02/19/2026","0.227","0.237","0.240","0.223","7.89M","-4.22%"
"02/18/2026","0.237","0.236","0.237","0.233","578.57K","1.28%"
"02/17/2026","0.234","0.234","0.237","0.232","6.78M","-1.68%"
"02/16/2026","0.238","0.242","0.243","0.233","20.71M","-0.42%"
"02/13/2026","0.239","0.246","0.246","0.238","4.63M","-2.85%"
"02/12/2026","0.246","0.246","0.249","0.243","5.67M","1.23%"
"02/11/2026","0.243","0.240","0.248","0.239","8.91M","0.00%"
"02/10/2026","0.243","0.244","0.245","0.238","11.05M","-0.41%"
"02/09/2026","0.244","0.248","0.252","0.244","9.08M","-0.41%"
"02/06/2026","0.245","0.248","0.251","0.245","25.88M","-0.41%"
"02/05/2026","0.246","0.238","0.250","0.235","33.91M","3.36%"
"02/04/2026","0.238","0.238","0.241","0.236","7.68M","-0.42%"
"02/03/2026","0.239","0.233","0.245","0.233","9.18M","2.14%"
"02/02/2026","0.234","0.234","0.237","0.233","2.32M","0.43%"
"01/30/2026","0.233","0.233","0.235","0.232","1.80M","0.00%"
"01/29/2026","0.233","0.238","0.238","0.233","6.07M","-2.92%"
"01/28/2026","0.240","0.240","0.242","0.238","7.53M","0.00%"
"01/27/2026","0.240","0.240","0.245","0.238","4.69M","0.00%"
"01/26/2026","0.240","0.247","0.248","0.236","16.72M","-3.23%"
"01/23/2026","0.248","0.252","0.258","0.246","28.89M","-1.20%"
"01/22/2026","0.251","0.238","0.255","0.238","56.85M","6.81%"
"01/21/2026","0.235","0.229","0.236","0.229","16.55M","2.62%"
"01/20/2026","0.229","0.227","0.230","0.226","3.60M","1.33%"
"01/19/2026","0.226","0.230","0.231","0.226","6.03M","-0.88%"
"01/16/2026","0.228","0.225","0.231","0.225","3.42M","1.79%"
"01/15/2026","0.224","0.230","0.230","0.224","6.62M","-1.75%"
"01/14/2026","0.228","0.233","0.233","0.225","10.34M","-2.56%"
"01/13/2026","0.234","0.234","0.235","0.231","2.13M","0.86%"
"01/12/2026","0.232","0.236","0.238","0.230","17.01M","-1.69%"
"01/09/2026","0.236","0.245","0.247","0.236","5.82M","-3.67%"
"01/08/2026","0.245","0.247","0.249","0.240","10.28M","0.00%"
"01/07/2026","0.245","0.243","0.247","0.240","8.88M","1.24%"
"01/06/2026","0.242","0.243","0.245","0.240","5.64M","0.83%"
"01/05/2026","0.240","0.245","0.245","0.235","5.10M","-0.83%"
"01/02/2026","0.242","0.240","0.246","0.239","10.41M","0.83%"
"12/31/2025","0.240","0.236","0.240","0.232","5.39M","3.90%"
"12/30/2025","0.231","0.241","0.244","0.230","8.50M","-4.94%"
"12/29/2025","0.243","0.244","0.245","0.239","3.05M","0.41%"
"12/26/2025","0.242","0.236","0.246","0.233","24.61M","2.98%"
"12/25/2025","0.235","0.235","0.238","0.230","7.29M","1.29%"
"12/24/2025","0.232","0.225","0.237","0.225","7.71M","3.11%"
"12/23/2025","0.225","0.228","0.228","0.224","6.03M","-0.88%"
"12/22/2025","0.227","0.227","0.238","0.216","14.64M","0.89%"
"12/19/2025","0.225","0.225","0.228","0.223","2.95M","-0.44%"
"12/18/2025","0.226","0.230","0.230","0.225","3.45M","-1.74%"
"12/17/2025","0.230","0.230","0.233","0.226","3.58M","0.44%"
"12/16/2025","0.229","0.232","0.232","0.225","5.09M","-0.87%"
"12/15/2025","0.231","0.229","0.232","0.225","3.42M","0.87%"
"12/12/2025","0.229","0.229","0.232","0.225","4.48M","0.88%"
"12/11/2025","0.227","0.234","0.235","0.221","11.93M","-2.16%"
"12/10/2025","0.232","0.233","0.237","0.232","5.61M","-0.43%"
"12/09/2025","0.233","0.237","0.240","0.232","12.45M","-2.92%"
"12/08/2025","0.240","0.232","0.244","0.231","8.93M","2.56%"
"12/05/2025","0.234","0.235","0.239","0.231","4.01M","-1.68%"
"12/04/2025","0.238","0.238","0.239","0.236","2.25M","0.00%"
"12/03/2025","0.238","0.238","0.238","0.231","2.99M","2.15%"
"11/28/2025","0.233","0.239","0.239","0.233","3.34M","-2.51%"
"11/27/2025","0.239","0.244","0.245","0.235","11.76M","-1.65%"
"11/26/2025","0.243","0.246","0.255","0.243","30.15M","-2.41%"
"11/25/2025","0.249","0.250","0.257","0.245","6.13M","-0.40%"
"11/24/2025","0.250","0.259","0.259","0.250","3.36M","-2.34%"
"11/21/2025","0.256","0.275","0.275","0.255","17.80M","-7.25%"
"11/20/2025","0.276","0.260","0.281","0.255","108.82M","6.15%"
"11/19/2025","0.260","0.262","0.262","0.250","36.06M","-1.52%"
"11/18/2025","0.264","0.256","0.269","0.243","46.77M","5.60%"
"11/17/2025","0.250","0.254","0.260","0.240","54.13M","0.00%"
"11/14/2025","0.250","0.239","0.251","0.235","50.09M","3.31%"
"11/13/2025","0.242","0.227","0.243","0.227","36.59M","5.68%"
"11/12/2025","0.229","0.230","0.232","0.226","14.22M","-0.87%"
"11/11/2025","0.231","0.228","0.231","0.220","11.22M","4.05%"
"11/10/2025","0.222","0.232","0.236","0.222","17.77M","-2.20%"
"11/07/2025","0.227","0.219","0.238","0.211","33.89M","2.71%"
"11/06/2025","0.221","0.220","0.221","0.213","9.07M","2.31%"
"11/05/2025","0.216","0.206","0.225","0.205","33.52M","5.37%"
"11/04/2025","0.205","0.213","0.213","0.205","8.42M","-4.21%"
"11/03/2025","0.214","0.216","0.217","0.210","5.90M","0.47%"
"10/31/2025","0.213","0.216","0.219","0.213","4.21M","-1.84%"
"10/30/2025","0.217","0.222","0.222","0.213","6.41M","-2.25%"
"10/29/2025","0.222","0.219","0.224","0.218","2.87M","1.83%"
"10/28/2025","0.218","0.221","0.222","0.216","5.15M","-1.36%"
"10/27/2025","0.221","0.223","0.227","0.216","13.00M","-0.45%"
"10/24/2025","0.222","0.229","0.229","0.222","10.24M","-1.33%"
"10/23/2025","0.225","0.226","0.228","0.224","3.85M","-0.44%"
"10/22/2025","0.226","0.226","0.231","0.224","6.82M","-0.44%"
"10/21/2025","0.227","0.228","0.231","0.227","1.31M","-0.44%"
"10/20/2025","0.228","0.236","0.238","0.227","4.55M","-2.56%"
"10/17/2025","0.234","0.225","0.240","0.225","20.25M","4.93%"
"10/16/2025","0.223","0.230","0.230","0.223","11.09M","-3.46%"
"10/15/2025","0.231","0.234","0.238","0.229","8.04M","-2.12%"
"10/14/2025","0.236","0.238","0.241","0.233","10.90M","-0.84%"
"10/13/2025","0.238","0.245","0.248","0.235","14.06M","-2.86%"
"10/10/2025","0.245","0.248","0.248","0.243","2.13M","0.00%"
"10/09/2025","0.245","0.249","0.249","0.245","2.28M","-1.21%"
"10/08/2025","0.248","0.250","0.250","0.244","5.96M","0.81%"
"10/07/2025","0.246","0.250","0.250","0.245","1.43M","-0.81%"
"10/06/2025","0.248","0.252","0.254","0.244","2.79M","-0.40%"
"10/03/2025","0.249","0.254","0.254","0.248","3.05M","-0.40%"
"10/02/2025","0.250","0.253","0.255","0.249","5.99M","0.00%"
"10/01/2025","0.250","0.249","0.253","0.248","4.73M","0.81%"
