"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","2.930","2.920","2.950","2.860","19.53M","0.69%"
"04/23/2026","2.910","3.050","3.050","2.910","14.81M","-4.59%"
"04/22/2026","3.050","3.100","3.100","3.020","9.24M","-1.61%"
"04/21/2026","3.100","3.150","3.170","3.050","14.83M","-1.90%"
"04/20/2026","3.160","3.300","3.320","3.160","11.36M","-4.82%"
"04/17/2026","3.320","3.340","3.340","3.290","3.27M","-0.30%"
"04/16/2026","3.330","3.380","3.380","3.290","4.65M","-7.50%"
"04/15/2026","3.600","3.640","3.750","3.540","13.65M","-0.55%"
"04/14/2026","3.620","3.500","3.650","3.500","9.50M","4.62%"
"04/13/2026","3.460","3.450","3.490","3.400","6.76M","0.29%"
"04/10/2026","3.450","3.330","3.450","3.320","10.88M","3.92%"
"04/09/2026","3.320","3.390","3.390","3.320","9.28M","-2.35%"
"04/08/2026","3.400","3.330","3.480","3.330","6.88M","4.94%"
"04/07/2026","3.240","3.220","3.240","3.200","2.81M","0.62%"
"04/06/2026","3.220","3.200","3.240","3.160","4.31M","0.62%"
"04/03/2026","3.200","3.220","3.220","3.190","3.29M","-0.62%"
"04/02/2026","3.220","3.230","3.230","3.150","3.22M","-0.31%"
"04/01/2026","3.230","3.210","3.280","3.200","5.08M","0.94%"
"03/31/2026","3.200","3.270","3.350","3.170","7.10M","-2.14%"
"03/30/2026","3.270","3.300","3.300","3.210","5.05M","-0.91%"
"03/27/2026","3.300","3.280","3.300","3.240","3.25M","0.61%"
"03/26/2026","3.280","3.370","3.400","3.260","3.35M","-3.24%"
"03/25/2026","3.390","3.290","3.480","3.290","6.01M","3.35%"
"03/24/2026","3.280","3.300","3.410","3.220","4.38M","-0.30%"
"03/23/2026","3.290","3.460","3.460","3.290","5.21M","-4.91%"
"03/18/2026","3.460","3.570","3.610","3.450","38.02M","-4.68%"
"03/17/2026","3.630","3.400","3.650","3.360","10.09M","6.76%"
"03/16/2026","3.400","3.530","3.590","3.360","5.98M","-3.41%"
"03/13/2026","3.520","3.510","3.560","3.470","3.60M","-0.28%"
"03/12/2026","3.530","3.590","3.620","3.500","4.95M","-1.94%"
"03/11/2026","3.600","3.640","3.690","3.570","5.94M","-1.10%"
"03/10/2026","3.640","3.550","3.700","3.550","8.00M","2.54%"
"03/09/2026","3.550","3.600","3.630","3.540","4.51M","-2.47%"
"03/06/2026","3.640","3.700","3.760","3.620","4.76M","-2.15%"
"03/05/2026","3.720","3.580","3.790","3.580","8.84M","3.62%"
"03/04/2026","3.590","3.580","3.730","3.580","12.04M","-4.27%"
"02/27/2026","3.750","3.800","3.800","3.750","4.05M","-1.06%"
"02/26/2026","3.790","3.820","3.820","3.780","4.23M","-0.52%"
"02/25/2026","3.810","3.870","3.870","3.790","4.89M","-1.30%"
"02/24/2026","3.860","3.830","3.860","3.810","6.98M","0.78%"
"02/23/2026","3.830","3.770","3.840","3.770","6.21M","1.59%"
"02/20/2026","3.770","3.800","3.800","3.760","4.18M","-1.05%"
"02/19/2026","3.810","3.850","3.860","3.780","8.15M","-1.04%"
"02/18/2026","3.850","3.780","3.870","3.770","6.37M","1.85%"
"02/17/2026","3.780","3.810","3.810","3.750","6.22M","-0.53%"
"02/16/2026","3.800","3.810","3.810","3.770","8.65M","-0.78%"
"02/13/2026","3.830","3.800","3.840","3.770","5.10M","0.79%"
"02/12/2026","3.800","3.800","3.820","3.800","3.41M","0.00%"
"02/11/2026","3.800","3.770","3.800","3.770","5.78M","0.80%"
"02/10/2026","3.770","3.860","3.860","3.760","10.45M","-2.08%"
"02/09/2026","3.850","3.770","3.880","3.750","8.95M","2.67%"
"02/06/2026","3.750","3.690","3.780","3.650","15.05M","1.35%"
"02/05/2026","3.700","3.690","3.740","3.680","8.34M","0.27%"
"02/04/2026","3.690","3.610","3.720","3.610","9.36M","2.50%"
"02/03/2026","3.600","3.560","3.670","3.560","11.09M","1.12%"
"02/02/2026","3.560","3.560","3.570","3.540","2.42M","-0.28%"
"01/30/2026","3.570","3.460","3.570","3.460","10.49M","2.88%"
"01/29/2026","3.470","3.560","3.570","3.470","6.33M","-2.53%"
"01/28/2026","3.560","3.550","3.580","3.530","11.37M","0.28%"
"01/27/2026","3.550","3.470","3.580","3.470","15.41M","2.31%"
"01/26/2026","3.470","3.380","3.480","3.330","12.15M","2.66%"
"01/23/2026","3.380","3.470","3.470","3.340","21.20M","-2.87%"
"01/22/2026","3.480","3.380","3.500","3.360","17.53M","3.26%"
"01/21/2026","3.370","3.290","3.370","3.270","13.65M","2.43%"
"01/20/2026","3.290","3.300","3.320","3.250","7.96M","-0.30%"
"01/19/2026","3.300","3.220","3.330","3.210","16.33M","3.12%"
"01/16/2026","3.200","3.140","3.200","3.140","4.36M","2.24%"
"01/15/2026","3.130","3.140","3.150","3.110","2.68M","-0.32%"
"01/14/2026","3.140","3.140","3.170","3.100","6.30M","0.00%"
"01/13/2026","3.140","3.090","3.150","3.080","4.97M","1.62%"
"01/12/2026","3.090","3.100","3.110","3.070","7.94M","-0.64%"
"01/09/2026","3.110","3.160","3.160","3.100","3.75M","-1.58%"
"01/08/2026","3.160","3.170","3.170","3.150","4.51M","-0.32%"
"01/07/2026","3.170","3.140","3.190","3.130","10.14M","0.96%"
"01/06/2026","3.140","3.120","3.140","3.120","3.89M","0.64%"
"01/05/2026","3.120","3.130","3.140","3.080","5.53M","-0.32%"
"01/02/2026","3.130","3.130","3.130","3.100","1.27M","0.32%"
"12/31/2025","3.120","3.080","3.140","3.080","2.56M","1.30%"
"12/30/2025","3.080","3.140","3.150","3.050","5.66M","-1.91%"
"12/29/2025","3.140","3.120","3.140","3.110","2.77M","0.64%"
"12/26/2025","3.120","3.120","3.130","3.110","1.08M","0.00%"
"12/25/2025","3.120","3.130","3.140","3.110","1.42M","-0.32%"
"12/24/2025","3.130","3.140","3.140","3.120","1.24M","-0.32%"
"12/23/2025","3.140","3.120","3.150","3.110","6.07M","0.64%"
"12/22/2025","3.120","3.100","3.130","3.080","4.93M","0.65%"
"12/19/2025","3.100","3.080","3.100","3.080","4.91M","0.65%"
"12/18/2025","3.080","3.050","3.090","3.040","8.11M","0.65%"
"12/17/2025","3.060","3.080","3.100","3.050","7.53M","-0.33%"
"12/16/2025","3.070","3.060","3.070","3.040","3.54M","0.66%"
"12/15/2025","3.050","3.010","3.060","2.990","6.65M","1.33%"
"12/12/2025","3.010","3.030","3.030","2.990","4.38M","-0.33%"
"12/11/2025","3.020","3.020","3.040","2.990","9.60M","0.33%"
"12/10/2025","3.010","3.010","3.020","2.980","4.21M","0.00%"
"12/09/2025","3.010","3.010","3.020","2.980","7.67M","0.00%"
"12/08/2025","3.010","3.030","3.030","2.990","3.95M","-0.33%"
"12/05/2025","3.020","3.000","3.030","2.980","7.00M","1.00%"
"12/04/2025","2.990","2.980","3.010","2.970","4.43M","0.34%"
"12/03/2025","2.980","2.910","2.980","2.900","4.26M","2.76%"
"11/28/2025","2.900","2.920","2.920","2.900","963.86K","-0.34%"
"11/27/2025","2.910","2.920","2.940","2.900","2.12M","-0.34%"
"11/26/2025","2.920","2.920","2.940","2.910","1.79M","0.34%"
"11/25/2025","2.910","2.900","2.920","2.880","2.32M","0.34%"
"11/24/2025","2.900","2.860","2.900","2.840","38.31M","1.75%"
"11/21/2025","2.850","2.890","2.890","2.850","3.72M","-1.38%"
"11/20/2025","2.890","2.890","2.900","2.870","2.99M","0.35%"
"11/19/2025","2.880","2.890","2.900","2.880","1.35M","0.00%"
"11/18/2025","2.880","2.890","2.900","2.880","2.35M","-0.69%"
"11/17/2025","2.900","2.910","2.910","2.890","3.61M","0.00%"
"11/14/2025","2.900","2.910","2.920","2.880","6.61M","-0.34%"
"11/13/2025","2.910","2.930","2.930","2.910","1.86M","-0.34%"
"11/12/2025","2.920","2.940","2.950","2.910","2.30M","-0.68%"
"11/11/2025","2.940","2.940","2.940","2.920","3.42M","0.00%"
"11/10/2025","2.940","2.940","2.960","2.930","3.61M","0.00%"
"11/07/2025","2.940","2.950","2.950","2.940","3.46M","-0.34%"
"11/06/2025","2.950","2.940","2.960","2.930","5.93M","0.34%"
"11/05/2025","2.940","2.930","2.940","2.900","3.33M","0.34%"
"11/04/2025","2.930","2.940","2.940","2.920","2.76M","-0.34%"
"11/03/2025","2.940","2.950","2.950","2.920","3.55M","-0.34%"
"10/31/2025","2.950","2.960","2.960","2.940","4.18M","0.00%"
"10/30/2025","2.950","2.940","2.960","2.940","6.32M","0.34%"
"10/29/2025","2.940","2.960","2.960","2.930","9.04M","-0.68%"
"10/28/2025","2.960","3.000","3.000","2.950","9.10M","-1.33%"
"10/27/2025","3.000","2.890","3.000","2.880","26.26M","4.17%"
"10/24/2025","2.880","2.850","2.890","2.840","9.67M","1.05%"
"10/23/2025","2.850","2.850","2.860","2.830","4.80M","-0.35%"
"10/22/2025","2.860","2.810","2.870","2.800","15.61M","2.14%"
"10/21/2025","2.800","2.800","2.820","2.790","54.39M","0.00%"
"10/20/2025","2.800","2.800","2.810","2.790","3.98M","0.00%"
"10/17/2025","2.800","2.800","2.810","2.790","8.50M","0.00%"
"10/16/2025","2.800","2.810","2.820","2.790","20.23M","-0.36%"
"10/15/2025","2.810","2.800","2.810","2.790","14.80M","0.36%"
"10/14/2025","2.800","2.800","2.810","2.790","23.42M","0.00%"
"10/13/2025","2.800","2.800","2.810","2.780","5.12M","0.00%"
"10/10/2025","2.800","2.810","2.810","2.790","16.44M","0.00%"
"10/09/2025","2.800","2.850","2.850","2.800","49.51M","-1.75%"
"10/08/2025","2.850","2.860","2.880","2.830","28.28M","0.00%"
"10/07/2025","2.850","2.830","2.850","2.820","6.10M","0.71%"
"10/06/2025","2.830","2.830","2.850","2.810","3.71M","0.00%"
"10/03/2025","2.830","2.830","2.840","2.820","2.16M","0.00%"
"10/02/2025","2.830","2.850","2.860","2.830","3.75M","-0.70%"
"10/01/2025","2.850","2.820","2.860","2.810","9.11M","1.06%"
"09/30/2025","2.820","2.830","2.830","2.800","3.09M","0.00%"
"09/29/2025","2.820","2.820","2.830","2.810","4.01M","0.36%"
"09/26/2025","2.810","2.790","2.810","2.770","1.92M","0.72%"
"09/25/2025","2.790","2.790","2.800","2.780","2.69M","0.00%"
"09/24/2025","2.790","2.820","2.820","2.780","6.89M","-1.06%"
"09/23/2025","2.820","2.830","2.840","2.810","2.17M","-0.35%"
"09/22/2025","2.830","2.830","2.850","2.800","26.70M","0.00%"
"09/19/2025","2.830","2.800","2.830","2.800","3.97M","1.07%"
"09/18/2025","2.800","2.810","2.820","2.790","6.59M","-0.36%"
"09/17/2025","2.810","2.840","2.840","2.800","6.24M","-0.71%"
"09/16/2025","2.830","2.880","2.880","2.820","4.55M","-1.74%"
"09/15/2025","2.880","2.870","2.880","2.840","5.68M","0.35%"
"09/12/2025","2.870","2.850","2.870","2.840","3.70M","0.70%"
"09/11/2025","2.850","2.850","2.860","2.830","4.43M","0.00%"
"09/10/2025","2.850","2.860","2.880","2.840","3.54M","-0.35%"
"09/09/2025","2.860","2.900","2.900","2.850","5.18M","-1.04%"
"09/08/2025","2.890","2.890","2.900","2.850","5.19M","-1.03%"
"09/04/2025","2.920","2.920","2.940","2.890","1.20M","0.34%"
"09/03/2025","2.910","2.870","2.960","2.870","5.45M","1.75%"
"09/02/2025","2.860","2.870","2.870","2.790","5.49M","-0.35%"
"09/01/2025","2.870","2.960","2.960","2.870","4.58M","-2.71%"
"08/29/2025","2.950","2.960","2.970","2.930","1.47M","0.34%"
"08/28/2025","2.940","2.970","2.970","2.940","1.49M","-0.68%"
"08/27/2025","2.960","2.990","2.990","2.950","6.91M","-1.00%"
"08/26/2025","2.990","2.990","2.990","2.960","4.45M","0.34%"
"08/25/2025","2.980","2.980","3.000","2.980","4.39M","0.00%"
"08/22/2025","2.980","3.010","3.010","2.970","3.69M","-1.32%"
"08/21/2025","3.020","2.990","3.020","2.980","3.12M","1.34%"
"08/20/2025","2.980","3.000","3.000","2.980","1.73M","-0.67%"
"08/19/2025","3.000","3.030","3.030","2.990","3.93M","-0.99%"
"08/18/2025","3.030","3.020","3.040","3.010","4.96M","0.33%"
"08/15/2025","3.020","3.030","3.040","3.010","2.93M","0.00%"
"08/14/2025","3.020","3.010","3.020","3.000","2.03M","0.67%"
"08/13/2025","3.000","3.020","3.020","2.990","7.22M","-0.66%"
"08/12/2025","3.020","3.060","3.060","3.020","1.99M","-0.98%"
"08/11/2025","3.050","3.040","3.060","3.040","2.35M","0.66%"
"08/08/2025","3.030","3.060","3.070","3.030","2.17M","-0.98%"
"08/07/2025","3.060","3.050","3.060","3.020","6.55M","0.66%"
"08/06/2025","3.040","3.070","3.070","3.020","5.09M","-0.65%"
"08/05/2025","3.060","3.060","3.080","3.060","4.50M","0.33%"
