"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","1.39","1.40","1.41","1.37","3.12M","0.00%"
"04/23/2026","1.39","1.42","1.44","1.39","4.08M","-1.42%"
"04/22/2026","1.41","1.42","1.43","1.41","3.48M","-0.70%"
"04/21/2026","1.42","1.43","1.44","1.41","2.17M","0.00%"
"04/20/2026","1.42","1.45","1.45","1.40","4.19M","-2.07%"
"04/17/2026","1.45","1.40","1.49","1.38","8.57M","4.32%"
"04/16/2026","1.39","1.40","1.43","1.38","6.04M","0.00%"
"04/15/2026","1.39","1.37","1.40","1.36","4.96M","2.96%"
"04/14/2026","1.35","1.34","1.37","1.33","5.88M","1.50%"
"04/13/2026","1.33","1.36","1.36","1.33","1.16M","-2.92%"
"04/10/2026","1.37","1.35","1.38","1.35","1.17M","1.48%"
"04/09/2026","1.35","1.35","1.36","1.34","1.33M","0.00%"
"04/08/2026","1.35","1.39","1.41","1.35","7.98M","2.27%"
"04/07/2026","1.32","1.33","1.34","1.32","1.17M","-0.75%"
"04/06/2026","1.33","1.35","1.35","1.33","3.38M","-1.48%"
"04/03/2026","1.35","1.35","1.37","1.34","891.86K","0.00%"
"04/02/2026","1.35","1.36","1.36","1.33","1.51M","-1.46%"
"04/01/2026","1.37","1.34","1.37","1.34","2.13M","3.01%"
"03/31/2026","1.33","1.35","1.37","1.33","2.76M","-1.48%"
"03/30/2026","1.35","1.35","1.38","1.34","3.05M","0.00%"
"03/27/2026","1.35","1.37","1.37","1.31","1.91M","0.00%"
"03/26/2026","1.35","1.39","1.39","1.35","2.44M","-2.17%"
"03/25/2026","1.38","1.35","1.40","1.35","2.83M","3.76%"
"03/24/2026","1.33","1.36","1.40","1.29","3.77M","-0.75%"
"03/23/2026","1.34","1.36","1.36","1.30","2.26M","-1.47%"
"03/18/2026","1.36","1.37","1.41","1.36","3.18M","-0.73%"
"03/17/2026","1.37","1.35","1.40","1.33","2.38M","1.48%"
"03/16/2026","1.35","1.42","1.42","1.35","1.66M","-4.93%"
"03/13/2026","1.42","1.42","1.42","1.38","948.27K","-0.70%"
"03/12/2026","1.43","1.39","1.43","1.34","2.07M","2.88%"
"03/11/2026","1.39","1.42","1.43","1.37","2.08M","-2.11%"
"03/10/2026","1.42","1.38","1.45","1.38","2.39M","2.90%"
"03/09/2026","1.38","1.42","1.42","1.38","1.91M","-4.83%"
"03/06/2026","1.45","1.45","1.45","1.38","1.72M","0.00%"
"03/05/2026","1.45","1.42","1.48","1.42","6.22M","-2.68%"
"03/04/2026","1.49","1.49","1.49","1.49","1.11M","-4.49%"
"02/27/2026","1.56","1.59","1.59","1.53","5.27M","-1.27%"
"02/26/2026","1.58","1.62","1.63","1.58","3.56M","-3.66%"
"02/25/2026","1.64","1.59","1.64","1.59","3.07M","3.14%"
"02/24/2026","1.59","1.60","1.62","1.59","1.23M","-1.24%"
"02/23/2026","1.61","1.58","1.63","1.58","2.57M","1.90%"
"02/20/2026","1.58","1.58","1.60","1.56","2.90M","0.00%"
"02/19/2026","1.58","1.62","1.65","1.58","2.18M","-1.86%"
"02/18/2026","1.61","1.63","1.65","1.61","1.38M","-1.23%"
"02/17/2026","1.63","1.60","1.63","1.57","3.24M","1.87%"
"02/16/2026","1.60","1.61","1.61","1.59","1.13M","-0.62%"
"02/13/2026","1.61","1.63","1.63","1.61","538.17K","-1.23%"
"02/12/2026","1.63","1.65","1.66","1.61","2.62M","-0.61%"
"02/11/2026","1.64","1.64","1.67","1.63","2.56M","0.61%"
"02/10/2026","1.63","1.62","1.65","1.60","2.54M","0.62%"
"02/09/2026","1.62","1.63","1.66","1.59","3.75M","0.00%"
"02/06/2026","1.62","1.68","1.68","1.62","3.87M","-3.57%"
"02/05/2026","1.68","1.68","1.70","1.65","5.30M","0.00%"
"02/04/2026","1.68","1.64","1.68","1.61","15.59M","3.07%"
"02/03/2026","1.63","1.53","1.65","1.53","15.74M","6.54%"
"02/02/2026","1.53","1.49","1.54","1.48","7.57M","2.00%"
"01/30/2026","1.50","1.51","1.53","1.49","8.16M","0.00%"
"01/29/2026","1.50","1.53","1.53","1.49","2.25M","-1.96%"
"01/28/2026","1.53","1.52","1.53","1.51","1.81M","0.66%"
"01/27/2026","1.52","1.50","1.53","1.50","5.72M","2.01%"
"01/26/2026","1.49","1.53","1.54","1.48","5.08M","-2.61%"
"01/23/2026","1.53","1.52","1.55","1.51","5.22M","0.66%"
"01/22/2026","1.52","1.51","1.54","1.50","6.40M","1.33%"
"01/21/2026","1.50","1.48","1.50","1.47","2.66M","1.35%"
"01/20/2026","1.48","1.50","1.50","1.47","3.05M","-1.33%"
"01/19/2026","1.50","1.48","1.51","1.47","6.75M","1.35%"
"01/16/2026","1.48","1.48","1.51","1.48","3.49M","0.68%"
"01/15/2026","1.47","1.50","1.52","1.47","5.56M","-0.68%"
"01/14/2026","1.48","1.54","1.58","1.47","9.86M","-4.52%"
"01/13/2026","1.55","1.53","1.55","1.51","7.32M","1.31%"
"01/12/2026","1.53","1.51","1.55","1.49","3.77M","1.32%"
"01/09/2026","1.51","1.55","1.55","1.51","2.73M","-2.58%"
"01/08/2026","1.55","1.55","1.56","1.54","2.47M","0.00%"
"01/07/2026","1.55","1.56","1.57","1.54","3.95M","-1.27%"
"01/06/2026","1.57","1.55","1.59","1.55","1.40M","0.00%"
"01/05/2026","1.57","1.55","1.58","1.54","2.15M","0.64%"
"01/02/2026","1.56","1.58","1.58","1.56","1.36M","-0.64%"
"12/31/2025","1.57","1.56","1.59","1.56","1.33M","1.29%"
"12/30/2025","1.55","1.60","1.60","1.54","2.44M","-3.13%"
"12/29/2025","1.60","1.60","1.61","1.59","915.54K","0.00%"
"12/26/2025","1.60","1.60","1.61","1.59","1.13M","0.00%"
"12/25/2025","1.60","1.62","1.63","1.59","2.63M","-1.23%"
"12/24/2025","1.62","1.64","1.64","1.59","2.17M","-0.61%"
"12/23/2025","1.63","1.63","1.65","1.61","3.56M","0.62%"
"12/22/2025","1.62","1.63","1.63","1.61","1.69M","-0.61%"
"12/19/2025","1.63","1.63","1.63","1.60","2.81M","0.62%"
"12/18/2025","1.62","1.63","1.63","1.61","1.30M","-1.22%"
"12/17/2025","1.64","1.63","1.64","1.61","3.78M","1.23%"
"12/16/2025","1.62","1.64","1.66","1.62","2.56M","0.00%"
"12/15/2025","1.62","1.63","1.64","1.62","2.64M","-1.22%"
"12/12/2025","1.64","1.64","1.64","1.60","2.86M","0.61%"
"12/11/2025","1.63","1.63","1.65","1.62","2.30M","0.62%"
"12/10/2025","1.62","1.67","1.67","1.62","4.80M","-2.41%"
"12/09/2025","1.66","1.66","1.69","1.64","5.79M","0.00%"
"12/08/2025","1.66","1.67","1.70","1.65","12.75M","0.00%"
"12/05/2025","1.66","1.59","1.69","1.57","16.19M","4.40%"
"12/04/2025","1.59","1.57","1.61","1.57","8.80M","1.92%"
"12/03/2025","1.56","1.57","1.60","1.54","6.85M","0.00%"
"11/28/2025","1.56","1.59","1.60","1.54","5.00M","-1.27%"
"11/27/2025","1.58","1.61","1.63","1.57","2.34M","-2.47%"
"11/26/2025","1.62","1.65","1.65","1.61","2.22M","-1.82%"
"11/25/2025","1.65","1.67","1.68","1.65","3.13M","0.00%"
"11/24/2025","1.65","1.64","1.65","1.62","2.62M","1.85%"
"11/21/2025","1.62","1.67","1.67","1.62","3.92M","-4.14%"
"11/20/2025","1.69","1.64","1.74","1.64","11.85M","3.68%"
"11/19/2025","1.63","1.62","1.64","1.60","8.52M","0.62%"
"11/18/2025","1.62","1.65","1.65","1.60","3.39M","-1.82%"
"11/17/2025","1.65","1.63","1.65","1.62","2.13M","0.61%"
"11/14/2025","1.64","1.67","1.67","1.61","5.06M","-2.38%"
"11/13/2025","1.68","1.73","1.73","1.65","3.99M","-2.89%"
"11/12/2025","1.73","1.77","1.77","1.72","3.52M","-2.26%"
"11/11/2025","1.77","1.76","1.78","1.75","1.42M","0.57%"
