"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","2.330","2.340","2.350","2.310","440.75K","-0.43%"
"04/23/2026","2.340","2.340","2.370","2.230","852.25K","0.00%"
"04/22/2026","2.340","2.360","2.390","2.300","1.18M","-0.85%"
"04/21/2026","2.360","2.400","2.400","2.340","1.00M","-1.67%"
"04/20/2026","2.400","2.460","2.460","2.370","917.50K","-2.04%"
"04/17/2026","2.450","2.460","2.490","2.410","916.71K","-0.41%"
"04/16/2026","2.460","2.480","2.500","2.440","1.49M","0.00%"
"04/15/2026","2.460","2.440","2.500","2.440","1.92M","1.23%"
"04/14/2026","2.430","2.390","2.440","2.360","1.19M","1.67%"
"04/13/2026","2.390","2.370","2.390","2.320","557.50K","2.14%"
"04/10/2026","2.340","2.340","2.380","2.300","951.33K","1.74%"
"04/09/2026","2.300","2.380","2.380","2.270","3.46M","-2.54%"
"04/08/2026","2.360","2.500","2.520","2.340","3.48M","1.29%"
"04/07/2026","2.330","2.350","2.350","2.300","405.91K","-0.85%"
"04/06/2026","2.350","2.330","2.360","2.230","1.08M","2.17%"
"04/03/2026","2.300","2.340","2.390","2.280","1.24M","-1.71%"
"04/02/2026","2.340","2.380","2.400","2.340","1.38M","-2.09%"
"04/01/2026","2.390","2.450","2.480","2.380","2.13M","-1.65%"
"03/31/2026","2.430","2.550","2.580","2.430","4.05M","-4.71%"
"03/30/2026","2.550","2.580","2.650","2.540","4.52M","-1.54%"
"03/27/2026","2.590","2.500","2.600","2.500","1.49M","3.19%"
"03/26/2026","2.510","2.590","2.610","2.500","1.56M","-3.46%"
"03/25/2026","2.600","2.500","2.650","2.480","3.47M","6.56%"
"03/24/2026","2.440","2.440","2.550","2.420","1.47M","2.95%"
"03/23/2026","2.370","2.480","2.480","2.370","796.54K","-4.82%"
"03/18/2026","2.490","2.400","2.570","2.400","1.74M","3.75%"
"03/17/2026","2.400","2.360","2.430","2.300","955.95K","2.56%"
"03/16/2026","2.340","2.380","2.440","2.300","1.10M","-1.68%"
"03/13/2026","2.380","2.330","2.490","2.320","1.11M","2.15%"
"03/12/2026","2.330","2.400","2.440","2.310","2.04M","-4.12%"
"03/11/2026","2.430","2.610","2.610","2.430","2.83M","-4.71%"
"03/10/2026","2.550","2.400","2.640","2.400","1.86M","4.51%"
"03/09/2026","2.440","2.460","2.550","2.440","1.87M","-4.69%"
"03/06/2026","2.560","2.690","2.690","2.560","2.28M","-4.83%"
"03/05/2026","2.690","2.650","2.740","2.650","1.55M","0.00%"
"03/04/2026","2.690","2.690","2.700","2.690","2.83M","-4.95%"
"02/27/2026","2.830","2.840","2.840","2.760","3.00M","0.00%"
"02/26/2026","2.830","2.830","2.830","2.800","473.31K","0.71%"
"02/25/2026","2.810","2.870","2.870","2.790","4.27M","-1.75%"
"02/24/2026","2.860","2.900","2.900","2.840","4.06M","-1.38%"
"02/23/2026","2.900","2.930","2.940","2.860","2.60M","-0.34%"
"02/20/2026","2.910","2.930","2.930","2.900","995.62K","-0.34%"
"02/19/2026","2.920","3.020","3.020","2.900","3.86M","-2.67%"
"02/18/2026","3.000","3.020","3.020","3.000","425.42K","-0.99%"
"02/17/2026","3.030","3.030","3.070","2.980","2.55M","0.00%"
"02/16/2026","3.030","2.930","3.070","2.930","5.14M","3.77%"
"02/13/2026","2.920","3.010","3.010","2.900","3.93M","-2.99%"
"02/12/2026","3.010","3.070","3.070","2.980","3.62M","-1.95%"
"02/11/2026","3.070","3.160","3.160","3.070","2.71M","-2.85%"
"02/10/2026","3.160","3.170","3.280","3.160","10.10M","0.32%"
"02/09/2026","3.150","2.870","3.170","2.870","13.78M","10.14%"
"02/06/2026","2.860","2.890","2.890","2.860","945.20K","-0.69%"
"02/05/2026","2.880","2.910","2.940","2.880","1.90M","-1.03%"
"02/04/2026","2.910","2.930","2.940","2.900","2.52M","-0.68%"
"02/03/2026","2.930","2.960","2.980","2.930","1.51M","-1.01%"
"02/02/2026","2.960","2.880","2.980","2.870","3.22M","3.14%"
"01/30/2026","2.870","2.860","2.880","2.840","1.03M","0.70%"
"01/29/2026","2.850","2.890","2.910","2.850","2.88M","-1.38%"
"01/28/2026","2.890","2.910","2.920","2.880","489.83K","-0.69%"
"01/27/2026","2.910","2.890","2.920","2.880","1.39M","0.34%"
"01/26/2026","2.900","2.940","2.940","2.860","2.34M","-0.68%"
"01/23/2026","2.920","2.930","2.950","2.920","1.60M","0.00%"
"01/22/2026","2.920","2.910","2.990","2.910","2.65M","0.34%"
"01/21/2026","2.910","2.960","2.960","2.910","1.99M","-1.36%"
"01/20/2026","2.950","2.960","2.980","2.940","1.41M","0.00%"
"01/19/2026","2.950","2.980","3.050","2.950","2.38M","-0.67%"
